,冠元推拿养生,医疗保健服务,诊所,诊所.1,广东省,广州市,花都区,113.235386,23.409007
267,黄俊燕诊所,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.426551,22.953431
268,牛其合医疗美容诊所,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.365963,22.946796
269,邝有安诊所,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.479788,23.411463
270,登塘村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.478305,23.412837
271,白云区钟落潭镇卫生院,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.467885,23.41577
272,太平村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.484097,23.433658
273,苗乡鼻炎馆(太平店),医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.484918,23.431482
274,广州市从化区太平镇中心卫生院,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.483768,23.429385
275,贝颐美诊所,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.469228,23.164395
276,杨其耀诊所,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.489489,23.164987
277,陆彩琼诊所,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.485786,23.185186
278,牙科妇科,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.461763,23.170864
279,预防接种门诊,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.461924,23.171008
280,良医堂中医馆,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.496216,23.174432
281,郭昔斌诊所,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.485224,23.157052
282,兴丰卫生站,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.486539,23.269168
283,穗丰卫生站,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.454857,23.26177
284,太和镇医院穗丰村中心卫生站(装修中),医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.457629,23.261329
285,广州市中健中医门诊部,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.484034,23.192222
286,和筋堂中医诊所(东荟店),医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.500553,23.16232
287,覃美卖诊所,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.488409,23.154006
288,缪银钜口腔儿童中心店,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.5027,23.174686
289,水西门诊部,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.487344,23.193731
290,善达萝岗诊所,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.503682,23.177547
291,广州市番禺区化龙镇明经村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.468349,23.011302
292,罗勇军诊所,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.460249,23.000128
293,潭山永年社区卫生站,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.460173,23.000697
294,石楼镇茭东社区卫生服务站,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.501556,23.003658
295,李伟海内科诊所,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.449716,22.992109
296,红山国医馆,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.478226,23.094508
297,广育堂中医馆,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.47955,23.094604
298,曹静诊所,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.478984,23.094691
299,刘立新诊所,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.481029,23.095473
300,红山街社区卫生服务中心-预防接种门诊,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.478502,23.094524
301,康骅中医诊所,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.471111,23.098737
302,小电(康恩门诊部),医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.47077,23.098414
303,康恩门诊部,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.470773,23.098423
304,文园跌打(庙边街4巷3号),医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.470422,23.099764
305,鳌头镇民乐村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.477567,23.656639
306,广州市从化区鳌头镇中心卫生院民乐门诊部,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.474193,23.657358
307,东兴村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.465581,23.657401
308,鳌头镇车头村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.465623,23.657339
309,鳌头镇龙田村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.482794,23.641019
310,龙兴村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.450625,23.63334
311,广州市从化区鳌头镇楼星村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.441153,23.662387
312,鳌头镇龙星村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.453677,23.640048
313,向爱华内科诊所,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.471588,23.107109
314,贵友诊所,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.459267,23.102109
315,苗恩诊所,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.459062,23.102102
316,詹国媛儿科诊所,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.455106,23.102231
317,花都区赤坭镇东升村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,112.994623,23.437702
318,花都区赤坭镇珊瑚村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,112.971189,23.439759
319,花都区赤坑镇鲤塘村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.020048,23.381623
320,广州市花都区麦惠英诊所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.002491,23.452566
321,花都区赤坭镇白石村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.037232,23.438946
322,黄埔街社区卫生服务中心-狂犬病暴露预防处置门诊,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.45782,23.094832
323,佰粤园中医馆,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.457514,23.112178
324,杨世谊诊所,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.451527,23.104363
325,佰粤园中医门诊部,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.457492,23.112209
326,黄埔区李碧辉诊所,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.445733,23.105248
327,魏艳平诊所,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.446423,23.105798
328,黄伟个体诊所(坑头大街),医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.442586,23.108446
329,王海青诊所,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.439647,23.098211
330,黄初铭内科诊所,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.443881,23.110881
331,成元茂诊所,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.516577,23.079006
332,叶志坚诊所,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.444317,23.111636
333,周文森诊所,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.440259,23.111831
334,广诚南基门诊部,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.513064,23.077993
335,赤坭村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.077292,23.389735
336,下莲珠卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.052872,23.426209
337,广州市花都区赤坭镇锦山村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.102368,23.403467
338,豪正中医,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.081747,23.381354
339,赤坭镇横沙村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.073198,23.3836
340,赤坭镇荷塘村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.063143,23.390573
341,花都区赤坭镇田心村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.091811,23.446653
342,花都区赤坭镇下连珠村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.052646,23.426412
343,广州市花都区赤坭镇丰群村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.088842,23.434832
344,花都区赤坭镇剑岭村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.085952,23.385747
345,赤坭镇乌石村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.113459,23.437511
346,花都区一元看病卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.096127,23.465904
347,花都区狮岭镇联星村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.096143,23.465897
348,花都区狮岭镇马岭村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.113368,23.45422
349,炭步镇朗头村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.08731,23.33924
350,黄伟杭诊所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.103738,23.33555
351,石湖山卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.09806,23.317189
352,花都区炭步镇鸭湖村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.10423,23.348067
353,杏林门诊,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.109085,23.334086
354,杏林医疗,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.10898,23.333958
355,炭步镇中心卫生院预防接种门诊,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.104665,23.339183
356,花都区炭步镇华岭村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.057568,23.312214
357,花都区炭步镇茶塘村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.104269,23.315945
358,花都区炭步镇环山村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.095436,23.29936
359,骆启煊诊所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.038872,23.316292
360,仁心门诊,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.171787,23.474832
361,广州花都曹勇诊所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.156557,23.466672
362,罗教强诊所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.150577,23.463353
363,江高镇雄丰村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.179174,23.334191
364,江高镇五丰村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.179627,23.32843
365,南浦村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.177092,23.344462
366,康健诊所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.147619,23.355107
367,汤湛基诊所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.150884,23.354339
368,花都区秀全街马溪村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.149255,23.355827
369,宗黄堂疼痛诊疗馆,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.147546,23.354952
370,中八村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.184874,23.332341
371,康健门诊,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.147612,23.354989
372,花都区秀全街岐山村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.162511,23.363278
373,协和医疗门诊大楼(瑞香路),医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.164648,23.408699
374,大布村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.160115,23.409864
375,刘贤珍诊所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.168282,23.415435
376,新衡福诊所(原黄启斌诊所),医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.162519,23.40545
377,广州市花秀全都区大布综合门诊,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.162251,23.396544
378,小美医生,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.175496,23.427102
379,广州城市理工学院卫生所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.173296,23.428799
380,花都秀全安健综合门诊部,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.172262,23.392768
381,花都区秀全街乐同村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.185531,23.413511
382,黄惠芝中医诊所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.187657,23.422114
383,王中朝诊所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.175058,23.392539
384,王中朝儿科诊所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.175092,23.392521
385,梅广源名医工作室,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.126284,23.414173
386,建华门诊,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.794999,23.172305
387,郑开牙科诊所,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.795597,23.16956
388,石滩镇元洲村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.801164,23.165938
389,项桂连诊所,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.792808,23.184251
390,光明村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.789991,23.258903
391,清燕社区卫生服务站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.790903,23.261187
392,爱牙之家口腔,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.820265,23.281663
393,道医太极三才神灸,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.825296,23.280531
394,良口镇梅树村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.770833,23.812545
395,良平村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.77213,23.676269
396,派潭镇派潭村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.791716,23.485145
397,叶志华诊所,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.779687,23.487096
398,华光诊所,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.77891,23.48953
399,李应星诊所,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.780772,23.483963
400,杨年英诊所,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.777956,23.487954
401,李治良牙科(教育南路),医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.779814,23.486784
402,鹏强诊所,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.779714,23.487125
403,派潭镇高村村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.776787,23.489286
404,大埔村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.780467,23.477847
405,派潭镇七境村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.828327,23.531698
406,派潭镇湾吓村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.822787,23.453224
407,派潭镇高滩村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.775031,23.559463
408,白水寨风景名胜景区-医疗点,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.763635,23.582272
409,荔城街木潭村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.796053,23.355986
410,元新诊所,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.805453,23.300815
411,广州增城爱群门诊部,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.828143,23.293115
412,保康堂中医馆,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.821459,23.301609
413,郭艳妍诊所,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.811282,23.296624
414,荔城街棠村村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.832668,23.325645
415,小楼镇东境村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.816162,23.419345
416,小楼镇约场村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.774872,23.429455
417,庙潭村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.827191,23.420492
418,小楼卫生院牙科,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.833781,23.380723
419,正果镇花园村卫生分站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.831246,23.421858
420,温城强中医诊所,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.827646,23.296055
421,口腔科,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.828234,23.293166
422,城丰村社区康复站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.834328,23.297663
423,正果医院牙科,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.894313,23.414089
424,正果镇岳村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.849235,23.426445
425,正果镇庙尾村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.852962,23.437331
426,正果镇麦村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.851779,23.3781
427,正果镇和平村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.91314,23.397011
428,派潭镇帮河坑村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.862948,23.522567
429,正果镇汀塘村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.917398,23.45342
430,林伯苏医师诊所,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.828519,23.295593
431,荔城街社区卫生服务中心金竹社区卫生服务站-预防接种门诊,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.806856,23.293036
432,增江街陆村村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.847829,23.253286
433,初溪村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.856047,23.230373
434,增江街大埔围村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.887954,23.216501
435,伟娟门诊,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.846371,23.283854
436,杨伯铭诊所,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.84354,23.280639
437,张铁平综合门诊部,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.840326,23.280193
438,荔城街城丰村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.841458,23.30086
439,志勇诊所,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.84042,23.294144
440,建辉诊所,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.84407,23.291637
441,廖伟成诊所,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.839708,23.290134
442,跌打驳骨站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.864047,23.182407
443,石滩镇桥头村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.867108,23.187982
444,姚成中医诊所,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.860072,23.184949
445,口腔诊所,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.857306,23.187035
446,石滩镇岗尾村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.864684,23.203404
447,金兰寺村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.851588,23.201569
448,吕田镇坪地村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.86359,23.889049
449,良口镇溪头村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.866922,23.714313
450,吕田镇塘田村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.891825,23.768845
451,小杉村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.97542,23.765356
452,正果镇西湖滩村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.925625,23.45853
453,正果镇畲族村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.988302,23.340448
454,正果镇亮星村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.951028,23.400851
455,正果镇银场村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.974587,23.395854
456,正果镇乌头石村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.935139,23.446886
457,广州市从化区吕田镇竹坑村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.928662,23.827515
458,吕田镇草埔村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.919811,23.77423
459,广州市从化区城郊街新开村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.560661,23.560908
460,大夫田村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.544284,23.572347
461,高步卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.580872,23.56647
462,祖传跌打,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.575942,23.556564
463,城康村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.560287,23.634196
464,广州市从化区城郊街矮岭村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.541598,23.626232
465,广州市从化区城郊街黄场村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.552725,23.614032
466,城郊北星卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.584604,23.554826
467,城郊北星卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.584604,23.554826
468,从化益民诊所,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.527345,23.569694
469,百家中医门诊部,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.533268,23.595129
470,李伟英筋骨调理中心(从化总店),医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.586312,23.556355
471,太平镇分水村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.565939,23.398237
472,广州市从化区太平镇秋枫村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.550154,23.389243
473,新安村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,增城区,113.58544,23.377398
474,街口街城郊村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.580382,23.54759
475,庾元慈中医诊所,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.584712,23.545704
476,谢胜华内科诊所,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.59389,23.553487
477,惠德从化诊所,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.595301,23.553198
478,三百洞村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.556963,23.476542
479,菜地村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.545896,23.504966
480,从化何林吉中西医结合门诊部,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.569852,23.507111
481,神岗村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.53017,23.484906
482,广州市从化区街口街沙贝村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.567626,23.517493
483,太平镇元洲岗卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.541368,23.490949
484,新明卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.583522,23.522703
485,井岗村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.531627,23.523378
486,南方村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.582323,23.515675
487,佛岗村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.519605,23.475462
488,均和村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.554966,23.265989
489,观华诊所,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.575498,23.277407
490,九龙镇中心卫生院妇幼保健门诊,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.57111,23.277761
491,林小演诊所,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.585137,23.277759
492,鸣亮诊所,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.584889,23.278719
493,鸿亮诊所,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.584894,23.278696
494,朱丁吴诊所,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.583696,23.279422
495,华医百岁第136店,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.58647,23.53705
496,天韵社区卫生服务站,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.543712,23.329801
497,龙湖街中心卫生院旺村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.561573,23.313168
498,埔心村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.547009,23.349329
499,龙湖街中心卫生院何棠下村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.541666,23.339527
500,黄埔区龙湖街幸福誉社区卫生服务站,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.539282,23.331014
501,洋田村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.583,23.317012
502,汤村村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.569082,23.299048
503,大涵村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.551927,23.293819
504,黄建胜长友诊所,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.521083,23.353334
505,长莫村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.468926,22.835158
506,南沙区东涌镇长莫村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.475919,22.836238
507,石排村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.481516,22.87142
508,广州市南沙区东涌镇社区卫生服务中心,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.452467,22.835626
509,细沥村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.45346,22.83549
510,东涌医院南涌村卫生所,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.463444,22.879251
511,回景堂中医诊所,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.468181,22.929777
512,石碁镇南浦村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.468524,22.961581
513,广东通用(番禺)透析中心,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.457527,22.953568
514,庙贝农场卫生站,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.486154,22.771113
515,大岗镇庙青社区卫生服务站,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.469456,22.781423
516,横沥镇庙南村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.495467,22.772804
517,横沥社区卫生服务中心(庙南村点)-预防接种门诊,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.495536,22.772793
518,广州市南沙区横沥镇大元卫生站,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.495584,22.75149
519,诚美口腔门诊部,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.496721,22.811607
520,黄阁镇亭角村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.496346,22.797974
521,石碁镇社区卫生服务中心预防接种门诊,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.453904,22.950763
522,石楼人民医院第二门诊部,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.485018,22.970595
523,邓丹综合门诊部,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.486345,22.969054
524,沙北卫生站,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.518382,22.919528
525,南沙区东涌镇东导村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.462615,22.900482
526,敬老院诊所,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.438837,22.954937
527,广东省干部疗养院门诊部,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.654504,23.650694
528,从化明络堂温泉诊所,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.655637,23.644671
529,源湖村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.660782,23.615386
530,米铺新卫生室,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.663171,23.693552
