,赤色美妆培训中心,科教文化服务,科教文化场所,科教文化场所.1,广东省,广州市,花都区,113.233698,23.413721
232,百合英语培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.537205,22.789553
233,广州艺轩音乐培训学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.619072,22.626894
234,平川艺术培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.607521,22.646279
235,番禺平川艺术培训中心新垦分教点,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.60675,22.644744
236,今之港国际教育培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.607967,22.763654
237,英东教育培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.607887,22.772234
238,贝儿乐英语培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.60453,22.758482
239,广东马术培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.73647,23.696371
240,广州市博尔泰斯职业技能培训有限公司,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.574312,22.749787
241,佳艺国际标准舞培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.533329,22.794566
242,广州市南沙区卓才职业培训学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.550811,22.793845
243,广州赛普健身教练培训学院,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.538288,22.798453
244,广州德寓教育培训中心有限公司,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.552659,22.798886
245,广州市南沙区国际海员培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.543444,22.800691
246,新易学教育培训基地,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.652419,23.343916
247,员工培训室,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.635477,23.317067
248,乐学家培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.633727,23.354575
249,广宇驾驶培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.632641,23.357228
250,金峰硬笔书法培训中心(第16分店),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.6329,23.356824
251,童言舞际(教育培训),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.523588,22.787671
252,新塘叉车培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.646416,23.159461
253,增城挖掘机技术培训学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.646381,23.158813
254,广州便捷挖掘机培训,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.645836,23.156676
255,增城粤驾学车培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.641536,23.156244
256,广州市增城宏运机动车驾驶员培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.631668,23.240779
257,稳达机动车驾驶员培训有限公司,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.623878,23.275779
258,华南理工大学继续教育学院职业技能培训基地,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.709252,23.692314
259,广州市广仁职业培训学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.713044,23.265822
260,广东省建筑机械厂有限公司建筑施工特种作业培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.708388,23.268928
261,城东南机动车驾驶员培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.702152,23.273796
262,广州增城启翰教育培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.731988,23.275735
263,增城伟培交通培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.702356,23.296025
264,朱细媚艺术培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.695457,23.278179
265,倍多分培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.695462,23.278197
266,德祥机动车驾驶员培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.694962,23.273386
267,广州市增城区承顺驾驶员培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.748452,23.273534
268,广州市汇众汽车驾驶员培训有限公司朱村招生点,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.700186,23.273739
269,广州师兄汽车机动车驾驶员培训有限公司,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.748272,23.273518
270,广州市增城区宏运机动车驾驶员培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.747518,23.22609
271,色彩教育培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.718766,23.167056
272,艺星教育培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.719332,23.165449
273,德志培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.716818,23.182146
274,骄扬教育培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.722393,23.162642
275,育苗艺术培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.722488,23.162629
276,中南机动车驾驶员培训中心有限公司,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.716974,23.184188
277,东南机动车驾驶员培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.717036,23.184256
278,暨美艺术学校美术培训中心,科教文化服务,培训机构,培训机构,广东省,广州市,增城区,113.685234,23.174165
279,广州市尚成才教育培训学校,科教文化服务,培训机构,培训机构,广东省,广州市,增城区,113.685568,23.174298
280,东南机动车驾驶员培训中心,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.713878,23.212048
