,子曰·禮茶居(花都三东店),餐饮服务,茶艺馆,茶艺馆.1,广东省,广州市,花都区,113.235858,23.408879
252,广州市从化良口丽湖轩美食农庄,餐饮服务,休闲餐饮场所,休闲餐饮场所,广东省,广州市,从化区,113.796863,23.746603
253,百多乐,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.783542,23.488597
254,街口友,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.783124,23.489067
255,闲情饮吧,餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.781947,23.488428
256,左茶屋,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.783163,23.488826
257,新华饼屋,餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.78349,23.489262
258,文乐甜品屋,餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.783544,23.489982
259,潮尚冰缘,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.783723,23.489028
260,唐茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.783668,23.488882
261,黑眼睛奶茶小吃,餐饮服务,休闲餐饮场所,休闲餐饮场所,广东省,广州市,增城区,113.783841,23.488887
262,AOMY澳麦居烘焙店(增城派潭店),餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.781046,23.487192
263,米兰提诗(派潭店),餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.778655,23.489316
264,邓老凉茶(大新路),餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.779083,23.486766
265,乐叔柠檬茶(派潭店),餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.779783,23.48639
266,派潭桔荣益禾堂,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.781965,23.488261
267,绿茶岛,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.783181,23.488141
268,茶香楼,餐饮服务,茶艺馆,茶艺馆,广东省,广州市,增城区,113.78231,23.488629
269,一心糖水店,餐饮服务,甜品店,甜品店,广东省,广州市,增城区,113.77796,23.486317
270,桃花序,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.782454,23.488541
271,畅饮吧,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.785309,23.565565
272,休闲站,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.775032,23.562298
273,珑纯果茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.774989,23.563115
274,Sure Cafe,餐饮服务,咖啡厅,咖啡厅,广东省,广州市,增城区,113.805139,23.296126
275,军长茶府,餐饮服务,茶艺馆,茶艺馆,广东省,广州市,增城区,113.834528,23.297698
276,澳麦居面包店,餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.802926,23.298668
277,客家佬糖水店,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.833044,23.295356
278,茶度鲜语,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.831033,23.294132
279,哪茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.821963,23.299388
280,宏发冰室,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.789407,23.419632
281,紫罗轩烘焙坊,餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.792591,23.417112
282,街茶奶茶腊圃店,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.790561,23.41917
283,工农茶楼,餐饮服务,茶艺馆,茶艺馆,广东省,广州市,增城区,113.89317,23.415659
284,aomy澳麦居烘培店(正果店),餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.893688,23.413762
285,麦雅轩蛋糕店,餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.894071,23.413526
286,老街茶馆,餐饮服务,茶艺馆,茶艺馆,广东省,广州市,增城区,113.893717,23.417579
287,茶芝味奶茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.892106,23.410359
288,梦回茶社,餐饮服务,茶艺馆,茶艺馆,广东省,广州市,增城区,113.891863,23.415553
289,龙西蛋糕,餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.894985,23.416305
290,益禾茗茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.892615,23.412259
291,玖枫山夏老街故事馆,餐饮服务,咖啡厅,咖啡厅,广东省,广州市,增城区,113.893762,23.417709
292,啊一柠檬茶(正果店),餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.893099,23.413748
293,绿茶道饮吧,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.89527,23.416887
294,强效凉茶铺,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.894113,23.415192
295,尹记传统手工蛋散,餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.892657,23.416792
296,品花茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.89511,23.416582
297,末凌烧仙草,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.883411,23.243829
298,茶百道,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.864262,23.242983
299,芋柠鲜茶(华立店),餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.868851,23.242431
300,青格style烘焙,餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.866206,23.237399
301,Luckin coffee瑞幸咖啡,餐饮服务,咖啡厅,咖啡厅,广东省,广州市,增城区,113.863973,23.239183
302,吾饮良品(华立店),餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.865785,23.23786
303,蜜雪冰城(广州增城华立校外店),餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.86553,23.237478
304,茶聊馆,餐饮服务,茶艺馆,茶艺馆,广东省,广州市,增城区,113.845051,23.2783
305,皇上皇酒家中秋月饼批发部,餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.843792,23.284977
306,古茗乐(增城店),餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.860578,23.24439
307,瑞知三秋甜品,餐饮服务,甜品店,甜品店,广东省,广州市,增城区,113.843856,23.29949
308,小确幸手作鲜茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.843329,23.295546
309,麦菲鲜茶(1978电影小镇总店),餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.843643,23.29843
310,SWEETA.Z至尊(1978创意园店),餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.843228,23.295753
311,38号矮房子藏吧,餐饮服务,休闲餐饮场所,休闲餐饮场所,广东省,广州市,增城区,113.843695,23.298093
312,答案茶(文化创意园店),餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.843048,23.295366
313,尚品奶茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.85905,23.185352
314,麦礼坊西饼,餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.85961,23.185128
315,煜尔玛西饼屋,餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.862938,23.184386
316,冠豪蛋糕,餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.85639,23.187319
317,喜甜烘焙坊,餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.856439,23.186745
318,果善茶饮,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.859315,23.18489
319,林小媛,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.861406,23.184673
320,MK&T,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.859113,23.18493
321,绿茶岛奶茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.858919,23.185521
322,兰溪冰室,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.953465,23.361834
323,熙茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,从化区,113.952866,23.811684
324,旋转咖啡(麦地分店),餐饮服务,咖啡厅,咖啡厅,广东省,广州市,从化区,113.953719,23.893668
325,香甜麦坊,餐饮服务,糕饼店,糕饼店,广东省,广州市,从化区,113.555709,23.563602
326,雅筑甜品,餐饮服务,甜品店,甜品店,广东省,广州市,从化区,113.574277,23.556186
327,Slim Tea水果茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,从化区,113.592056,23.627272
328,宫廷糕点,餐饮服务,糕饼店,糕饼店,广东省,广州市,从化区,113.587287,23.550946
329,大拇指(旺城店),餐饮服务,糕饼店,糕饼店,广东省,广州市,从化区,113.572556,23.556503
330,晨曦鲜奶(沿江路店),餐饮服务,冷饮店,冷饮店,广东省,广州市,从化区,113.592813,23.537666
331,荔景缘茶荘,餐饮服务,茶艺馆,茶艺馆,广东省,广州市,从化区,113.581509,23.5353
332,TC奶茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,从化区,113.545195,23.432226
333,新安服务区焰域咖啡,餐饮服务,咖啡厅,咖啡厅,广东省,广州市,增城区,113.578661,23.376606
334,茶士多,餐饮服务,冷饮店,冷饮店,广东省,广州市,从化区,113.566088,23.503153
335,嘻优记,餐饮服务,冷饮店,冷饮店,广东省,广州市,从化区,113.577647,23.512742
336,四季原著(从化六中店),餐饮服务,冷饮店,冷饮店,广东省,广州市,从化区,113.5871,23.531336
337,乐芙鲜茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,从化区,113.588619,23.530555
338,欧风麦甜(神岗悦心面包店),餐饮服务,糕饼店,糕饼店,广东省,广州市,从化区,113.533247,23.488941
339,冰屋缘茶饮,餐饮服务,冷饮店,冷饮店,广东省,广州市,黄埔区,113.575291,23.276683
340,OTEA茶馆,餐饮服务,茶艺馆,茶艺馆,广东省,广州市,黄埔区,113.57302,23.277289
341,KY茶栈,餐饮服务,休闲餐饮场所,休闲餐饮场所,广东省,广州市,黄埔区,113.57491,23.277365
342,蒸蕊面点坊,餐饮服务,糕饼店,糕饼店,广东省,广州市,黄埔区,113.574797,23.276583
343,简單點,餐饮服务,冷饮店,冷饮店,广东省,广州市,黄埔区,113.584054,23.277333
344,樂叔柠檬茶(中泰店),餐饮服务,冷饮店,冷饮店,广东省,广州市,黄埔区,113.585848,23.274399
345,二十一奶茶店,餐饮服务,冷饮店,冷饮店,广东省,广州市,黄埔区,113.553126,23.326072
346,taste time茶饮·料理,餐饮服务,冷饮店,冷饮店,广东省,广州市,黄埔区,113.553302,23.32512
347,手工吐司(合景店),餐饮服务,糕饼店,糕饼店,广东省,广州市,黄埔区,113.553217,23.324841
348,MEMO食研室,餐饮服务,糕饼店,糕饼店,广东省,广州市,黄埔区,113.551995,23.327831
349,花仙果纯手工甜品,餐饮服务,冷饮店,冷饮店,广东省,广州市,黄埔区,113.554055,23.32559
350,林小九蛋糕DIY工作室,餐饮服务,糕饼店,糕饼店,广东省,广州市,黄埔区,113.549234,23.323206
351,8090鲜萃茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,黄埔区,113.548625,23.323768
352,积顺凉茶鱼窝头分店,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.457302,22.852362
353,彩蝶轩(鱼窝头店),餐饮服务,糕饼店,糕饼店,广东省,广州市,南沙区,113.45836,22.851523
354,憨豆先生奶茶(鱼窝头店),餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.458587,22.851044
355,TEETEA(鱼窝头店),餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.455649,22.851144
356,谷美陶创意饮品,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.455696,22.85175
357,避风塘,餐饮服务,休闲餐饮场所,休闲餐饮场所,广东省,广州市,南沙区,113.482149,22.870596
358,8090鲜萃茶(鱼窝头店),餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.456936,22.850927
359,大卡司(鱼窝头店),餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.456085,22.851668
360,鱼窝头98K Tea,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.455945,22.8499
361,麦格维多面包工坊,餐饮服务,糕饼店,糕饼店,广东省,广州市,番禺区,113.47568,22.94037
362,全民果汁(亚运城店),餐饮服务,冷饮店,冷饮店,广东省,广州市,番禺区,113.476993,22.941499
363,星巴克(亚运城购物中心店),餐饮服务,咖啡厅,星巴克咖啡,广东省,广州市,番禺区,113.475793,22.941263
364,山海沐茶(亚运广场店),餐饮服务,冷饮店,冷饮店,广东省,广州市,番禺区,113.476936,22.941529
365,叹杯茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.493792,22.755656
366,横沥茶皇贡茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.499216,22.756385
367,磨咖啡MO COFFEE(明珠湾店),餐饮服务,咖啡厅,咖啡厅,广东省,广州市,南沙区,113.51336,22.770149
368,梧州凉茶,餐饮服务,茶艺馆,茶艺馆,广东省,广州市,南沙区,113.491304,22.734529
369,茶语(麒麟店),餐饮服务,甜品店,甜品店,广东省,广州市,南沙区,113.495906,22.811591
370,Hit铺,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.494139,22.811883
371,11點,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.499495,22.759105
372,royaltea皇茶(横沥店),餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.489309,22.734432
373,纤隐奶茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.486941,22.733224
374,乐满家蛋糕店,餐饮服务,糕饼店,糕饼店,广东省,广州市,南沙区,113.490928,22.734925
375,恋茶冷饮,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.489419,22.73445
376,花意间鲜花烘焙,餐饮服务,糕饼店,糕饼店,广东省,广州市,南沙区,113.490062,22.733141
377,麦香蛋糕屋,餐饮服务,糕饼店,糕饼店,广东省,广州市,南沙区,113.501195,22.807304
378,我的咖啡,餐饮服务,咖啡厅,咖啡厅,广东省,广州市,南沙区,113.491422,22.733596
379,品泉居(横沥店),餐饮服务,糕饼店,糕饼店,广东省,广州市,南沙区,113.491392,22.734759
380,暖兮的蛋糕,餐饮服务,糕饼店,糕饼店,广东省,广州市,南沙区,113.500374,22.807004
381,查茶(奶茶烧烤),餐饮服务,冷饮店,冷饮店,广东省,广州市,从化区,113.655072,23.645081
382,纳思(温泉店),餐饮服务,冷饮店,冷饮店,广东省,广州市,从化区,113.65602,23.645488
383,益禾堂,餐饮服务,冷饮店,冷饮店,广东省,广州市,从化区,113.605916,23.529931
384,益禾堂(南洋理工店),餐饮服务,甜品店,甜品店,广东省,广州市,从化区,113.617002,23.582248
385,蛋挞世界,餐饮服务,甜品店,甜品店,广东省,广州市,从化区,113.621468,23.592001
386,麦琪香西饼蛋糕店,餐饮服务,糕饼店,糕饼店,广东省,广州市,从化区,113.600795,23.53854
387,浓心爷爷·城市广场店,餐饮服务,甜品店,甜品店,广东省,广州市,黄埔区,113.550923,23.102432
388,濃心爺爺(水南村店),餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.554988,23.102248
389,巴黎天使烘焙公馆,餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.55339,23.104103
390,大台北奶茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,黄埔区,113.567644,23.18578
391,伊米蛋糕店,餐饮服务,糕饼店,糕饼店,广东省,广州市,黄埔区,113.56946,23.186359
392,旺阁奶茶皇(桑田横迳店),餐饮服务,冷饮店,冷饮店,广东省,广州市,黄埔区,113.566838,23.185719
393,昼梦咖啡DayDreamCoffee,餐饮服务,咖啡厅,咖啡厅,广东省,广州市,黄埔区,113.538736,23.169924
394,糖馆甜源,餐饮服务,甜品店,甜品店,广东省,广州市,番禺区,113.518578,22.917043
395,蜜桃烘焙,餐饮服务,糕饼店,糕饼店,广东省,广州市,黄埔区,113.568017,23.196537
396,长乐茶馆,餐饮服务,茶艺馆,茶艺馆,广东省,广州市,增城区,113.583642,23.160881
397,欧风麦甜面包蛋糕连锁(永和开发区店),餐饮服务,糕饼店,糕饼店,广东省,广州市,黄埔区,113.565388,23.190657
398,山海沐茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,黄埔区,113.560007,23.197692
399,广州江村糖水,餐饮服务,冷饮店,冷饮店,广东省,广州市,黄埔区,113.566377,23.191453
400,弹茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,黄埔区,113.566266,23.191002
401,路小猫,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.558739,22.769231
402,徐其修凉茶(大涌店),餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.556812,22.769244
403,名苑蛋糕,餐饮服务,糕饼店,糕饼店,广东省,广州市,南沙区,113.556837,22.769002
404,亲亲熊猫,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.556741,22.769138
405,好盏喵寿司甜品店,餐饮服务,甜品店,甜品店,广东省,广州市,南沙区,113.556487,22.768554
406,茶寄,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.556998,22.768825
407,逸果都市能量主题饮吧,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.557379,22.759097
408,熊猫不走生日蛋糕(南沙店),餐饮服务,糕饼店,糕饼店,广东省,广州市,南沙区,113.548018,22.779906
409,兰光精酿鲜啤酒,餐饮服务,休闲餐饮场所,休闲餐饮场所,广东省,广州市,南沙区,113.546068,22.700865
410,茶萌语休闲吧,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.549667,22.704977
411,1986鲜果茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.546565,22.701709
412,敏记茶楼,餐饮服务,茶艺馆,茶艺馆,广东省,广州市,南沙区,113.545437,22.701058
413,彩蝶轩(万顷沙店),餐饮服务,糕饼店,糕饼店,广东省,广州市,南沙区,113.546868,22.701753
414,堂茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.546209,22.700412
415,积顺凉茶行,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.54665,22.703715
416,皇冠·玛莉奥(万顷沙店),餐饮服务,糕饼店,糕饼店,广东省,广州市,南沙区,113.545156,22.703076
417,糖C,餐饮服务,甜品店,甜品店,广东省,广州市,南沙区,113.54666,22.701532
418,赵记传承特色牛奶甜品(万顷沙店),餐饮服务,甜品店,甜品店,广东省,广州市,南沙区,113.546272,22.700797
419,广州市南沙区茶茶里,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.543485,22.699324
420,TEE TEA(万顷沙店),餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.549175,22.704083
421,南沙旧时光(万顷沙店),餐饮服务,咖啡厅,咖啡厅,广东省,广州市,南沙区,113.545914,22.703456
422,为食猫,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.549826,22.705349
423,潼潼の店,餐饮服务,糕饼店,糕饼店,广东省,广州市,南沙区,113.547186,22.701885
424,盟盟哒奶茶小吃,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.543422,22.699259
425,品华居法式烘焙(南沙旗舰店),餐饮服务,糕饼店,糕饼店,广东省,广州市,南沙区,113.60839,22.764007
426,磨咖啡MO COFFEE(香港中华总商会店),餐饮服务,咖啡厅,咖啡厅,广东省,广州市,南沙区,113.606872,22.769063
427,信裕西饼店,餐饮服务,糕饼店,糕饼店,广东省,广州市,南沙区,113.606349,22.645107
428,时来茶室,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.606821,22.64566
429,垦茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.603331,22.647918
430,包道广式点心专门店(新垦店),餐饮服务,糕饼店,糕饼店,广东省,广州市,南沙区,113.605965,22.644609
431,平安堂(康华路店),餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.607124,22.644895
432,醒茶奶茶店,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.607661,22.646458
433,邓老凉茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.6065,22.645572
434,金麦坊烘焙(新街店),餐饮服务,糕饼店,糕饼店,广东省,广州市,从化区,113.73549,23.719523
435,Cafe D,餐饮服务,咖啡厅,咖啡厅,广东省,广州市,从化区,113.728775,23.700162
436,乐叔柠檬茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.628641,23.333869
437,啊一柠檬茶(福和店),餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.634533,23.358101
438,大台北奶茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.633488,23.358355
439,AOMY澳麦居烘焙店(福和店),餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.634152,23.360008
440,岭南茗点(福和分店),餐饮服务,茶艺馆,茶艺馆,广东省,广州市,增城区,113.633464,23.363673
441,福和美心西饼屋(福和市场店),餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.633244,23.360261
442,冰泺奶茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.661496,23.327156
443,维妮DIY甜品屋(中新店),餐饮服务,甜品店,甜品店,广东省,广州市,增城区,113.613209,23.296195
444,好荟饮,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.633387,23.358243
445,伊藤家面包厨房,餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.632616,23.35801
446,好又多糖水店,餐饮服务,甜品店,甜品店,广东省,广州市,增城区,113.632423,23.35991
447,黄振龙凉茶(福和),餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.633078,23.359216
448,品味茶楼,餐饮服务,茶艺馆,茶艺馆,广东省,广州市,增城区,113.633531,23.359
449,柠度,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.633226,23.356827
450,碧园坊面包店,餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.637894,23.164397
451,卡琳达烘焙(广州沙浦店),餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.657404,23.166362
452,猫茶匠(增城店),餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.657397,23.166358
453,御卿贡茶(荔富广场店）,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.655039,23.168087
454,奶茶猫,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.613797,23.262536
455,皮克斯咖啡馆,餐饮服务,咖啡厅,咖啡厅,广东省,广州市,增城区,113.659245,23.219008
456,芝芝糖水屋(中新店),餐饮服务,甜品店,甜品店,广东省,广州市,增城区,113.617009,23.287436
457,好运气饮品(香山湖店),餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.615398,23.226559
458,欢聚休闲小站,餐饮服务,休闲餐饮场所,休闲餐饮场所,广东省,广州市,从化区,113.713776,23.579763
459,益禾堂,餐饮服务,冷饮店,冷饮店,广东省,广州市,从化区,113.712359,23.580963
460,糖糖面包坊,餐饮服务,糕饼店,糕饼店,广东省,广州市,从化区,113.71264,23.580628
461,栗子家蛋糕店,餐饮服务,糕饼店,糕饼店,广东省,广州市,从化区,113.679283,23.632574
462,Luckin coffee瑞幸咖啡(广州南方学院店),餐饮服务,咖啡厅,咖啡厅,广东省,广州市,从化区,113.680082,23.630448
463,芬芳奶茶店,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.743793,23.388549
464,爽茶奶茶店,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.743881,23.388314
465,唯妮甜品屋(横塱店),餐饮服务,甜品店,甜品店,广东省,广州市,增城区,113.714653,23.273428
466,甜麦味,餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.702129,23.273841
467,澳门莫子猪扒包(朱村店),餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.701268,23.272893
468,Luckin coffee瑞幸咖啡(广州大学松田学院店),餐饮服务,咖啡厅,咖啡厅,广东省,广州市,增城区,113.72756,23.27715
469,啊一柠檬茶(松田店),餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.732306,23.276062
470,比嘉思西饼屋,餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.698645,23.273031
471,吉子蜜,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.726044,23.277077
472,邓山茶馆,餐饮服务,茶艺馆,茶艺馆,广东省,广州市,增城区,113.741637,23.351355
473,麦堡王(松田店),餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.731769,23.276576
474,伊藤家面包蛋糕炸鸡和汉堡,餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.678811,23.271427
475,西福河茶楼,餐饮服务,茶艺馆,茶艺馆,广东省,广州市,增城区,113.735708,23.218995
476,啊一柠檬茶(朱村店),餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.696975,23.275223
477,广州市增城君顺凉茶店,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.678534,23.274438
478,星奇异蛋糕屋(新塘店),餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.717964,23.169151
479,惠英糖水店,餐饮服务,甜品店,甜品店,广东省,广州市,增城区,113.718328,23.168589
480,益茶堂(仙村店),餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.71802,23.168894
481,表弟蛋糕,餐饮服务,甜品店,甜品店,广东省,广州市,增城区,113.718735,23.169658
482,包原味,餐饮服务,甜品店,甜品店,广东省,广州市,增城区,113.718336,23.168595
483,兴华饼家,餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.719506,23.167937
484,蓝美点艺术蛋糕店,餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.718611,23.167684
485,得闲饮茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.719428,23.164788
486,顶轩饼屋,餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.7191,23.16647
487,探一茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.719156,23.165189
488,满茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.719242,23.164845
489,啊一柠檬茶(仙村店),餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.71877,23.165412
490,香港仔奶茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.718477,23.168042
491,洪茶馆,餐饮服务,茶艺馆,茶艺馆,广东省,广州市,增城区,113.718949,23.168761
492,1987老舍茶铺,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.718997,23.162622
493,夏令营花果鲜茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.719401,23.164843
494,香蜜园,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.717145,23.18367
495,喜田茶铺,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.715815,23.188032
496,仙村伊莎曼,餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.715658,23.188263
497,甜蜜蜜糖水,餐饮服务,甜品店,甜品店,广东省,广州市,增城区,113.719011,23.165752
498,Brown cake,餐饮服务,糕饼店,糕饼店,广东省,广州市,增城区,113.715192,23.165993
499,初茶(仙村店),餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.721675,23.164782
500,粤点茶舍,餐饮服务,茶艺馆,茶艺馆,广东省,广州市,增城区,113.71917,23.163421
501,壹玖捌玖奶茶店,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.735924,23.185119
502,老表凉茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.755579,23.204134
503,零下一度奶茶店,餐饮服务,冷饮店,冷饮店,广东省,广州市,增城区,113.756004,23.203895
