,名称,大类,中类,小类,省,市,区,经度,纬度
308,交通银行(广州番禺支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.358295,22.924641
309,广州农商银行(梯面分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.294801,23.550163
310,广州农商银行ATM(梯面分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.294899,23.550311
311,中国建设银行裕龙通普惠金融服务点,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.27998,23.582218
312,中国建设银行(祈福缤纷汇支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.334557,22.97104
313,中国建设银行ATM(广州番禺昊龙支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.357735,22.915117
314,中国银行(祈福支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.334642,22.970947
315,广州农商银行(金沙御苑分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.354445,22.911763
316,广州农商银行ATM(沙湾古镇支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.336566,22.902417
317,中国设银行ATM,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.343106,22.970214
318,中国银行(富豪山庄支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.34768,22.966618
319,广州农商银行ATM(屏山支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.289121,22.962364
320,中国工商银行(广州祈福缤纷汇支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.33465,22.971063
321,招商银行(祈福缤纷汇社区支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.334035,22.97092
322,广州农商银行(榄塘分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.354383,22.971492
323,广州农村商业银行ATM,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.353151,22.960521
324,中国工商银行(广州人和支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.29343,23.33732
325,广州农商银行(华西支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.298052,23.34469
326,广州农商银行(龙塘分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.331588,23.335139
327,中国农业银行(广州人和支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.292452,23.337767
328,中国建设银行ATM(人和支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.300315,23.332241
329,广州农商银行(高增分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.308083,23.34806
330,邮政银行,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.296095,23.333799
331,广州农商银行(秀水分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.304301,23.324707
332,中国邮政储蓄银行(人和营业所),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.295481,23.33471
333,广州农商银行(凤和分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.284335,23.343341
334,中国银行(广州新白云机场支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.302869,23.368185
335,广发银行(新机场支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.303265,23.368321
336,广州农商银行(华通支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.297709,23.3327
337,广州农商银行(空港经济区支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.298542,23.329479
338,广州农商银行ATM,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.307965,23.348061
339,广州农商银行(鸦湖分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.292989,23.325459
340,广州白云民泰村镇银行(人和支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.292897,23.337378
341,中国建设银行(广州人和支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.292819,23.336489
342,中国建设银行(太和支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.352219,23.302841
343,广州农商银行(明星分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.312848,23.356175
344,中国银行(民营科技园支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.335785,23.298761
345,广州农商银行(矮岗分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.288645,23.35634
346,中国农业银行(广州竹料支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.355367,23.366226
347,中国建设银行ATM(华盛南路),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.285296,23.33184
348,中国建设银行(白云国际机场支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.299422,23.36759
349,广州农商银行(太和支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.357832,23.294137
350,广州农商银行(推广支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.328328,23.437006
351,中国银行(广州花东支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.321563,23.436086
352,中国工商银行ATM,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.303718,23.388925
353,中国建设银行(花东支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.323036,23.436304
354,广发银行ATM(广州白云机场T2航站楼),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.30762,23.397023
355,广发银行ATM(广州白云机场T2航站楼),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.306015,23.397396
356,中国农业银行(广州花都花东支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.324572,23.43691
357,中国建设银行ATM(广州白云国际机场T1航站楼),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.303162,23.385644
358,中国邮政储蓄银行(推广储蓄所),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.324275,23.436368
359,广州银行(广州空港支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.305045,23.435301
360,广发银行(广州白云机场T2航站楼),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.305994,23.397393
361,中国邮政储蓄银行(推广储蓄所),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.330039,23.437499
362,广州花都稠州村镇银行(花东支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.327209,23.436856
363,广州农商银行(机场北支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.321346,23.435997
364,广州农商银行(汉塘支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.329433,23.377697
365,中国工商银行(花都新机场支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.319908,23.436735
366,广州白云民泰村镇银行,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.330338,23.378953
367,中国农业银行ATM(广州花都花东支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.324734,23.436875
368,广发银行ATM(广州白云国际机场T1航站楼),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,花都区,113.306235,23.386363
369,广州农商银行ATM(汉塘支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.329428,23.377711
370,中国农业银行(五仙桥支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.31804,23.171512
371,中国农业银行(广州梅花园支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.320907,23.176214
372,广州农商银行(银河支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.325513,23.165812
373,广州银行ATM(沙河支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.317032,23.162873
374,中国建设银行(广州怡新支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.324757,23.176508
375,广州银行(沙河支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.317028,23.162892
376,中国建设银行(广州沙太支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.323183,23.163452
377,中国邮政储蓄银行(白云支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.320877,23.17814
378,中国银行(梅花园支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.322598,23.175358
379,中国工商银行(广州北苑支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.326164,23.167185
380,广发银行(沙太路支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.332761,23.179759
381,交通银行(沙泰支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.319408,23.159222
382,中国工商银行(梅花园支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.321981,23.182052
383,中国农业银行(广州京溪支行)(装修中),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.330301,23.181145
384,中国工商银行(广州沙和路支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.318274,23.160716
385,中国工商银行(广州麒麟岗支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.325657,23.183598
386,中国邮政储蓄银行(冠庭园支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.316936,23.163236
387,广发银行(天河东支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.33413,23.136322
388,中国银行(燕岭大厦支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.326744,23.159314
389,中国银行(广州云景支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.32779,23.186212
390,广州农商银行(元岗支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.34231,23.175674
391,交通银行(沙河支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.307894,23.155662
392,九江银行(广州天平装饰材料城社区支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.318743,23.161016
393,中国建设银行(林和中路支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.325917,23.145913
394,广州农商银行(龙口西支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.33605,23.14262
395,招商银行(同和支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.325635,23.185196
396,广州银行(福利支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.327658,23.160395
397,中国光大银行(梅花园支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.320899,23.178907
398,广州银行(龙口西支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.33796,23.14471
399,中国工商银行(燕侨大厦支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.327973,23.160723
400,广发银行(广州东站支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.323489,23.148511
401,中国工商银行(广州东平支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.315887,23.248971
402,广州农商银行(东平支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.310091,23.248025
403,广州农商银行(永兴支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.32414,23.268475
404,中国建设银行(岭南新世界支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.296878,23.233478
405,中国银行(广州岭南新世界支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.296834,23.232455
406,广州银行(嘉禾支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.282197,23.238093
407,广州农商银行(龙归支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.304076,23.275296
408,上海浦东发展银行(广州岭南新世界社区支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.296477,23.228896
409,广州农商银行(黄边支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.279564,23.224487
410,中国农业银行(嘉禾支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.280717,23.236603
411,中国农业银行(龙归支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.304393,23.275244
412,中国建设银行(云山支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.28984,23.220433
413,中国工商银行(广州嘉禾支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.280499,23.236159
414,中国农业银行(岭南新世界支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.296714,23.230219
415,兴业银行(时代玫瑰园社区支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.286432,23.223508
416,广州农商银行(长红支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.294001,23.259075
417,广州农商银行ATM(永兴中路),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.319864,23.2663
418,中国农业银行(时代玫瑰园支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.286358,23.222346
419,中国工商银行(广州南湖支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.339561,23.230782
420,中国工商银行(颐和支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.306919,23.220676
421,招商银行(广州岭南新世界小微支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.296803,23.231789
422,中国工商银行(岭南新世界支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.296714,23.230581
423,中国工商银行(白云新城支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.291506,23.220156
424,中国农业银行(广州林安物流园支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.358448,23.262276
425,中国银行(广州黄边北路支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.288723,23.221678
426,广州农商银行(新科支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.289973,23.253947
427,中国工商银行(广州太和支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.357288,23.292296
428,广州农商银行(云景支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.303133,23.227571
429,广州农商银行(大源支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.351514,23.249107
430,中国邮政(储著银行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.357629,23.291911
431,华夏银行(岭南新世界社区支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.294291,23.231889
432,广州农商银行(白山支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.408465,23.269786
433,广州农商银行(双龙支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.36321,23.288169
434,广州农商银行(米龙分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.358649,23.288863
435,广州市农村商业银行ATM(米龙分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.358631,23.288965
436,广州白云民泰村镇银行(总行营业部),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.357991,23.26326
437,广州农商银行(石湖支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.345607,23.285881
438,中国邮政储蓄银行(太和支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.357616,23.291822
439,广州农商银行(南岭分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.294591,23.267082
440,广州农商银行(白沙支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.366491,23.33996
441,广州农商银行(广从支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.374377,23.358593
442,上海浦东发展银行ATM(广外南国商学院),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.384968,23.338537
443,广州农商银行(良田支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.383134,23.348854
444,广州农商银行ATM(大龙口),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.41617,23.335223
445,中国建设银行校园银行,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.426512,23.368687
446,中国建设银行ATM(广东青年职业学院),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.425188,23.368955
447,广州农商银行(中和分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,白云区,113.368785,23.350551
448,广州农商银行(凤浦支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.398428,23.093694
449,中国农业银行ATM(夏阳大街),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.396854,23.088905
450,中国建设银行(羊城花园支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.40883,23.118639
451,中国工商银行(广州黄埔古港支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.385556,23.096865
452,中国建设银行,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.367385,23.095998
453,中国建设银行(东圃支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.393033,23.125017
454,中国人民银行广州分行清算中心,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.371605,23.123913
455,广州银行(东圃支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.405114,23.121533
456,广州农商银行(新洲码头支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.409281,23.084838
457,平安银行(广州琶洲支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.378958,23.100907
458,中信银行(广州琶洲支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.38015,23.101375
459,中国银行(中悦广场支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.382703,23.104255
460,中国银行(广州东圃支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.404721,23.120608
461,私人银行,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.384391,23.102083
462,招商银行(骏景广场支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.382244,23.125045
463,中国农业银行(广州琶洲支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.366888,23.095544
464,中国农业银行(广州东圃支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.402945,23.120899
465,中国建设银行(骏景花园支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.385928,23.120906
466,广州农商银行(琶洲支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.382402,23.098265
467,中国建设银行(广州天悦支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.378794,23.100729
468,中国工商银行(广州琶洲支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.371413,23.100636
469,交通银行(广州东圃支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.404346,23.120826
470,中国工商银行(广州天悦支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.378308,23.099972
471,广州农商银行(珠村支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.424204,23.118017
472,广州农商银行(员村支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.36498,23.111823
473,广发银行,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.390641,23.12062
474,中国工商银行(广州美林支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.413912,23.108834
475,平安银行(广州骏景花园社区支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.386442,23.121805
476,交通银行(广州前进支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.417171,23.113126
477,中国银行(远洋明苑支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.412379,23.118913
478,中国农业银行(骏景花园支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.385801,23.121911
479,中国银行(保利国际广场支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.371471,23.102072
480,东莞银行(广州天河支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.417286,23.119021
481,广州银行(保利天悦支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.378327,23.100636
482,中国工商银行(广州东圃支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.403709,23.122787
483,中国农业银行(天朗明居支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.392222,23.125826
484,中国民生银行(广州琶洲支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,海珠区,113.379261,23.101311
485,中国邮政储蓄银行(羊城花园营业所),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.410147,23.119297
486,兴业银行(骏景花园社区支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.38562,23.122089
487,广州农商银行(前进支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.411336,23.112067
488,中国工商银行(广州骏景支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.386521,23.122364
489,中国银行(广州智慧城支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.402515,23.167952
490,中国建设银行(天河科技园支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.412794,23.173173
491,招商银行(智慧城支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.405833,23.167007
492,中国农业银行(广州智慧城支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.410873,23.172199
493,中国建设银行(广州智慧城支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.405629,23.165129
494,中国工商银行(广州岑村支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.38317,23.16821
495,广州农商银行(软件园分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.412495,23.170973
496,东莞银行(广州东圃支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.413663,23.162426
497,中国工商银行(广州智慧城支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.41727,23.173334
498,广州农商银行(小新塘支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.413129,23.157784
499,广州农商银行(大观分理处),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.415481,23.162154
500,广州农商银行(岑村支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.381803,23.164128
501,广发银行(龙洞支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.367007,23.192754
502,广州农商银行(联和支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,黄埔区,113.424675,23.200045
503,中国邮政储蓄银行(科技支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,黄埔区,113.434293,23.165769
504,交通银行(广州开发区支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,黄埔区,113.434899,23.165776
505,交通银行(开发区支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,黄埔区,113.434787,23.165817
506,中信银行(广州开发区支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,黄埔区,113.435661,23.162453
507,中国建设银行(广州经济技术开发区支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,黄埔区,113.437209,23.168124
508,中国农业银行,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.409759,23.183215
509,招商银行(汇景新城支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.367644,23.149142
510,交通银行ATM(合景路)(暂停营业),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.40585,23.155581
511,中国农业银行(广州龙洞支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.367225,23.193078
512,中国工商银行(广州龙洞支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.365776,23.193844
513,东莞银行ATM(广州东圃支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.413619,23.162433
514,中国建设银行(广州龙洞支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.366424,23.192674
515,兴业银行(中海康城社区支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,天河区,113.403835,23.133523
516,中国银行(广州番禺支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.385636,22.934985
517,交通银行(广州东瀚园支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.393564,22.934847
518,中国建设银行(番禺东怡支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.392872,22.935211
519,中国银行(金海岸支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.406198,22.931247
520,中国邮政储蓄银行(石岗营业所),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.401235,22.937035
521,中国工商银行(清河东路支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.406656,22.9371
522,中信银行(广州番禺支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.389204,22.935145
523,东莞银行(番禺支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.393604,22.935181
524,新华村镇银行(市桥支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.394198,22.937605
525,广州农商银行(清河东路支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.378983,22.936104
526,广州农商银行(东湖洲支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.416246,22.927608
527,中国农业银行(亚运大道支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.405016,22.937241
528,广州农商银行(东怡支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.392094,22.935194
529,广州农商银行东怡支行广州社区金融服务站,金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.392095,22.935201
530,平安银行(广州番禺支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.371447,22.938352
531,中国农业银行(平康支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.3809,22.940741
532,广州农商银行(石岗支行),金融保险服务,金融保险服务机构,金融保险机构,广东省,广州市,番禺区,113.398412,22.940651
