,新斯浦物流中心,生活服务,物流速递,物流速递.1,广东省,广州市,花都区,113.238132,23.41208
269,菜鸟驿站(广州黄猄坳下街11号9店),生活服务,物流速递,物流速递,广东省,广州市,天河区,113.31834,23.17446
270,丰巢快递柜,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.317519,23.175653
271,聚友E家,生活服务,电讯营业厅,电讯营业厅,广东省,广州市,天河区,113.31829,23.174612
272,菜鸟驿站(广州黄猄拗上街53号店),生活服务,物流速递,物流速递,广东省,广州市,天河区,113.31914,23.17468
273,德邦(天平架营业部),生活服务,物流速递,物流速递,广东省,广州市,天河区,113.329465,23.172538
274,申通快递点,生活服务,物流速递,物流速递,广东省,广州市,天河区,113.318039,23.17503
275,中通速递,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.319013,23.25108
276,申通快递永平分公司,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.318349,23.25473
277,菜鸟驿站(广州白云东平钟兴中街12号店),生活服务,物流速递,物流速递,广东省,广州市,白云区,113.318116,23.253457
278,中国电信营业厅,生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,白云区,113.316772,23.250339
279,中国移动,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,白云区,113.319286,23.256477
280,菜鸟驿站(广州白云东平钟兴南巷14号店),生活服务,物流速递,物流速递,广东省,广州市,白云区,113.31694,23.25348
281,德邦快递,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.318448,23.256306
282,丰和物流园,生活服务,物流速递,物流仓储场地,广东省,广州市,白云区,113.358954,23.259423
283,中国移动,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,白云区,113.408682,23.268779
284,百世快递,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.407791,23.267527
285,广州市博涛物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.40173,23.271775
286,菜鸟驿站(广州太和白山市场店),生活服务,物流速递,物流速递,广东省,广州市,白云区,113.408789,23.26873
287,广州新来泰物流,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.372704,23.258865
288,乌托邦物流,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.370902,23.259643
289,昌润物流,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.370814,23.259584
290,广州优邦物流,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.370364,23.258439
291,广州通兴物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.370015,23.257313
292,鑫荟成物流,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.370127,23.258581
293,江苏鹏程物流广州公司,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.370239,23.259744
294,奥辉物流,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.373132,23.258867
295,滨江(厚德)物流广州分公司,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.370391,23.257652
296,广州市福邦物流有限公司总部,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.370857,23.259007
297,全龙物流(白云丰和仓),生活服务,物流速递,物流速递,广东省,广州市,白云区,113.366293,23.257647
298,杰时达物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.370699,23.258444
299,冀骏物流公司,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.364049,23.259008
300,顺丰速运南区收派点,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.363633,23.25228
301,广州市凯捷通物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.366293,23.258624
302,广州国瑞物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.358994,23.259311
303,中通速递,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.368356,23.268947
304,魅力东方货运市场,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.360134,23.259063
305,广州市飞鹏物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.370772,23.259649
306,拓驰物流,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.361504,23.253213
307,广蒙物流,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.364927,23.241576
308,广明物流,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.361773,23.258572
309,安立明物流公司,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.362876,23.266926
310,陆联物流,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.362535,23.265122
311,岳顺物流,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.364209,23.241975
312,菜鸟驿站(广州涉外经济职院南校区),生活服务,物流速递,物流速递,广东省,广州市,白云区,113.36616,23.252479
313,华夏龙供应链广州白云仓,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.391133,23.334344
314,千鹤物流,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.389052,23.335286
315,广州鑫潮欣物流园,生活服务,物流速递,物流仓储场地,广东省,广州市,白云区,113.392503,23.333547
316,广峰快运,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.388664,23.333532
317,中国电信(金盆营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,白云区,113.381342,23.324101
318,广州白云太和兴丰轮胎物流,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.392287,23.343734
319,中国联通5G智慧生活馆,生活服务,电讯营业厅,电讯营业厅,广东省,广州市,白云区,113.391654,23.341026
320,百世快运(良沙路店),生活服务,物流速递,物流速递,广东省,广州市,白云区,113.413228,23.335893
321,壹米滴答,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.413374,23.33599
322,韵达驿站,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.416079,23.334927
323,菜鸟驿站(南国商校园),生活服务,物流速递,物流速递,广东省,广州市,白云区,113.384827,23.339636
324,中国电信(黄埔村营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,海珠区,113.397893,23.092705
325,拓远物流,生活服务,物流速递,物流速递,广东省,广州市,海珠区,113.399395,23.092193
326,中国联通黄埔村营业厅(宽带报装),生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,海珠区,113.397909,23.092951
327,天天快递驿站,生活服务,物流速递,物流速递,广东省,广州市,海珠区,113.397537,23.092249
328,极兔速递,生活服务,物流速递,物流速递,广东省,广州市,海珠区,113.399692,23.092425
329,中国电信宽带报装点,生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,海珠区,113.393558,23.092951
330,顺丰速运,生活服务,物流速递,物流速递,广东省,广州市,海珠区,113.399565,23.092009
331,京东广州仑头配送仓,生活服务,物流速递,物流速递,广东省,广州市,海珠区,113.39947,23.091881
332,中国移动,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,海珠区,113.397959,23.092241
333,京东快递,生活服务,物流速递,物流速递,广东省,广州市,海珠区,113.399466,23.091785
334,妈妈驿站,生活服务,物流速递,物流速递,广东省,广州市,海珠区,113.396957,23.090392
335,韵达快递(黄埔村店),生活服务,物流速递,物流速递,广东省,广州市,海珠区,113.397029,23.090371
336,中国邮政速递物流(新港东路),生活服务,邮局,邮政速递,广东省,广州市,海珠区,113.401583,23.092633
337,天天快递驿站,生活服务,物流速递,物流速递,广东省,广州市,海珠区,113.398369,23.09078
338,菜鸟驿站,生活服务,物流速递,物流速递,广东省,广州市,海珠区,113.396262,23.089803
339,华新(集团)物流中心,生活服务,物流速递,物流速递,广东省,广州市,海珠区,113.376011,23.090755
340,中国邮政(凌塘代办点),生活服务,邮局,邮局,广东省,广州市,天河区,113.400262,23.172638
341,菜鸟驿站,生活服务,物流速递,物流速递,广东省,广州市,天河区,113.398197,23.17205
342,快递管家,生活服务,物流速递,物流速递,广东省,广州市,天河区,113.399732,23.172845
343,菜鸟驿站(广州凌塘村新庄19-1号店),生活服务,物流速递,物流速递,广东省,广州市,天河区,113.39907,23.172977
344,中国联通(凌塘专营店),生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,天河区,113.400063,23.171432
345,中国邮政(凌塘代投点),生活服务,物流速递,物流速递,广东省,广州市,天河区,113.400266,23.17264
346,顺丰速运,生活服务,物流速递,物流速递,广东省,广州市,天河区,113.400465,23.171304
347,中国电信(穗凌天翼合作店),生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,天河区,113.400304,23.169332
348,菜鸟驿站(凌塘村新庄百货13号百汇丰百货店),生活服务,物流速递,物流速递,广东省,广州市,天河区,113.399139,23.172896
349,亚风快运(百安居A座东北),生活服务,物流速递,物流速递,广东省,广州市,天河区,113.400888,23.171178
350,菜鸟驿站(美宜佳K216天河凌塘村店),生活服务,物流速递,物流速递,广东省,广州市,天河区,113.40014,23.17019
351,中通快递(凌塘分部),生活服务,物流速递,物流速递,广东省,广州市,天河区,113.395982,23.169196
352,中国联通专营店,生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,天河区,113.398784,23.168246
353,中通快递,生活服务,物流速递,物流速递,广东省,广州市,天河区,113.400103,23.169159
354,菜鸟驿站(广州天河凌塘村上街北一号店),生活服务,物流速递,物流速递,广东省,广州市,天河区,113.400212,23.170654
355,中国电信(万科云营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,天河区,113.402412,23.167983
356,黄记菜M鸟驿站,生活服务,物流速递,物流速递,广东省,广州市,天河区,113.397629,23.16824
357,菜鸟驿站(凌塘下街店),生活服务,物流速递,物流速递,广东省,广州市,天河区,113.408784,23.159503
358,广州市鑫荣物流,生活服务,物流速递,物流速递,广东省,广州市,天河区,113.397407,23.167697
359,菜鸟驿站(广州凌塘村上街北巷66一2店),生活服务,物流速递,物流速递,广东省,广州市,天河区,113.400273,23.17065
360,妈妈驿站,生活服务,物流速递,物流速递,广东省,广州市,天河区,113.39766,23.168191
361,中国移动石岗服务厅,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,番禺区,113.398828,22.936498
362,中国电信(清河东路营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,番禺区,113.377706,22.935393
363,清河满心米业配送中心,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.398815,22.933083
364,东怡投递站,生活服务,邮局,邮局,广东省,广州市,番禺区,113.395295,22.931111
365,清河鹏兴米业配送中心,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.399147,22.933491
366,中国邮政(石岗邮政所),生活服务,邮局,邮局,广东省,广州市,番禺区,113.401243,22.937219
367,番禺区邮政局邮件处理中心,生活服务,邮局,邮局,广东省,广州市,番禺区,113.39379,22.931704
368,中国电信(美心授权客服中心),生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,番禺区,113.398638,22.936521
369,中国电信(石岗营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,番禺区,113.39852,22.936779
370,鑫隆物流(中兴步行街),生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.400825,22.930499
371,渝川配送中心,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.400865,22.930587
372,广州餐品汇餐饮配送中心,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.400541,22.930987
373,国阳壹品鲜食品有限公司配送中心,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.399284,22.931128
374,中国移动通讯,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,番禺区,113.398127,22.941329
375,中国移动社区服务站,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,番禺区,113.393221,22.933529
376,广州农和实业有限公司配送中心(第二配送点),生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.400145,22.931917
377,番禺邮政物流园,生活服务,邮局,邮政速递,广东省,广州市,番禺区,113.393983,22.931703
378,中国联通(石岗营业厅),生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,番禺区,113.39802,22.940397
379,中国联通,生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,番禺区,113.395566,23.016934
380,中国电信,生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,番禺区,113.395215,23.009684
381,中国移动(翔宇通信特约代理点),生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,番禺区,113.395584,23.016909
382,中通快递,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.399309,23.008687
383,中国电信东锋源天翼合作店,生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,番禺区,113.394705,23.009244
384,中国电信(南村晋胜横街专营店),生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,番禺区,113.393691,23.007329
385,中国电信达之琪通信天翼店,生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,番禺区,113.393155,23.003403
386,中国联通(南村营业厅),生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,番禺区,113.389294,23.007045
387,韵达快递,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.392567,23.011582
388,顺丰速运恒美点部,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.399873,23.006334
389,中国电信(潭洲上村社区店),生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,南沙区,113.391302,22.780012
390,中国移动极光宽带报装点,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,南沙区,113.391091,22.781019
391,中国移动骏骏专营店,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,南沙区,113.389967,22.782341
392,中国电信(圣域通信),生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,南沙区,113.388593,22.783497
393,京东快递,生活服务,物流速递,物流速递,广东省,广州市,南沙区,113.394497,22.788913
394,广州铭升货运代理有限公司,生活服务,物流速递,物流速递,广东省,广州市,南沙区,113.39074,22.786694
395,中国移动(大岗服务厅),生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,南沙区,113.401836,22.797071
396,开创物流,生活服务,物流速递,物流速递,广东省,广州市,南沙区,113.382596,22.86562
397,韵达快递,生活服务,物流速递,物流速递,广东省,广州市,南沙区,113.386222,22.857357
398,壹米滴答,生活服务,物流速递,物流速递,广东省,广州市,南沙区,113.390182,22.839108
399,中国移动(榄核世纪通讯配件店),生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,南沙区,113.389916,22.838799
400,广州驰通运输有限公司,生活服务,物流速递,物流速递,广东省,广州市,南沙区,113.412592,22.864411
401,广东中昱物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,南沙区,113.384421,22.86456
402,中国移动(龙昌公用电话特约代理点),生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,南沙区,113.386568,22.838084
403,长长兴盛优选提货点,生活服务,物流速递,物流速递,广东省,广州市,南沙区,113.410109,22.868817
404,天创世捷物流,生活服务,物流速递,物流速递,广东省,广州市,南沙区,113.404492,22.878038
405,苏宁天天快递(鱼窝头分部),生活服务,物流速递,物流速递,广东省,广州市,南沙区,113.404952,22.877756
406,中国电信,生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,从化区,113.370207,23.596235
407,中国移动鳌头兴友通信特约代理点,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,从化区,113.426396,23.611512
408,中国邮政农村邮政综合服务社,生活服务,邮局,邮局,广东省,广州市,从化区,113.407529,23.661411
409,速尔快递,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.415613,23.667598
410,百世快运,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.415536,23.637315
411,韵达快递,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.415801,23.668669
412,菜鸟驿站(广州从化龙潭琶江路63号店),生活服务,物流速递,物流速递,广东省,广州市,从化区,113.412889,23.666357
413,智慧社区服务厅,生活服务,电讯营业厅,电讯营业厅,广东省,广州市,从化区,113.415335,23.670309
414,从化区龙潭营业厅电信邮政微花市,生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,从化区,113.41519,23.666405
415,中通快递,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.415084,23.667919
416,龙潭快递,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.415211,23.669879
417,中国移动(鳌头服务厅),生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,从化区,113.426792,23.61905
418,菜鸟驿站(广州花都莘田二村店),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.410098,23.40332
419,天之舟物流,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.40601,23.429673
420,恒路物流,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.4178,23.41947
421,龙兴物流,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.418578,23.421383
422,中国移动,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,花都区,113.376343,23.419326
423,中国移动(营业厅),生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,花都区,113.420329,23.423191
424,申通快递(北兴),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.419831,23.426605
425,北兴村农村邮政服务站,生活服务,邮局,邮局,广东省,广州市,花都区,113.423915,23.428455
426,能又能起重运输部,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.417865,23.425753
427,北兴投递站,生活服务,邮局,邮政速递,广东省,广州市,花都区,113.424297,23.427688
428,中国邮政(钟落潭邮政代办所),生活服务,邮局,邮局,广东省,广州市,白云区,113.404609,23.38445
429,中国电信(万大广场合作营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,花都区,113.41937,23.424745
430,快捷快递,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.389097,23.392052
431,丰巢蜜蜂柜,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.374874,23.419741
432,中国移动极光宽带报装点,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,花都区,113.421599,23.424975
433,中通快递,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.418703,23.426458
434,速腾快递,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.392541,23.390714
435,国药物流,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.358977,23.465888
436,顺丰速运(花东仓储部),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.362383,23.467665
437,鸿顺餐饮配送中心,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.417912,23.455841
438,中国移动,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,花都区,113.35931,23.457292
439,中国联通(金港城营业厅),生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,花都区,113.35936,23.45734
440,菜鸟驿站(广州花都北兴鸿鹤村下新路店),生活服务,物流速递,物流速递,广东省,广州市,花都区,113.418382,23.455376
441,领航物流科技(广州)有限公司,生活服务,物流速递,物流速递,广东省,广州市,花都区,113.361193,23.464501
442,锦博空港物流园,生活服务,物流速递,物流仓储场地,广东省,广州市,花都区,113.361655,23.468415
443,中国邮政农村邮政综合服务站,生活服务,邮局,邮局,广东省,广州市,从化区,113.478071,23.502847
444,中国邮政农村邮政综合服务站,生活服务,邮局,邮局,广东省,广州市,从化区,113.490956,23.483029
445,中国移动宽带报装点,生活服务,电讯营业厅,电讯营业厅,广东省,广州市,从化区,113.494543,23.481564
446,中国移动宽带报装点,生活服务,电讯营业厅,电讯营业厅,广东省,广州市,从化区,113.496688,23.479415
447,内直达专线,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.492149,23.454778
448,中国移动报装点,生活服务,电讯营业厅,电讯营业厅,广东省,广州市,从化区,113.464353,23.456291
449,菜鸟驿站(广州从化太平镇水南村店),生活服务,物流速递,物流速递,广东省,广州市,从化区,113.49814,23.46171
450,德邦快递(广州从化区太平营业部),生活服务,物流速递,物流速递,广东省,广州市,从化区,113.492348,23.455104
451,广州谷腾物流服务有限公司(装修中),生活服务,物流速递,物流速递,广东省,广州市,从化区,113.501131,23.454686
452,龙兴物流,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.49215,23.454779
453,韵达鳌头分部,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.483683,23.583489
454,江西永程物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.47498,23.585073
455,顺恒运输,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.471058,23.586803
456,马运运输,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.497115,23.581764
457,信明运输有限公司,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.469164,23.586226
458,中国邮政,生活服务,邮局,邮局,广东省,广州市,从化区,113.508959,23.577072
459,申通快递旗杆营业点,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.504608,23.578878
460,广州新盈福运输有限公司,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.497842,23.580844
461,菜鸟驿站,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.50502,23.580126
462,速腾快递,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.505573,23.579165
463,中国移动(海天棋杆指定专营店),生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,从化区,113.504271,23.580087
464,韵达快递,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.505188,23.581239
465,圆通速递,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.506054,23.581243
466,百世快递,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.455566,23.325336
467,中国电信(陈洞专营店),生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,白云区,113.451263,23.32802
468,中国联通(湘粤通专营店),生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,白云区,113.450011,23.329127
469,恒路物流,生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.511112,23.360424
470,京东派,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.44535,23.372701
471,菜鸟驿站(广商康大体育场操场旁边),生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.51814,23.3546
472,兔喜快递超市,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.478237,23.412167
473,广州市恒辉运输有限公司,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.476679,23.41428
474,菜鸟驿站(广东白云学院北校区),生活服务,物流速递,物流速递,广东省,广州市,白云区,113.48455,23.40857
475,中国移动(太平服务厅),生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,从化区,113.482135,23.431927
476,商桥物流,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.464991,23.412562
477,中国联通(太平营业厅),生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,从化区,113.491439,23.441224
478,广州凯胜运输有限公司,生活服务,物流速递,物流速递,广东省,广州市,从化区,113.479847,23.428627
479,中国电信凤尾村三线整治服务点,生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,黄埔区,113.481446,23.397723
480,中国邮政,生活服务,邮局,邮局,广东省,广州市,从化区,113.482858,23.432608
481,中国邮政蜜蜂箱,生活服务,邮局,邮政速递,广东省,广州市,黄埔区,113.477533,23.176117
482,中国电信,生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,黄埔区,113.480153,23.168893
483,丰巢快递柜,生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.479696,23.16891
484,百世快递,生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.480121,23.168891
485,菜鸟驿站(广州黄埔保利香雪山店),生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.4774,23.17604
486,中国联通智慧生活馆,生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,黄埔区,113.48012,23.168962
487,中国邮政(香雪邮政局),生活服务,邮局,邮局,广东省,广州市,黄埔区,113.483051,23.179153
488,中国移动,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,黄埔区,113.466608,23.166766
489,自助快递柜,生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.48245,23.178887
490,中国联通(萝岗万达营业厅),生活服务,电讯营业厅,中国联通营业厅,广东省,广州市,黄埔区,113.466195,23.167059
491,菜鸟驿站(广州东华学院13栋1楼),生活服务,物流速递,物流速递,广东省,广州市,白云区,113.47331,23.25355
492,菜鸟驿站(广州东华学院综合服务中心),生活服务,物流速递,物流速递,广东省,广州市,白云区,113.46924,23.25301
493,中国移动,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,白云区,113.461498,23.261641
494,妈妈驿站,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.458093,23.261634
495,中通快递,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.457832,23.261613
496,菜鸟驿站(广州理工学院6栋),生活服务,物流速递,物流速递,广东省,广州市,白云区,113.45703,23.25965
497,韵达快递超市,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.455438,23.26223
498,韵达快递(广州理工学院分部),生活服务,物流速递,物流速递,广东省,广州市,白云区,113.457411,23.261442
499,韵达快递超市天河学院分部,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.4553,23.26236
500,广州骏旭货运代理有限公司,生活服务,物流速递,物流速递,广东省,广州市,白云区,113.493626,23.270822
501,广汽商贸物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.493503,23.024884
502,中国电信,生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,番禺区,113.472149,23.019317
503,顺丰速运(卡度尼大厦),生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.470545,23.018491
504,联昊通快递,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.46948,23.015696
505,极兔速递,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.468479,23.012669
506,广州亿湘成物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.469014,23.014098
507,壹米滴答,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.468257,23.01017
508,中捆物流,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.47079,23.009196
509,联昊通速递化龙站点,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.469537,23.015706
510,申通快递(番禺华龙分部),生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.466967,23.014816
511,众邮快递,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.466643,23.009145
512,合壹物流,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.462025,23.01639
513,广州郑明国际现代物流,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.460703,23.016574
514,菜鸟驿站(广州番禺石楼胜洲村10号店),生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.493886,23.015716
515,中国电信,生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,番禺区,113.465863,23.028387
516,申通快递(潭山店),生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.461954,22.997991
517,百世快递(草堂分部),生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.462369,23.024482
518,茂金物流有限公司,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.465473,22.997484
519,菜鸟驿站(广州番禺石楼茭西6号店),生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.49641,23.00691
520,菜鸟驿站,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.460777,22.999092
521,丰巢存包柜,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.463882,23.029299
522,顺丰速运,生活服务,物流速递,物流速递,广东省,广州市,番禺区,113.489692,23.031677
523,广州市黄埔区文冲邮政支局,生活服务,邮局,邮局,广东省,广州市,黄埔区,113.47613,23.095038
524,圆通速递(双岗代理点),生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.478701,23.093163
525,丰巢快递柜,生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.478257,23.094967
526,韵达快递(双港公司),生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.478856,23.095901
527,中国移动,生活服务,电讯营业厅,中国移动营业厅,广东省,广州市,黄埔区,113.479169,23.094546
528,菜鸟驿站(双岗分店),生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.47924,23.09163
529,全运物流,生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.480183,23.09053
530,菜鸟驿站(双岗平阳大街家家福超市),生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.479516,23.09143
531,中国电信智慧社区服务厅(黄埔红山社区店),生活服务,电讯营业厅,中国电信营业厅,广东省,广州市,黄埔区,113.481224,23.095726
532,菜鸟驿站(广州黄埔双岗村卫福街4号),生活服务,物流速递,物流速递,广东省,广州市,黄埔区,113.47909,23.09151
