,云顶沐足城,生活服务,洗浴推拿场所,洗浴推拿场所.1,广东省,广州市,花都区,113.231347,23.397752
231,慧缘足疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.159337,23.464851
232,圣仟阁,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.151137,23.467961
233,康足养生堂,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.155827,23.469407
234,彩虹足疗专业修脚,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.15684,23.468001
235,银皇沐足城,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.16677,23.46677
236,宜康盲人按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.15261,23.467364
237,沐足保健,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.159535,23.468301
238,康尔乐养生堂,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.166528,23.469837
239,星光汇,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.16689,23.468351
240,康悦,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.166883,23.466444
241,泰式按摩推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.16686,23.46908
242,益新足道,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.166459,23.468866
243,银海沐足城,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.166433,23.462955
244,康健足疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.16683,23.469118
245,淑湘养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.15061,23.354012
246,芬芳沐足按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.147228,23.352881
247,飞飞盲人按摩店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.147245,23.352852
248,扬州足疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.150067,23.355128
249,足道中医理疗养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.147056,23.3541
250,足道按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.147209,23.354255
251,欣美沐足店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.148382,23.355739
252,超宝沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.190182,23.333124
253,御足健沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.19054,23.332491
254,金元堂养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.183998,23.332069
255,中康盲人按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,白云区,113.182297,23.332405
256,丽源足疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.161012,23.407504
257,有缘沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.163156,23.405673
258,康乐沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.163087,23.405806
259,康丽专业修脚,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.167844,23.418027
260,怡丽足浴休闲,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.164624,23.409049
261,添晴美容养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.163751,23.407651
262,丽茗足疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.162743,23.396282
263,休闲沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,花都区,113.162785,23.395493
264,脊康理疗店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.793397,23.171427
265,美灵足道,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.7926,23.171602
266,尊皇养生会馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.791413,23.171935
267,茗点居沐足按摩棋牌,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.791472,23.171892
268,瑶浴·艾灸养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.787807,23.25877
269,足生堂(荔城街店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.825771,23.287519
270,VanCat梵猫(增城万达店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.815178,23.275051
271,重庆富鑫沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.821626,23.289719
272,圣原汗蒸养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.816385,23.275362
273,客房沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.825648,23.242951
274,御指养生会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.825893,23.242354
275,增宾足道,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.819593,23.276049
276,手屈一指推拿馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.82233,23.281382
277,天天休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.778888,23.480774
278,广州金叶子温泉,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.784969,23.565129
279,高滩温泉,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.778097,23.559658
280,情缘沐足馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.774171,23.564195
281,森林海温泉,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.765111,23.566072
282,四季美食水疗会,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.796639,23.310945
283,木兰休闲(暂停营业),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.826146,23.294781
284,海怡沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.827118,23.30069
285,碧泉足疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.828081,23.299249
286,三道足疗养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.822744,23.30177
287,郑远元专业修脚房(御景路店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.820966,23.302648
288,足之道,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.827489,23.303814
289,茗海休闲中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.823258,23.302614
290,森焰养生,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.82386,23.305399
291,修来福足疗馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.820675,23.303118
292,易路发保健养生阁,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.817816,23.303131
293,康馨养生,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.82497,23.303699
294,萧氏正脊馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.802898,23.294697
295,乐康盲人按摩所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.827409,23.295909
296,德耳社,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.823073,23.302007
297,贵足(塘园中路),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.833074,23.296136
298,铂诗养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.815421,23.296134
299,香缘按摩推拿足疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.829518,23.304772
300,多多养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.828471,23.302215
301,陕西专业修脚,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.827119,23.299327
302,曼音阁足疗店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.829605,23.300969
303,富和会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.827659,23.29781
304,得田绿色养生保健,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.792197,23.411518
305,湘足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.833097,23.294648
306,肤道美容会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.827752,23.299172
307,筋骨堂推拿理疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.871918,23.229289
308,金富足养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.846922,23.2524
309,菲常管家健康休闲馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.846776,23.277968
310,推拿按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.846968,23.278149
311,鑫成会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.84568,23.28078
312,创艺沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.846335,23.296545
313,沐足水会,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.855575,23.189679
314,按摩推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.565227,23.558198
315,足下生辉沐足店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.567301,23.55804
316,健康之家,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.574115,23.584724
317,蒸爱馆(横江店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.574138,23.584617
318,曾生修身馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.575916,23.556562
319,利姐专业按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.573978,23.556945
320,活力沐足城(蓝田东路),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.587426,23.545927
321,众康养生保健中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.58483,23.554155
322,钰泉湾沐足养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.588219,23.539511
323,欣佳苑专业足疗修脚,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.588627,23.543926
324,笑足堂,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.585395,23.551554
325,天足堂健康养生会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.596758,23.551555
326,蒸爱馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.531155,23.486391
327,鑫玥理疗馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.532368,23.488706
328,月色SPA(珠江帝景店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.546533,23.2417
329,宾馆沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.581477,23.27784
330,星悦沐足馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.585324,23.278349
331,足疗养生中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.584956,23.278632
332,思源沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.553133,23.325962
333,彭世修脚(知识城店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.549118,23.322521
334,致远盲人按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.547163,23.324162
335,裕福酒店沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.458347,22.852491
336,怡心阁养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.456777,22.852319
337,众康盲人推拿按摩店(富裕路店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.455682,22.852465
338,名艺推拿养生馆(亚运城店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.482126,22.94462
339,梦想花园SPA会所(番禺分店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.480709,22.947685
340,足道,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.476184,22.946002
341,悦好足疗按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.493982,22.755119
342,筋骨有道(南方公元店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.500913,22.807039
343,舒心阁(从化店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.654139,23.644442
344,正宗北溪温泉泡池,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.653044,23.650855
345,毅华河畔温泉,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.653798,23.644159
346,从化境秀温泉宾馆度假村,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.644319,23.639334
347,从化财富度假酒店温泉,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.643217,23.638014
348,广东从化温泉康复中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.654031,23.649278
349,望谷温泉度假村-水疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.64237,23.63053
350,望谷温泉度假村-足浴,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.642369,23.630525
351,望谷温泉度假村-按摩室,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.642369,23.630529
352,富力泉天下温泉度假别墅,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.65843,23.636337
353,威格温泉,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.658203,23.636368
354,碧泉空中温泉,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.654921,23.64608
355,稻喜湾温泉,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.671853,23.675435
356,常满养生,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.441613,22.94798
357,铎莲养生小馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.48912,22.96971
358,依洛按摩店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.441003,22.950288
359,绿色休闲养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,番禺区,113.484411,22.96261
360,水悦健康汇,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.60091,23.5298
361,凯旋假日酒店-桑拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.608066,23.529393
362,蓝波湾水汇,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.605568,23.527692
363,帝京养生汇(从化二店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.600513,23.530819
364,沐足保健,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.618732,23.559457
365,帝京养生汇,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.61858,23.559159
366,广州市从化区温泉,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.668193,23.600727
367,酸碱平养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.603336,23.548574
368,彭世修脚(佳兆业城市广场店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.550898,23.101619
369,乐足保健养生,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.546215,23.095765
370,金水湾休闲沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.557395,23.104852
371,金足堂,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.557498,23.104886
372,江豪休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.566476,23.102716
373,大康休闲养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.558311,23.104935
374,多娇会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.541813,23.094767
375,云海汗蒸养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.545474,23.096467
376,采耳沐足养生店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.562198,23.187207
377,聚脚点沐足按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.56209,23.187588
378,媛缘堂养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.568685,23.185129
379,凤凰城桑拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.575479,23.135323
380,尚美安然纳米汗蒸,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.563378,23.19119
381,静闲专业修脚,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.565852,23.190812
382,星豪沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.576564,23.182476
383,诗诗养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.56565,23.191065
384,盲人推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.56563,23.191083
385,馨悦养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.564312,23.191355
386,恒程通沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.56208,23.195446
387,君悦沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,黄埔区,113.559468,23.198078
388,足女道,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.555426,22.770206
389,足之道推拿按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.555391,22.770255
390,美雅阁按摩理疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.556494,22.767641
391,才豪沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.557613,22.767356
392,港湾沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.557639,22.767314
393,极尚沐足(大涌分店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.559117,22.7643
394,华丽沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.551524,22.795423
395,闲得来保健按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.547464,22.70111
396,鸿丽保健馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.547486,22.70228
397,好心情,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.547252,22.703296
398,国珍盲人按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.546522,22.702056
399,柔雅保健馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.550821,22.708247
400,盲人中医推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.553248,22.709036
401,保健足疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.553031,22.711727
402,满记,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.539851,22.695639
403,贵州苗家健康沐足堂,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.646935,22.690183
404,龙穴沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.646294,22.686929
405,沐足养生,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.652013,22.684418
406,凯富沐足城,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.651964,22.684475
407,南沙大酒店-按摩室,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.613756,22.766758
408,南沙大酒店健康中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.61376,22.766762
409,新苑沐足保健按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.607635,22.645191
410,维拿斯中医穴位按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.607441,22.646196
411,金足银耳阁,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,南沙区,113.60736,22.646868
412,碧水湾温泉,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.715789,23.699151
413,碧水新村欣欣温泉,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.7321,23.704742
414,石榴花山温泉,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.726514,23.700805
415,文轩苑温泉水疗区,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.713733,23.697539
416,温泉中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.71524,23.695663
417,凤凰山温泉,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.703286,23.694084
418,道艺沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.635599,23.354091
419,燕玲养生,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.636835,23.353697
420,世健推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.632874,23.3574
421,盲人按摩店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.636434,23.360824
422,水莲花养生会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.634067,23.36373
423,白水村盲人按摩所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.64063,23.163801
424,键柏休闲沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.634378,23.183356
425,沐足推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.643552,23.160927
426,华澳KTV,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.658402,23.170222
427,明好休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.655869,23.167581
428,子郁足疗店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.654022,23.167188
429,万紫千红休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.636971,23.156672
430,网咖沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.656449,23.169284
431,御池养生会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.642677,23.156032
432,修脚堂,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.644723,23.156382
433,凯璟会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.657574,23.170164
434,年年沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.657215,23.168121
435,沐足推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.658113,23.170136
436,芳芳足疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.657075,23.168296
437,德康汗蒸养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.657462,23.16621
438,玫瑰沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.657902,23.164021
439,脊世康理疗中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.644913,23.231377
440,沁悦沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.648374,23.277212
441,晶亭沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.62817,23.280208
442,丽源养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.623309,23.282841
443,兴双保健按摩店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.620452,23.27763
444,一新商务酒店-沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.623103,23.292208
445,客房沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.625098,23.282839
446,嘉悦休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.624731,23.283196
447,真功夫专业修脚,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.659424,23.217766
448,渝都沐足中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.622427,23.291311
449,明瑞养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.621444,23.28707
450,从化温泉桃莲店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,从化区,113.727338,23.621443
451,保健按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.703382,23.272924
452,沐足推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.703008,23.272935
453,朱康足疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.697446,23.271719
454,唯依养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.700377,23.274754
455,碧爱尚养生会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.698001,23.274714
456,沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.702415,23.274015
457,锦阁休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.703039,23.272963
458,创新足专业修脚,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.678586,23.272931
459,安然纳米汗蒸养生馆(仙村店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.716379,23.172514
460,仙花沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.721954,23.164921
461,仙苑休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,广州市,增城区,113.72172,23.164958
