,鲜一鲜农庄,餐饮服务,中餐厅,中餐厅.1,广东省,广州市,花都区,113.238339,23.412032
612,大源十八子农庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.374446,23.234746
613,老北京炸酱面,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.402072,23.272678
614,森源居,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.37514,23.239081
615,涉外第二饭堂,餐饮服务,快餐厅,快餐厅,广东省,广州市,白云区,113.364861,23.253155
616,帽峰山农家乐,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.406584,23.272282
617,杨国福麻辣烫,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.364816,23.252433
618,君田饭店,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.41702,23.275547
619,太和滋宝炖品,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.361129,23.29285
620,多滋堡炸鸡汉堡(涉外学院旗舰店),餐饮服务,快餐厅,快餐厅,广东省,广州市,白云区,113.364859,23.252445
621,肥婆烧烤,餐饮服务,中餐厅,特色/地方风味餐厅,广东省,广州市,白云区,113.360848,23.291873
622,聚雀轩食府,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.363139,23.287587
623,沙县小吃,餐饮服务,中餐厅,中餐厅,广东省,广州市,天河区,113.381284,23.215329
624,康记美食(太和店),餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.360811,23.292949
625,禾味园,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.368768,23.241327
626,菌林天下,餐饮服务,中餐厅,火锅店,广东省,广州市,天河区,113.361576,23.214145
627,一品鲜潮味猪杂汤汤粉世家,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.361111,23.291854
628,德如炖品(太和店),餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.361928,23.292944
629,潮兴大排档(和乐路店),餐饮服务,中餐厅,海鲜酒楼,广东省,广州市,白云区,113.361431,23.292688
630,富和量贩海鲜酒家,餐饮服务,中餐厅,海鲜酒楼,广东省,广州市,白云区,113.360775,23.291873
631,鑫鹿山庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,黄埔区,113.414493,23.22356
632,温记一品鲜(米龙店),餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.365042,23.292015
633,潮鸿轩·牛肉火锅(太和店),餐饮服务,中餐厅,火锅店,广东省,广州市,白云区,113.363192,23.291619
634,嚼·花胶龙虾创意美食小厨(太和店),餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.35874,23.291416
635,醉巴适重庆老火锅,餐饮服务,中餐厅,火锅店,广东省,广州市,白云区,113.363125,23.287993
636,井冈山屋里菜(太和店),餐饮服务,中餐厅,综合酒楼,广东省,广州市,白云区,113.36239,23.288532
637,湘滋源地道湘菜,餐饮服务,中餐厅,湖南菜(湘菜),广东省,广州市,白云区,113.362965,23.288199
638,萬盛鹅庄(白云店),餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.363784,23.287604
639,顺德发记饭店,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.395448,23.340226
640,驴家乐,餐饮服务,中餐厅,火锅店,广东省,广州市,白云区,113.395708,23.340384
641,新丰人家川菜馆,餐饮服务,中餐厅,四川菜(川菜),广东省,广州市,白云区,113.391368,23.340282
642,沙县小吃,餐饮服务,快餐厅,快餐厅,广东省,广州市,白云区,113.391982,23.342086
643,美食美客,餐饮服务,快餐厅,快餐厅,广东省,广州市,白云区,113.391045,23.337406
644,四季火锅,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.395773,23.34038
645,顺德大盘鱼,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.395293,23.340146
646,广州市白云区钟落潭镇金泉度假山庄餐饮管理服务部,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.404954,23.342331
647,欧仔吴川美食,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.388651,23.334008
648,回味牛肉馆,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.3916,23.34086
649,爱多堡餐饮,餐饮服务,快餐厅,快餐厅,广东省,广州市,白云区,113.391958,23.342296
650,金盆快餐店,餐饮服务,快餐厅,快餐厅,广东省,广州市,白云区,113.385783,23.328306
651,沙县小吃,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.385807,23.327974
652,政农私房菜馆,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.389256,23.336027
653,湛吴美食城,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.388699,23.334603
654,川味鲜,餐饮服务,中餐厅,四川菜(川菜),广东省,广州市,白云区,113.38479,23.327706
655,有间鸡煲店,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.409721,23.336206
656,粉面世家(骑马街店),餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.391829,23.341379
657,重庆石锅鱼,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.391596,23.34249
658,农家小吃,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.391983,23.342069
659,蒸爱馆,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.388657,23.330465
660,齐乐美食府,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.383017,23.341038
661,江西小炒工作快餐,餐饮服务,快餐厅,快餐厅,广东省,广州市,白云区,113.409256,23.336743
662,广东外语外贸大学南国商学院-饭堂,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.385351,23.339105
663,柳州螺蛳粉,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.383751,23.341225
664,家兴美食(光明西路店),餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.411091,23.336011
665,江西土菜馆,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.410128,23.336153
666,沙县小吃,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.383598,23.340978
667,小潮汕,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.382634,23.341598
668,阿汉餐厅,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.384975,23.349394
669,无油烟烧烤(南国商学院店),餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.383255,23.340826
670,二哥生蚝大排档,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.380759,23.322935
671,宫师傅,餐饮服务,快餐厅,快餐厅,广东省,广州市,白云区,113.385299,23.332162
672,0739湘菜馆,餐饮服务,中餐厅,湖南菜(湘菜),广东省,广州市,白云区,113.386123,23.349977
673,汤功夫砂锅麻辣烫(东北饺子),餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.382778,23.341114
674,祥湘木桶饭湘菜馆,餐饮服务,中餐厅,湖南菜(湘菜),广东省,广州市,白云区,113.394245,23.355976
675,老北京炸酱面,餐饮服务,快餐厅,快餐厅,广东省,广州市,白云区,113.384247,23.338848
676,三湘土菜馆,餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.386086,23.328599
677,辣翻天(南国商学院店),餐饮服务,中餐厅,特色/地方风味餐厅,广东省,广州市,白云区,113.383083,23.340969
678,鼎点皇·全天茶市(竹料店),餐饮服务,快餐厅,快餐厅,广东省,广州市,白云区,113.373176,23.357813
679,园中园美食山庄(太和店),餐饮服务,中餐厅,中餐厅,广东省,广州市,白云区,113.372607,23.311746
680,黄埔烤吧东北烧烤,餐饮服务,中餐厅,海鲜酒楼,广东省,广州市,海珠区,113.39833,23.093665
681,兄弟烧味(黄埔村店),餐饮服务,快餐厅,快餐厅,广东省,广州市,海珠区,113.397895,23.092793
682,黄埔海鲜酒楼,餐饮服务,中餐厅,海鲜酒楼,广东省,广州市,海珠区,113.398428,23.093694
683,千百味自选饭堂(黄埔村店),餐饮服务,快餐厅,快餐厅,广东省,广州市,海珠区,113.397743,23.09326
684,淼鑫猪肚鸡(黄埔古村店),餐饮服务,中餐厅,中餐厅,广东省,广州市,海珠区,113.398029,23.092144
685,大当家,餐饮服务,快餐厅,快餐厅,广东省,广州市,海珠区,113.397779,23.093143
686,大王鸭货,餐饮服务,快餐厅,快餐厅,广东省,广州市,海珠区,113.397913,23.092693
687,鱼拿酸菜鱼(琶洲店),餐饮服务,中餐厅,中餐厅,广东省,广州市,海珠区,113.397788,23.093168
688,梅县腌面,餐饮服务,快餐厅,快餐厅,广东省,广州市,海珠区,113.39803,23.09224
689,柳螺香柳州螺蛳粉,餐饮服务,中餐厅,中餐厅,广东省,广州市,海珠区,113.398092,23.092028
690,蒸湘荟,餐饮服务,中餐厅,中餐厅,广东省,广州市,海珠区,113.397895,23.092867
691,忆潮牛潮汕鲜牛肉火锅,餐饮服务,中餐厅,火锅店,广东省,广州市,海珠区,113.398055,23.094562
692,俏鱼郎,餐饮服务,中餐厅,中餐厅,广东省,广州市,海珠区,113.39759,23.093093
693,客家小厨,餐饮服务,中餐厅,中餐厅,广东省,广州市,海珠区,113.400158,23.093133
694,愿者上钩(黄埔村牌坊店),餐饮服务,中餐厅,中餐厅,广东省,广州市,海珠区,113.397858,23.093531
695,豆夫传奇,餐饮服务,快餐厅,快餐厅,广东省,广州市,海珠区,113.39794,23.09354
696,粤饺皇(黄埔村店),餐饮服务,快餐厅,快餐厅,广东省,广州市,海珠区,113.397826,23.09343
697,东北人家·木炭老北京火锅(黄埔村牌坊店),餐饮服务,中餐厅,东北菜,广东省,广州市,海珠区,113.397687,23.093959
698,石锅鱼(黄埔古港店),餐饮服务,中餐厅,海鲜酒楼,广东省,广州市,海珠区,113.397475,23.094014
699,老上海馄饨铺(新洲立交桥店),餐饮服务,中餐厅,特色/地方风味餐厅,广东省,广州市,海珠区,113.39768,23.092794
700,古村柴灶鱼柴火鸡,餐饮服务,中餐厅,中餐厅,广东省,广州市,海珠区,113.395567,23.092467
701,禽始皇,餐饮服务,中餐厅,中餐厅,广东省,广州市,海珠区,113.397796,23.093209
702,精厨门·蚝专家·饕餮海鲜(琶洲店),餐饮服务,中餐厅,海鲜酒楼,广东省,广州市,海珠区,113.397195,23.093812
703,好味坊(黄埔村分店),餐饮服务,快餐厅,快餐厅,广东省,广州市,海珠区,113.398071,23.093529
704,正宗潮汕猪杂汤粉面,餐饮服务,中餐厅,潮州菜,广东省,广州市,海珠区,113.398239,23.091766
705,深夜豆浆,餐饮服务,快餐厅,快餐厅,广东省,广州市,海珠区,113.398101,23.091762
706,如是寒舍,餐饮服务,快餐厅,快餐厅,广东省,广州市,海珠区,113.398048,23.09063
707,肥肥糖水隆江猪脚饭,餐饮服务,中餐厅,潮州菜,广东省,广州市,海珠区,113.397983,23.090815
708,西关布拉肠(黄埔村店),餐饮服务,快餐厅,快餐厅,广东省,广州市,海珠区,113.397652,23.092744
709,淳然骨汤麻辣烫,餐饮服务,快餐厅,快餐厅,广东省,广州市,海珠区,113.397876,23.091712
710,沙县小吃黄焖鸡米饭,餐饮服务,中餐厅,特色/地方风味餐厅,广东省,广州市,海珠区,113.398337,23.091506
711,信记肠粉世家,餐饮服务,中餐厅,中餐厅,广东省,广州市,海珠区,113.398337,23.091435
712,御丰快餐,餐饮服务,快餐厅,快餐厅,广东省,广州市,天河区,113.399121,23.173253
713,惠松汤粉(凌塘村店),餐饮服务,快餐厅,快餐厅,广东省,广州市,天河区,113.399085,23.173021
714,竹苑烧腊鲜味阁,餐饮服务,快餐厅,快餐厅,广东省,广州市,天河区,113.399157,23.173096
715,一绝牛香,餐饮服务,中餐厅,中餐厅,广东省,广州市,天河区,113.399116,23.17323
716,潮汕原味猪杂汤粉饭,餐饮服务,快餐厅,快餐厅,广东省,广州市,天河区,113.399426,23.172663
717,十丈香美食,餐饮服务,中餐厅,中餐厅,广东省,广州市,天河区,113.399439,23.172456
718,食尚园,餐饮服务,中餐厅,广东菜(粤菜),广东省,广州市,天河区,113.399222,23.172724
719,林永隆江猪脚饭,餐饮服务,中餐厅,中餐厅,广东省,广州市,天河区,113.399301,23.172905
720,广州市天河区新塘饭肆美食店,餐饮服务,快餐厅,快餐厅,广东省,广州市,天河区,113.397514,23.172088
721,大塘美食(凌塘村店),餐饮服务,中餐厅,火锅店,广东省,广州市,天河区,113.398613,23.171793
722,七里湘,餐饮服务,中餐厅,湖南菜(湘菜),广东省,广州市,天河区,113.400021,23.171211
723,常乐农庄(天河店),餐饮服务,中餐厅,广东菜(粤菜),广东省,广州市,天河区,113.400699,23.172402
724,正经一餐,餐饮服务,中餐厅,中餐厅,广东省,广州市,天河区,113.399013,23.17283
725,蛇仔农家菜,餐饮服务,中餐厅,中餐厅,广东省,广州市,天河区,113.394973,23.175994
726,老上海馄饨王(凌塘店),餐饮服务,快餐厅,快餐厅,广东省,广州市,天河区,113.398278,23.171676
727,番禺新鲜猪杂粥凌塘村店,餐饮服务,中餐厅,中餐厅,广东省,广州市,天河区,113.400742,23.168747
728,无骨鸭肉汤饭(智慧城店),餐饮服务,快餐厅,快餐厅,广东省,广州市,天河区,113.399423,23.171912
729,阿波烧烤龙虾城,餐饮服务,中餐厅,中餐厅,广东省,广州市,天河区,113.400701,23.171524
730,木桶饭,餐饮服务,快餐厅,快餐厅,广东省,广州市,天河区,113.399283,23.172929
731,老广州牛杂煲,餐饮服务,中餐厅,中餐厅,广东省,广州市,天河区,113.399364,23.173153
732,有滋有味犟骨头,餐饮服务,中餐厅,中餐厅,广东省,广州市,天河区,113.399492,23.172284
733,阿庆烧烤(天河夜宵店),餐饮服务,中餐厅,特色/地方风味餐厅,广东省,广州市,天河区,113.400915,23.169133
734,林记鸽庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,天河区,113.395923,23.175963
735,潮汕手工粿茶汤,餐饮服务,快餐厅,快餐厅,广东省,广州市,天河区,113.399381,23.172796
736,鹏辰佳味烧饼(凌塘店),餐饮服务,快餐厅,快餐厅,广东省,广州市,天河区,113.400229,23.170056
737,太和公鱼粉(凌塘村店),餐饮服务,中餐厅,中餐厅,广东省,广州市,天河区,113.400108,23.169493
738,窦州鱼粉,餐饮服务,快餐厅,快餐厅,广东省,广州市,天河区,113.397066,23.171958
739,好客家(万科云店),餐饮服务,中餐厅,广东菜(粤菜),广东省,广州市,天河区,113.40268,23.168126
740,东北厨房(万科云店),餐饮服务,中餐厅,东北菜,广东省,广州市,天河区,113.402209,23.169044
741,井盒炒饭(智慧城店),餐饮服务,快餐厅,快餐厅,广东省,广州市,天河区,113.397813,23.168172
742,潮乡汤粉世家,餐饮服务,中餐厅,广东菜(粤菜),广东省,广州市,天河区,113.400193,23.170068
743,江西快餐店,餐饮服务,中餐厅,中餐厅,广东省,广州市,天河区,113.398834,23.168561
744,梅州腌面,餐饮服务,中餐厅,中餐厅,广东省,广州市,天河区,113.400109,23.169441
745,黄焖鸡米饭,餐饮服务,快餐厅,快餐厅,广东省,广州市,天河区,113.39998,23.168961
746,三及第猪杂汤粉.饭.炒粉,餐饮服务,快餐厅,茶餐厅,广东省,广州市,天河区,113.399403,23.172894
747,豪记炒粉(凌塘村店),餐饮服务,快餐厅,快餐厅,广东省,广州市,天河区,113.398074,23.168181
748,鱼来鱼旺,餐饮服务,中餐厅,特色/地方风味餐厅,广东省,广州市,天河区,113.400887,23.169235
749,四季美食掌柜煲仔饭,餐饮服务,中餐厅,中餐厅,广东省,广州市,天河区,113.399798,23.168756
750,浩龍潮汕肉丸粿条汤,餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.399489,22.934893
751,日日鲜快餐美食,餐饮服务,快餐厅,快餐厅,广东省,广州市,番禺区,113.398562,22.932345
752,龚哥桂林米粉,餐饮服务,中餐厅,特色/地方风味餐厅,广东省,广州市,番禺区,113.398084,22.936419
753,湘川味料街,餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.397746,22.933052
754,尊宝比萨(石岗店),餐饮服务,快餐厅,快餐厅,广东省,广州市,番禺区,113.398727,22.936482
755,龙记面食店(卓越路店),餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.398613,22.931619
756,夫子园,餐饮服务,中餐厅,广东菜(粤菜),广东省,广州市,番禺区,113.40209,22.937118
757,古老东方,餐饮服务,快餐厅,快餐厅,广东省,广州市,番禺区,113.398346,22.935697
758,大拇指港式烧味,餐饮服务,快餐厅,快餐厅,广东省,广州市,番禺区,113.393166,22.932491
759,老长沙湘菜馆,餐饮服务,中餐厅,湖南菜(湘菜),广东省,广州市,番禺区,113.398773,22.93846
760,袁记云饺(清河市场店),餐饮服务,快餐厅,快餐厅,广东省,广州市,番禺区,113.397431,22.935632
761,蟹至尊,餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.392767,22.932559
762,大笑饭堂,餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.393948,22.930621
763,传奇包道(亚运大道),餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.397132,22.935617
764,YASO沙拉(美心店),餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.399107,22.937328
765,于氏手工鲜饺,餐饮服务,中餐厅,特色/地方风味餐厅,广东省,广州市,番禺区,113.403168,22.935863
766,益滋坊,餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.391977,22.932317
767,伍品云吞,餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.392381,22.932492
768,豫香羊肉聚,餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.397145,22.93562
769,包道广式点心专门店(清河店),餐饮服务,快餐厅,快餐厅,广东省,广州市,番禺区,113.39716,22.935624
770,棒子桂林米粉(永旺店),餐饮服务,中餐厅,特色/地方风味餐厅,广东省,广州市,番禺区,113.397318,22.935648
771,龙涎煨汤,餐饮服务,快餐厅,快餐厅,广东省,广州市,番禺区,113.398632,22.938191
772,成都面馆,餐饮服务,快餐厅,快餐厅,广东省,广州市,番禺区,113.398573,22.931777
773,发记豆子杂粮,餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.399183,22.934022
774,粤饺皇(清河店),餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.39772,22.935649
775,沙县小吃,餐饮服务,中餐厅,特色/地方风味餐厅,广东省,广州市,番禺区,113.393912,22.938239
776,银记大排档(清河市场店),餐饮服务,快餐厅,快餐厅,广东省,广州市,番禺区,113.399872,22.932912
777,顺记大排档,餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.399768,22.932816
778,湖南永州米粉店,餐饮服务,快餐厅,快餐厅,广东省,广州市,番禺区,113.398591,22.93166
779,生机蔬食料理餐厅,餐饮服务,中餐厅,中式素菜馆,广东省,广州市,番禺区,113.403013,22.937425
780,湛江520烧烤店,餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.399881,22.932912
781,金牌隆江猪脚饭,餐饮服务,快餐厅,快餐厅,广东省,广州市,番禺区,113.398645,22.931552
782,正宗常德牛肉粉(番禺店),餐饮服务,中餐厅,湖南菜(湘菜),广东省,广州市,番禺区,113.398576,22.936642
783,发得来家常菜(市莲路店),餐饮服务,中餐厅,湖南菜(湘菜),广东省,广州市,番禺区,113.398033,22.939682
784,传统布拉肠,餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.398005,23.014139
785,好好石磨肠粉,餐饮服务,快餐厅,快餐厅,广东省,广州市,番禺区,113.395561,23.010473
786,木炭香烤鱼,餐饮服务,中餐厅,特色/地方风味餐厅,广东省,广州市,番禺区,113.394221,23.015418
787,福建沙县营养小吃,餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.399328,23.008392
788,古老东方(番禺东源店),餐饮服务,快餐厅,快餐厅,广东省,广州市,番禺区,113.398757,23.008767
789,柳州螺蛳粉,餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.395286,23.009749
790,沙县小吃,餐饮服务,中餐厅,特色/地方风味餐厅,广东省,广州市,番禺区,113.397,23.009267
791,农家木桶饭,餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.395041,23.009031
792,福建沙县营养小吃,餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.397955,23.018348
793,香辣坊,餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.394856,23.008726
794,老地方大排档,餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.400051,23.008512
795,潮信隆江猪脚饭店,餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.395263,23.009166
796,长希韩味(南村店),餐饮服务,外国餐厅,韩国料理,广东省,广州市,番禺区,113.386856,23.009648
797,戒嘴鸡爪(南村店),餐饮服务,快餐厅,快餐厅,广东省,广州市,番禺区,113.395469,23.009628
798,饭菜好湘(兴业店),餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.391553,23.003903
799,冯姐私房菜(湘小炒),餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.385471,23.011729
800,胖妹夜宵,餐饮服务,中餐厅,特色/地方风味餐厅,广东省,广州市,番禺区,113.387995,23.006115
801,潮惠大排档,餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.391981,23.006724
802,潮发正宗隆江猪脚饭(沙市下街),餐饮服务,中餐厅,潮州菜,广东省,广州市,番禺区,113.395272,23.008827
803,蚝门盛宴(蚝场直营体验店),餐饮服务,中餐厅,海鲜酒楼,广东省,广州市,番禺区,113.39272,23.011476
804,华莱士(南山大道店),餐饮服务,快餐厅,快餐厅,广东省,广州市,番禺区,113.393067,23.007687
805,龙记粉面世家,餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.393751,23.007436
806,阿波罗大排档,餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.391972,23.006771
807,沙县小吃,餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.386316,23.011795
808,河南饭店(猪塘直街店),餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.39859,23.008892
809,余荫居,餐饮服务,中餐厅,综合酒楼,广东省,广州市,番禺区,113.38537,23.010778
810,焌杰茶餐厅(南村店),餐饮服务,快餐厅,茶餐厅,广东省,广州市,番禺区,113.387366,23.00635
811,一郎田鸡餐厅(番禺南村分店),餐饮服务,中餐厅,火锅店,广东省,广州市,番禺区,113.390723,23.009397
812,雷州羊煲(南村店),餐饮服务,中餐厅,火锅店,广东省,广州市,番禺区,113.392004,23.006805
813,华莱士(华南店),餐饮服务,快餐厅,快餐厅,广东省,广州市,番禺区,113.400311,23.008156
814,韩炉村韩式烤肉,餐饮服务,外国餐厅,外国餐厅,广东省,广州市,番禺区,113.392361,23.005854
815,老上海千里香馄饨王(南村旗舰店),餐饮服务,中餐厅,特色/地方风味餐厅,广东省,广州市,番禺区,113.392078,23.00764
816,678酸菜鱼(东源大街),餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.398776,23.008727
817,寻半纸包鱼(番禺南村店),餐饮服务,中餐厅,中餐厅,广东省,广州市,番禺区,113.393832,23.007949
818,同得美食,餐饮服务,中餐厅,中餐厅,广东省,广州市,南沙区,113.394511,22.779068
819,仙庙烧鸡,餐饮服务,中餐厅,中餐厅,广东省,广州市,南沙区,113.39845,22.780525
820,满意快餐,餐饮服务,快餐厅,快餐厅,广东省,广州市,南沙区,113.397309,22.770037
821,怀集石磨肠粉店,餐饮服务,中餐厅,中餐厅,广东省,广州市,南沙区,113.390689,22.78109
822,香园花果山庄烧鸡,餐饮服务,中餐厅,中餐厅,广东省,广州市,南沙区,113.3955,22.77905
823,上村大排档,餐饮服务,中餐厅,中餐厅,广东省,广州市,南沙区,113.39454,22.779792
824,南沙长者爱心食堂,餐饮服务,中餐厅,中餐厅,广东省,广州市,南沙区,113.402143,22.766287
825,重庆麻辣烫,餐饮服务,中餐厅,中餐厅,广东省,广州市,南沙区,113.389782,22.782011
826,嘉洲盐焗食品,餐饮服务,快餐厅,快餐厅,广东省,广州市,南沙区,113.389882,22.781352
827,三熠堂私房菜,餐饮服务,中餐厅,中餐厅,广东省,广州市,南沙区,113.385109,22.789761
828,冼家粉面店,餐饮服务,快餐厅,快餐厅,广东省,广州市,南沙区,113.388239,22.783212
829,十八罗汉山庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,南沙区,113.402918,22.794708
830,顺安大排档,餐饮服务,中餐厅,中餐厅,广东省,广州市,南沙区,113.385485,22.788101
831,顺昌酒楼,餐饮服务,中餐厅,综合酒楼,广东省,广州市,南沙区,113.38567,22.787675
832,品客汤包,餐饮服务,快餐厅,快餐厅,广东省,广州市,南沙区,113.391263,22.78104
833,言记粥锅(大岗分店),餐饮服务,中餐厅,中餐厅,广东省,广州市,南沙区,113.401678,22.795014
834,私房炖汤,餐饮服务,快餐厅,快餐厅,广东省,广州市,南沙区,113.399156,22.798704
835,回味披萨,餐饮服务,快餐厅,快餐厅,广东省,广州市,南沙区,113.389895,22.782491
836,尚见面,餐饮服务,中餐厅,中餐厅,广东省,广州市,南沙区,113.399262,22.798545
837,拾霸螺正宗柳州螺蛳粉,餐饮服务,中餐厅,中餐厅,广东省,广州市,南沙区,113.387604,22.78547
838,新邨粥店,餐饮服务,中餐厅,中餐厅,广东省,广州市,南沙区,113.383935,22.790516
839,肥仔辉早餐店,餐饮服务,中餐厅,中餐厅,广东省,广州市,南沙区,113.390859,22.780551
840,上村包子店,餐饮服务,快餐厅,快餐厅,广东省,广州市,南沙区,113.391142,22.780766
841,聚沣饮食,餐饮服务,中餐厅,广东菜(粤菜),广东省,广州市,南沙区,113.395666,22.789042
842,恩记粥窝,餐饮服务,中餐厅,中餐厅,广东省,广州市,南沙区,113.391093,22.781029
843,宏锋美食,餐饮服务,中餐厅,中餐厅,广东省,广州市,南沙区,113.397241,22.79239
844,益华快餐店,餐饮服务,快餐厅,快餐厅,广东省,广州市,南沙区,113.395975,22.791802
845,华莱士(潭洲店),餐饮服务,快餐厅,快餐厅,广东省,广州市,南沙区,113.389188,22.784096
846,花场农家菜,餐饮服务,中餐厅,中餐厅,广东省,广州市,南沙区,113.380341,22.789735
847,第五道菜,餐饮服务,中餐厅,中餐厅,广东省,广州市,南沙区,113.390328,22.781147
848,强记大排档,餐饮服务,中餐厅,中餐厅,广东省,广州市,南沙区,113.384436,22.787415
849,喵星人寿司,餐饮服务,外国餐厅,日本料理,广东省,广州市,南沙区,113.399789,22.794316
850,顺兴饮食店,餐饮服务,中餐厅,中餐厅,广东省,广州市,南沙区,113.386679,22.782144
851,好食点盐焗食品,餐饮服务,中餐厅,中餐厅,广东省,广州市,南沙区,113.390632,22.781141
852,福好广饭店,餐饮服务,中餐厅,中餐厅,广东省,广州市,南沙区,113.390059,22.838433
853,雄记大排档,餐饮服务,中餐厅,中餐厅,广东省,广州市,南沙区,113.385155,22.858659
854,广源大排档,餐饮服务,中餐厅,中餐厅,广东省,广州市,南沙区,113.387746,22.846484
855,衡阳新田筒骨粉粥,餐饮服务,中餐厅,中餐厅,广东省,广州市,南沙区,113.387358,22.847838
856,早餐,餐饮服务,中餐厅,中餐厅,广东省,广州市,南沙区,113.386821,22.854959
857,126农庄,餐饮服务,中餐厅,中餐厅,广东省,广州市,南沙区,113.400147,22.868646
858,伟业肠粉店,餐饮服务,快餐厅,快餐厅,广东省,广州市,南沙区,113.38807,22.843074
859,沙县一品营养小吃,餐饮服务,快餐厅,快餐厅,广东省,广州市,南沙区,113.387588,22.847008
860,肥仔梁烧腊,餐饮服务,快餐厅,快餐厅,广东省,广州市,南沙区,113.389027,22.842637
861,翠花上酸菜,餐饮服务,中餐厅,四川菜(川菜),广东省,广州市,南沙区,113.387958,22.838395
862,鱼乐农庄钓鱼场,餐饮服务,中餐厅,中餐厅,广东省,广州市,南沙区,113.382002,22.863067
