,美佳乐百货超市,购物服务,便民商店/便利店,便民商店/便利店.1,广东省,广州市,花都区,113.239068,23.411943
251,鸿鹤百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.418451,23.455699
252,7-ELEVEn,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.360661,23.456899
253,好实惠·林里生活体验店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.359041,23.457469
254,茶辽士多,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.418563,23.453787
255,八方超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.359531,23.456868
256,京东便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.360548,23.457037
257,美宜家便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.357993,23.456433
258,燕塘牛奶超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.36072,23.457132
259,连塘小卖部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.491142,23.483096
260,农家便利店(农家小厨),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.480895,23.473967
261,联城百货士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.494503,23.482035
262,南大供销社从化便利店(莲塘店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.493917,23.482625
263,有间便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.501542,23.473462
264,华润万家便利商店(夏湾拿分店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.500866,23.473899
265,中油bp-便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.501492,23.468175
266,水南加油站-便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.50144,23.468168
267,辉头商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.473367,23.575441
268,成美日杂店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.482666,23.583775
269,林记士多,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.482709,23.58377
270,供销社购物中心志健店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.490776,23.58206
271,粤兴士多,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.491484,23.582015
272,从云叁号,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.501546,23.58067
273,焕兴便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.497365,23.570241
274,高田超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.465262,23.321359
275,华坑村第二间小卖部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.470031,23.31382
276,佳美超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.457554,23.324414
277,广源百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.498767,23.342394
278,鉴辉百货商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.456114,23.324907
279,沙田百货(良沙路),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.485821,23.31144
280,正昌百货店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.485785,23.310733
281,明华生活超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.454787,23.326039
282,祥记日杂百货店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.48612,23.310492
283,富邦百货商场(沙田路店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.485811,23.310758
284,士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.462158,23.352947
285,京东便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.451479,23.328248
286,陈洞副食批发部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.451254,23.328395
287,广发百货商场,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.443587,23.351348
288,源兴百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.450495,23.328719
289,德兴百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.474327,23.419414
290,金河百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.478448,23.412597
291,富源百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.478383,23.41271
292,恒顺商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.478251,23.412149
293,芙蓉兴盛便利超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.478298,23.411775
294,荣天生活超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.47891,23.411774
295,荣天便利超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.47891,23.411775
296,永兴百货(登塘店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.478991,23.412156
297,瑶记百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.477982,23.410875
298,汇利百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.485757,23.414398
299,全家便利店(开创大道店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.478214,23.174136
300,香雪超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.477841,23.175494
301,左邻右里超市(保利香雪山店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.477599,23.177151
302,佳韵恒正商贸(香雪店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.477612,23.177308
303,华润万家便利超市(开创店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.450419,23.182834
304,万佳乐超市(开达路店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.480081,23.166578
305,全家便利店(地铁官洲站店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.471849,23.171453
306,荣天百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.469118,23.253843
307,浪兴日用百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.46765,23.254144
308,穗生商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.461862,23.261664
309,佳益康士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.463294,23.262491
310,兴丰超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.487336,23.269162
311,好而佳超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.460537,23.261078
312,百惠佳百货商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.487822,23.269192
313,荣天(天河学院店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.457075,23.261805
314,穗丰利源生活超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.460154,23.261068
315,美宜佳(兴太三路店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.459966,23.261358
316,玛琪超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.45756,23.261359
317,兴丰购物商场,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.487481,23.269663
318,百越商场(化龙仙岭农家店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.468942,23.018757
319,福满家百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.46774,23.011832
320,惠隆百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.467014,23.009914
321,达源宏兴超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.468664,23.012405
322,靖心便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.470007,23.016528
323,欢乐士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.469912,23.016436
324,小康便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.468728,23.01264
325,华美便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.46866,23.011235
326,满家好,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.469434,23.017825
327,群利百货商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.46774,23.012206
328,满家红百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.467489,23.014449
329,百家隆百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.468512,23.018418
330,有间便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.468544,23.018699
331,百越商场(明经农家店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.467884,23.010958
332,好兄弟商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,番禺区,113.466713,23.009979
333,美宜佳(黄岗商业城店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.481905,23.096126
334,客山便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.478732,23.093189
335,佳华百货(双沙店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.478879,23.094789
336,理佳超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.478635,23.09315
337,益村超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.47889,23.091896
338,阿霞平价自选,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.47804,23.092981
339,家家福超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,黄埔区,113.478744,23.092405
340,民乐宇轩商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.472328,23.657591
341,百城联货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.472294,23.65671
342,荣记综合商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.472122,23.657052
343,乐客商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.472157,23.657294
344,新围村兴盛优选店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.486228,23.654673
345,兴华商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.471681,23.657413
346,天鹅商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.470904,23.656564
347,荣记综合商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.464754,23.657587
348,花姐便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.463361,23.657543
349,欣欣士多,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.462493,23.657539
350,永芬商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.023871,23.421358
351,丽珍商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.024177,23.421429
352,志均商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.016913,23.392178
353,隆庆秦超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,112.963218,23.434169
354,凯福百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,112.960911,23.431656
355,远见超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,112.961258,23.432705
356,博乐百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,112.961098,23.433717
357,珊瑚商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,112.962056,23.435378
358,中洞士多,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.036142,23.375564
359,万福百货店(长寿路店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.08076200000001,23.388635
360,维客佳,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.094966,23.408884
361,红蓝超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.093585,23.409308
362,鑫隆百货商场,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.093703,23.392479
363,炭步服务区悦来悦,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.067079,23.314649
364,实惠超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.107077,23.331797
365,小月儿自选商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.072744,23.319275
366,楷馨超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.071277,23.318648
367,炭步兴荣综合店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.070042,23.31841
368,和兴百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.106747,23.32301
369,艳辰便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.099786,23.328049
370,东华商场,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.104631,23.339311
371,炭步服务区悦来悦,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.068755,23.312833
372,广兴百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.173889,23.480982
373,美宜佳(振兴扬名村店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.164132,23.482246
374,广福百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.16383,23.476062
375,吉祥便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.15586,23.482464
376,盘古商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.155859,23.482427
377,万豪商场,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.157893,23.466962
378,恒丰百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.170525,23.468902
379,东江百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.15286,23.479509
380,荣欣便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.157859,23.481746
381,万和百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.163928,23.482193
382,九龙百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.164762,23.481356
383,万福百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.165378,23.481543
384,喜华百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.153821,23.480014
385,振兴百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.153401,23.479701
386,快乐惠,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.153557,23.479727
387,小卖店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.170515,23.32229
388,易便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.142296,23.32822
389,福哥百货店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.144858,23.343963
390,泽佳百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.147348,23.352944
391,乐缘佳百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.146237,23.317214
392,百步峰山泉分销部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,白云区,113.178653,23.333578
393,江富百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.146727,23.348442
394,燕子百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.147532,23.349493
395,三好百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.15556,23.363241
396,好惠多超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.164898,23.361533
397,百怡百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.161206,23.412131
398,益民百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.167115,23.410072
399,广兴百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.161723,23.412842
400,顺昌百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.161777,23.41294
401,街坊便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.159448,23.409275
402,天天平价超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.162525,23.413959
403,佳欣百货(新村三巷),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.161299,23.40874
404,开心生活超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.162057,23.407749
405,郅诚商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.161376,23.408655
406,佳欣百货(新村四巷),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.161366,23.408645
407,腾达百货超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.163259,23.405947
408,惠隆百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.160393,23.408219
409,远发超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.163317,23.409983
410,华厦商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.161971,23.407658
411,千恵百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.166078,23.410795
412,耀翔士多,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.163275,23.408625
413,美宜佳(平步大道西店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.163286,23.405922
414,和路百货店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,花都区,113.163508,23.407793
415,便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.798441,23.174261
416,桂枝商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.79726,23.171355
417,光明村安置房五街四号年丰饮料批发部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.796068,23.259816
418,半山便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.790119,23.258472
419,光明商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.789527,23.258401
420,美宜佳(增城锦绣半山店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.7891,23.258908
421,良平超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.772133,23.676384
422,元广商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.770239,23.676234
423,从化市良口良平达欢日杂店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.772055,23.676779
424,居家商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.759931,23.680596
425,流溪河加油站-便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.782432,23.742698
426,小梅自选商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.785931,23.743609
427,福多综合商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.785759,23.743819
428,黄竹塱大姐明商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.784919,23.743682
429,大姐明商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.777381,23.742621
430,好宜多便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,从化区,113.777005,23.743036
431,芷彦商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.789632,23.488768
432,顺发综合商店(群津街店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.781102,23.488184
433,强洲商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.785854,23.489533
434,邓伟冲商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.786222,23.489301
435,谢冠军商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.785947,23.489796
436,新客隆便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.783742,23.489094
437,新群兴杂货店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.784426,23.489012
438,腾辉商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.781058,23.487403
439,莎莎食品,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.783426,23.489017
440,俧鹏商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.780165,23.484693
441,便利店小卖部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.784949,23.563759
442,景洋红商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.775643,23.562441
443,景丰百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.775054,23.563083
444,真峰百货商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.773776,23.564593
445,米高便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.780691,23.55231
446,李奕商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.778318,23.555446
447,聚优汇商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.778439,23.555176
448,高滩粤鑫商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.774215,23.558671
449,上塘百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.774625,23.562303
450,山塘商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.778905,23.552724
451,高塘农副产品及日用百货综合超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.774409,23.563085
452,绿点便利店(Y301店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.769929,23.55578
453,科记百货商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.759173,23.569951
454,利民百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.822375,23.334345
455,百花山庄半庭花超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.796284,23.311084
456,鹏飞百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.833375,23.298402
457,越益便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.803506,23.308509
458,顺兴平价商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.803278,23.308365
459,风和购销部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.815613,23.312961
460,桥乡百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.824925,23.333451
461,益好百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.80347,23.308583
462,实益便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.792982,23.416675
463,港正行百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.894417,23.415117
464,合顺商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.890872,23.415636
465,万均商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.863288,23.523149
466,小卖部,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.856235,23.528851
467,中国石化易捷便利店(正果西),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.903683,23.458944
468,中国石化易捷便利店(正果东),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.905243,23.459043
469,安达综合商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.892748,23.412518
470,易捷便利店(292乡道),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.892182,23.411577
471,美宜佳,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.89283,23.412685
472,祥兴商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.892402,23.416846
473,健好商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.893172,23.413304
474,惠隆百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.872067,23.229618
475,天猫小店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.865854,23.237359
476,华美商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.861649,23.241294
477,维客佳便利店(华立分店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.859775,23.244233
478,花岭便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.86391,23.239242
479,佳泰便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.860285,23.244177
480,美宜佳(北汽宿舍店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.859895,23.244002
481,美宜佳(一品山湖店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.857758,23.245046
482,美宜佳,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.865937,23.237072
483,乐购便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.859648,23.243404
484,和顺百货(362乡道),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.894825,23.218311
485,汇多商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.870902,23.231536
486,万佳囍超市(四丰店),购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.87133,23.230239
487,联益村商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.846377,23.335531
488,大合商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.846369,23.335668
489,三江婆便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.845771,23.293521
490,光辉商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.857054,23.301925
491,天马商城,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.83975,23.31683
492,和睦商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.847636,23.309007
493,广州市增城广竹居商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.847611,23.30691
494,王辉商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.888798,23.372079
495,裕珊士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.84756,23.308231
496,诚伟百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.847569,23.307308
497,美惠佳,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.872734,23.175014
498,中亿便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.872629,23.175137
499,柳凤豪四季便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.86327,23.186345
500,湘记商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.862359,23.185869
501,旺百乐便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.899133,23.173719
502,俊兴百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,广州市,增城区,113.85908,23.184725
