,智勇闯关,购物服务,家电电子卖场,家电电子卖场.1,广东省,深圳市,宝安区,113.768216,22.724106
255,鸿运窗帘布艺,购物服务,家居建材市场,布艺市场,广东省,深圳市,南山区,113.927569,22.545916
256,迈汇建材木方模板批发,购物服务,家居建材市场,建材五金市场,广东省,深圳市,南山区,113.936786,22.564618
257,上海基础设备材料部,购物服务,家居建材市场,家居建材市场,广东省,深圳市,南山区,113.924533,22.562522
258,苏宁易购(南山天利中央广场店),购物服务,家电电子卖场,苏宁,广东省,深圳市,南山区,113.934173,22.518187
259,西部电子,购物服务,家电电子卖场,数码电子,广东省,深圳市,南山区,113.927551,22.526557
260,苏宁易购(南山店),购物服务,家电电子卖场,苏宁,广东省,深圳市,南山区,113.924577,22.527102
261,绿联深圳专卖店(南山店),购物服务,家电电子卖场,数码电子,广东省,深圳市,南山区,113.925046,22.528557
262,乐安居(南山店),购物服务,家居建材市场,建材五金市场,广东省,深圳市,南山区,113.933539,22.515557
263,国美电器(南山旗舰店),购物服务,家电电子卖场,国美,广东省,深圳市,南山区,113.932878,22.514359
264,顺电·脉(海岸城店),购物服务,家电电子卖场,综合家电商场,广东省,深圳市,南山区,113.934879,22.517028
265,合群电器,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,南山区,113.933477,22.482704
266,美家欣家居专营店,购物服务,家居建材市场,家居建材市场,广东省,深圳市,南山区,113.93249,22.482472
267,格力中央空调(望海路店),购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,南山区,113.933629,22.482563
268,永康家具店,购物服务,家居建材市场,家具城,广东省,深圳市,南山区,113.925698,22.488943
269,陆钦劳保五金店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,光明区,113.964732,22.805333
270,亿雄通讯,购物服务,家电电子卖场,手机销售,广东省,深圳市,光明区,113.95897,22.791151
271,VR安全体验中心,购物服务,家居建材市场,家居建材市场,广东省,深圳市,光明区,113.957731,22.793533
272,科学城建材超市,购物服务,家居建材市场,家居建材市场,广东省,深圳市,光明区,113.954676,22.794449
273,金环宇电缆,购物服务,家居建材市场,建材五金市场,广东省,深圳市,光明区,113.958495,22.790587
274,安妮普水性漆,购物服务,家居建材市场,家居建材市场,广东省,深圳市,光明区,113.955598,22.762111
275,品奇数码,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,光明区,113.982633,22.727074
276,ih电器,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,光明区,113.981887,22.729193
277,八佰智能锁,购物服务,家居建材市场,建材五金市场,广东省,深圳市,光明区,113.981004,22.724916
278,海纳定制家具厂,购物服务,家居建材市场,家具城,广东省,深圳市,宝安区,113.9653,22.708597
279,樱花整体厨房,购物服务,家居建材市场,厨卫市场,广东省,深圳市,光明区,113.982826,22.726376
280,诚浩五金,购物服务,家居建材市场,家居建材市场,广东省,深圳市,宝安区,113.963835,22.707527
281,中国移动石龙仔厅,购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.969303,22.704137
282,官方授权店,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,宝安区,113.968764,22.705311
283,绝綠材料,购物服务,家居建材市场,家居建材市场,广东省,深圳市,光明区,113.984618,22.730105
284,vivo(石岩外环路店),购物服务,家电电子卖场,手机销售,广东省,深圳市,宝安区,113.96834,22.705444
285,中国移动,购物服务,家电电子卖场,手机销售,广东省,深圳市,光明区,113.987232,22.731214
286,红苹果家具(沈海高速店),购物服务,家居建材市场,家具城,广东省,深圳市,宝安区,113.97384,22.683525
287,顺途卷闸门,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.966775,22.682597
288,兴福门窗,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.966679,22.682665
289,百奎全铝家居,购物服务,家居建材市场,家居建材市场,广东省,深圳市,宝安区,113.967504,22.684803
290,爱家居橱柜门,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙华区,113.970799,22.677557
291,昌宏五金,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.966759,22.682606
292,森秀金属,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.966553,22.682739
293,桦志达五金电器机电行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.965855,22.683356
294,速佳宜科技,购物服务,家电电子卖场,数码电子,广东省,深圳市,龙华区,113.98169,22.678173
295,文兴水泥制品,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.966819,22.685848
296,泰达不锈钢剪板折弯焊接,购物服务,家居建材市场,建材五金市场,广东省,深圳市,宝安区,113.96633,22.683238
297,中国移动通信千喜特约代理点,购物服务,家电电子卖场,手机销售,广东省,深圳市,龙华区,113.983195,22.679011
298,重品家居全屋定制,购物服务,家居建材市场,家具城,广东省,深圳市,南山区,113.969458,22.63247
299,奥德康家居,购物服务,家居建材市场,家具城,广东省,深圳市,南山区,113.969174,22.63069
300,点点家居有限公司,购物服务,家居建材市场,家居建材市场,广东省,深圳市,南山区,113.969544,22.632865
301,缅甸柚木,购物服务,家居建材市场,家居建材市场,广东省,深圳市,南山区,113.970048,22.632881
302,百瑞祥家具,购物服务,家居建材市场,家居建材市场,广东省,深圳市,南山区,113.969544,22.632865
303,金圣佰地板,购物服务,家居建材市场,家居建材市场,广东省,深圳市,南山区,113.970949,22.632614
304,铭杰轩红木家具,购物服务,家居建材市场,家居建材市场,广东省,深圳市,南山区,113.970706,22.632477
305,深圳3A地板配件汇总,购物服务,家居建材市场,家居建材市场,广东省,深圳市,南山区,113.970652,22.632203
306,香港未来定制,购物服务,家居建材市场,家居建材市场,广东省,深圳市,南山区,113.970489,22.631621
307,茂桂木业有限公司,购物服务,家居建材市场,建材五金市场,广东省,深圳市,南山区,113.970471,22.631664
308,红苹果木业有限公司,购物服务,家居建材市场,建材五金市场,广东省,深圳市,南山区,113.970371,22.631541
309,凯豪达家具厂,购物服务,家居建材市场,家居建材市场,广东省,深圳市,南山区,113.970984,22.630887
310,豪美门业,购物服务,家居建材市场,家居建材市场,广东省,深圳市,南山区,113.96945,22.628813
311,圣诺尼全屋定制,购物服务,家居建材市场,家居建材市场,广东省,深圳市,南山区,113.968855,22.628865
312,乐峰窗饰,购物服务,家居建材市场,家居建材市场,广东省,深圳市,南山区,113.972092,22.627501
313,凤铝铝材南山福田罗湖盐田总经销,购物服务,家居建材市场,建材五金市场,广东省,深圳市,南山区,113.969503,22.630832
314,鑫名扬封边条热熔胶,购物服务,家居建材市场,家居建材市场,广东省,深圳市,南山区,113.97291,22.62674
315,宜家家居(深圳商场店),购物服务,家居建材市场,家具城,广东省,深圳市,南山区,113.965453,22.555154
316,vivo(龙珠四路店),购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,南山区,113.973308,22.56041
317,中国移动,购物服务,家电电子卖场,手机销售,广东省,深圳市,南山区,113.974392,22.560049
318,国劲纱窗,购物服务,家居建材市场,家居建材市场,广东省,深圳市,南山区,113.972686,22.560212
319,恒裕软装窗帘墙布地毯,购物服务,家居建材市场,家居建材市场,广东省,深圳市,南山区,113.97467,22.561556
320,丰磊石材,购物服务,家居建材市场,建材五金市场,广东省,深圳市,南山区,113.97202,22.556595
321,深圳世界之窗有限公司,购物服务,家居建材市场,建材五金市场,广东省,深圳市,南山区,113.973905,22.536304
322,你的空间,购物服务,家居建材市场,家居建材市场,广东省,深圳市,南山区,113.954083,22.531383
323,南山白石洲便民家具,购物服务,家居建材市场,家具城,广东省,深圳市,南山区,113.968604,22.532367
324,苏宁易购深圳南山博耐家居广场店,购物服务,家电电子卖场,数码电子,广东省,深圳市,南山区,113.967531,22.537009
325,科勒(欧洲城店),购物服务,家居建材市场,厨卫市场,广东省,深圳市,南山区,113.967711,22.538349
326,天音通讯(深湾三路店),购物服务,家电电子卖场,手机销售,广东省,深圳市,南山区,113.97477,22.526793
327,TOTO(建材店),购物服务,家居建材市场,厨卫市场,广东省,深圳市,南山区,113.96746,22.538263
328,昌盛五金建材店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,南山区,113.967118,22.532218
329,苹果(白石洲京基侧门店),购物服务,家电电子卖场,数码电子,广东省,深圳市,南山区,113.968637,22.531949
330,联创家具批发部,购物服务,家居建材市场,家具城,广东省,深圳市,龙华区,114.016915,22.752237
331,智龙数码电器专营店,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙华区,114.017308,22.74596
332,投币洗衣机店,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙华区,114.017455,22.749027
333,雨虹防水(深圳外环高速店),购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙华区,114.017735,22.753273
334,好品居家具,购物服务,家居建材市场,家具城,广东省,深圳市,龙华区,114.020441,22.747073
335,深圳市派欧家具厂,购物服务,家居建材市场,家具城,广东省,深圳市,龙华区,114.026924,22.754579
336,金玉彩照明,购物服务,家居建材市场,灯具瓷器市场,广东省,深圳市,龙华区,114.011871,22.723879
337,阿辉家私,购物服务,家居建材市场,家具城,广东省,深圳市,龙华区,114.008331,22.725854
338,万顺家私,购物服务,家居建材市场,家具城,广东省,深圳市,龙华区,114.011855,22.726859
339,顺达五金油漆商行,购物服务,家居建材市场,家居建材市场,广东省,深圳市,龙华区,114.012082,22.725007
340,新万悦购物中心,购物服务,家居建材市场,布艺市场,广东省,深圳市,龙华区,114.012247,22.730611
341,中国电信(观澜飞尚专营店),购物服务,家电电子卖场,手机销售,广东省,深圳市,龙华区,114.012382,22.729122
342,鹏诚电子销售部,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙华区,114.012721,22.727423
343,泰合亿模具钢材,购物服务,家居建材市场,家居建材市场,广东省,深圳市,龙华区,114.011395,22.681221
344,龙华电子市场,购物服务,家电电子卖场,数码电子,广东省,深圳市,龙华区,114.021009,22.662735
345,炎兴隆,购物服务,家居建材市场,厨卫市场,广东省,深圳市,龙华区,114.011911,22.682932
346,深圳市祥达五金模具钢材有限公司,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙华区,114.011523,22.681193
347,联鑫铝材,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙华区,114.012171,22.682384
348,盛发五金电器水暖,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙华区,114.01117,22.680292
349,茂林玻璃,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙华区,114.011053,22.680115
350,鑫瑞不锈钢制品,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙华区,114.011656,22.680458
351,千荣不锈钢加工厂,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙华区,114.014068,22.680163
352,中国移动,购物服务,家电电子卖场,手机销售,广东省,深圳市,龙华区,114.014378,22.6806
353,新泰盛建材批发行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙华区,114.009705,22.680243
354,伟标工程塑胶绝缘材料,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙华区,114.010112,22.679814
355,HUAWEL,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙华区,114.011185,22.643009
356,松下电器(建设路店),购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙华区,114.01187,22.640176
357,美凯龙爱家(金茂府店),购物服务,家居建材市场,家居建材市场,广东省,深圳市,龙华区,114.011621,22.642492
358,塞纳电子,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙华区,114.010952,22.640344
359,360手机,购物服务,家电电子卖场,手机销售,广东省,深圳市,南山区,114.00332,22.592154
360,360奇酷,购物服务,家电电子卖场,数码电子,广东省,深圳市,南山区,114.0032,22.59199
361,佰盛达窗帘·布艺,购物服务,家居建材市场,布艺市场,广东省,深圳市,南山区,114.001577,22.59227
362,尚品宅配,购物服务,家居建材市场,家具城,广东省,深圳市,南山区,113.999494,22.588996
363,HUAWEI,购物服务,家电电子卖场,数码电子,广东省,深圳市,南山区,113.999984,22.592178
364,田森门窗系统有限公司香蜜湖半山服务展厅,购物服务,家居建材市场,建材五金市场,广东省,深圳市,福田区,114.01476,22.564702
365,中国联通(花好园营业厅),购物服务,家电电子卖场,手机销售,广东省,深圳市,福田区,114.025503,22.528656
366,天威视讯,购物服务,家电电子卖场,数码电子,广东省,深圳市,福田区,113.998379,22.53724
367,金润红木,购物服务,家居建材市场,家具城,广东省,深圳市,龙华区,114.062326,22.755036
368,中国移动(4G企坪专营店),购物服务,家电电子卖场,手机销售,广东省,深圳市,龙华区,114.052224,22.74758
369,宝林办公设备商行,购物服务,家电电子卖场,数码电子,广东省,深圳市,龙华区,114.050232,22.746681
370,鸿基宝达石材,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙华区,114.062469,22.75529
371,大兴厨具百货,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙华区,114.034663,22.753216
372,步步高门业,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙华区,114.03791,22.761297
373,兴吉安五金商行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙华区,114.037793,22.761607
374,监控电脑,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙华区,114.047585,22.747133
375,鑫双诚不锈钢门窗,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙华区,114.039228,22.758202
376,玻璃铝合金不锈钢装饰,购物服务,家居建材市场,家居建材市场,广东省,深圳市,龙华区,114.038777,22.756754
377,国美电器(深圳观澜店),购物服务,家电电子卖场,国美,广东省,深圳市,龙华区,114.055331,22.716004
378,上海电器,购物服务,家电电子卖场,综合家电商场,广东省,深圳市,龙华区,114.059207,22.718845
379,志成科技,购物服务,家电电子卖场,数码电子,广东省,深圳市,龙华区,114.050346,22.71898
380,大布巷家私电器,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙华区,114.050822,22.718327
381,博皇家居,购物服务,家居建材市场,家具城,广东省,深圳市,龙华区,114.042435,22.703885
382,福民电子城,购物服务,家电电子卖场,手机销售,广东省,深圳市,龙华区,114.04054,22.690652
383,苏宁易购(龙华清湖花半里店),购物服务,家电电子卖场,数码电子,广东省,深圳市,龙华区,114.049049,22.673109
384,香港有家家居,购物服务,家居建材市场,家具城,广东省,深圳市,龙华区,114.111753,22.56054
385,山爱瑞,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙华区,114.051675,22.676705
386,安盛水泥沙石钢筋建材有限公司,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙华区,114.049803,22.681885
387,泰丰家具城,购物服务,家居建材市场,家具城,广东省,深圳市,龙华区,114.050061,22.689716
388,华为(苏宁坂田店百佳华店),购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.062988,22.648867
389,缝纫修鞋开锁配门卡装锁配钥匙修表订做窗帘,购物服务,家居建材市场,布艺市场,广东省,深圳市,龙华区,114.05179,22.641992
390,OPPO油富形象店,购物服务,家电电子卖场,手机销售,广东省,深圳市,龙华区,114.047123,22.646512
391,数码产品店,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙华区,114.052075,22.641164
392,迅达电脑,购物服务,家电电子卖场,数码电子,广东省,深圳市,龙华区,114.052617,22.641653
393,龙华恒诚通讯,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙华区,114.053344,22.642343
394,中国联通,购物服务,家电电子卖场,手机销售,广东省,深圳市,龙华区,114.050441,22.600713
395,深圳龙华正给力电器,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙华区,114.050913,22.601935
396,万家电器,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙华区,114.053014,22.601153
397,国美电器(龙华民治店),购物服务,家电电子卖场,国美,广东省,深圳市,龙华区,114.044812,22.610606
398,明珠通讯,购物服务,家电电子卖场,手机销售,广东省,深圳市,福田区,114.055305,22.564678
399,春光五金,购物服务,家居建材市场,建材五金市场,广东省,深圳市,福田区,114.054362,22.56472
400,东华不锈钢,购物服务,家居建材市场,建材五金市场,广东省,深圳市,福田区,114.054559,22.564407
401,兴新兴标准件商场,购物服务,家居建材市场,建材五金市场,广东省,深圳市,福田区,114.043933,22.562353
402,梅林顺德家私城,购物服务,家居建材市场,家具城,广东省,深圳市,福田区,114.048928,22.564611
403,中国联通(深圳福民路营业厅),购物服务,家电电子卖场,手机销售,广东省,深圳市,福田区,114.058455,22.522674
404,科信电脑(新洲十一街),购物服务,家电电子卖场,数码电子,广东省,深圳市,福田区,114.047929,22.527143
405,苏宁易购(皇岗福民路店),购物服务,家电电子卖场,数码电子,广东省,深圳市,福田区,114.057491,22.522775
406,中国电信(益田营业厅),购物服务,家电电子卖场,手机销售,广东省,深圳市,福田区,114.047295,22.517601
407,新兴电器,购物服务,家电电子卖场,综合家电商场,广东省,深圳市,福田区,114.047758,22.524792
408,中兴电器,购物服务,家电电子卖场,综合家电商场,广东省,深圳市,福田区,114.050264,22.521329
409,东方工艺红木家具,购物服务,家居建材市场,家具城,广东省,深圳市,龙华区,114.090254,22.722712
410,鑫隆泰建材水泥店,购物服务,家居建材市场,灯具瓷器市场,广东省,深圳市,龙华区,114.09034,22.721293
411,专业修手机,购物服务,家电电子卖场,手机销售,广东省,深圳市,龙华区,114.089376,22.723228
412,中国移动,购物服务,家电电子卖场,手机销售,广东省,深圳市,龙华区,114.089336,22.723331
413,洪辉门窗,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙华区,114.090406,22.72116
414,OPPO(高尔夫大道),购物服务,家电电子卖场,手机销售,广东省,深圳市,龙华区,114.089292,22.723113
415,新周五金机电商行,购物服务,家居建材市场,家居建材市场,广东省,深圳市,龙华区,114.090556,22.720239
416,德成专业省模抛光,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙华区,114.090625,22.720125
417,新兴五金店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙华区,114.089688,22.721964
418,燕兴五金锁业装饰批发行,购物服务,家居建材市场,家居建材市场,广东省,深圳市,龙华区,114.090645,22.719604
419,晟方通讯,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙华区,114.082401,22.684245
420,诺富五金建材,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙华区,114.076464,22.684079
421,永恒发五金机电商行,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙华区,114.084059,22.678921
422,上围家私电器,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙华区,114.079312,22.682777
423,深圳市睿德龙科技,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.092104,22.641506
424,深圳卡片u盘定制厂家,购物服务,家居建材市场,家居建材市场,广东省,深圳市,龙岗区,114.090284,22.641124
425,豪艺铜门,购物服务,家居建材市场,家居建材市场,广东省,深圳市,龙岗区,114.090731,22.642922
426,中国移动5G,购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.0889,22.642656
427,达瑞安防,购物服务,家电电子卖场,数码电子,广东省,深圳市,龙岗区,114.089385,22.642179
428,坂田0PP0官方体验店,购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.089116,22.639639
429,vivo(吉华路店),购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.088994,22.639596
430,华为手机(上雪体验店),购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.089085,22.639563
431,中国移动(4G手机店),购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.089112,22.642547
432,星光通讯,购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.089129,22.640353
433,赛威凌数码旗舰店,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.08984,22.638189
434,金佳创五金批发,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.089662,22.642929
435,华润万家(下水径店),购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.110399,22.617726
436,宝丽家私,购物服务,家居建材市场,家具城,广东省,深圳市,龙岗区,114.110929,22.606559
437,格力专卖店,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.102101,22.602813
438,易企推专营店,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.098963,22.608837
439,中杰领航数码专营店,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.098963,22.608837
440,润德通数码专营店,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.098963,22.608837
441,昊盛数码专营店,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.098963,22.608837
442,卡其顺数码专营店,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.098963,22.608837
443,又一居灯饰城,购物服务,家居建材市场,灯具瓷器市场,广东省,深圳市,福田区,114.100217,22.564942
444,科勒厨卫旗舰店(八卦岭总店),购物服务,家居建材市场,厨卫市场,广东省,深圳市,福田区,114.100388,22.563744
445,远望数码商城,购物服务,家电电子卖场,数码电子,广东省,深圳市,福田区,114.087092,22.54518
446,曼哈数码广场(华强北路),购物服务,家电电子卖场,数码电子,广东省,深圳市,福田区,114.088372,22.54635
447,苏宁易购(华强北华新店),购物服务,家电电子卖场,苏宁,广东省,深圳市,福田区,114.086397,22.548166
448,蒙娜丽莎瓷砖,购物服务,家居建材市场,建材五金市场,广东省,深圳市,福田区,114.098131,22.563326
449,艺展中心,购物服务,家居建材市场,家具城,广东省,深圳市,罗湖区,114.106255,22.560747
450,高丽住建,购物服务,家居建材市场,家具城,广东省,深圳市,福田区,114.097412,22.563345
451,TATA木门市场部,购物服务,家居建材市场,建材五金市场,广东省,深圳市,福田区,114.09949,22.562205
452,唯美L&D陶瓷(八卦四路),购物服务,家居建材市场,建材五金市场,广东省,深圳市,福田区,114.097835,22.563741
453,国美电器(华强店),购物服务,家电电子卖场,国美,广东省,深圳市,福田区,114.086125,22.546809
454,通天地通讯城,购物服务,家电电子卖场,手机销售,广东省,深圳市,福田区,114.089503,22.539624
455,都会电子城,购物服务,家电电子卖场,数码电子,广东省,深圳市,福田区,114.084583,22.541666
456,中电电子市场,购物服务,家电电子卖场,数码电子,广东省,深圳市,福田区,114.089032,22.541651
457,天威宽带(福田店),购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,福田区,114.100609,22.540196
458,华利嘉电子市场,购物服务,家电电子卖场,数码电子,广东省,深圳市,龙岗区,114.123739,22.674034
459,信义和生活超市,购物服务,家居建材市场,布艺市场,广东省,深圳市,龙岗区,114.123866,22.688425
460,深圳市宝宏达家具店,购物服务,家居建材市场,家具城,广东省,深圳市,龙岗区,114.133727,22.638483
461,中国电信(李朗营业厅),购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.124916,22.648544
462,苏宁易购(布吉信义店),购物服务,家电电子卖场,苏宁,广东省,深圳市,龙岗区,114.122421,22.598146
463,国美电器(布吉店),购物服务,家电电子卖场,国美,广东省,深圳市,龙岗区,114.117005,22.600434
464,布吉世纪数码电子城电脑城,购物服务,家电电子卖场,数码电子,广东省,深圳市,龙岗区,114.124401,22.609607
465,格力(翠竹路店),购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,罗湖区,114.129765,22.562245
466,国美电器(翠竹店),购物服务,家电电子卖场,国美,广东省,深圳市,罗湖区,114.130429,22.562375
467,中国移动电信都花特约代理点,购物服务,家电电子卖场,手机销售,广东省,深圳市,罗湖区,114.129889,22.557624
468,龙兴五金,购物服务,家居建材市场,建材五金市场,广东省,深圳市,罗湖区,114.129775,22.56228
469,家合居精品装饰材料广场(总店),购物服务,家居建材市场,建材五金市场,广东省,深圳市,罗湖区,114.126148,22.565816
470,大世界建材市场,购物服务,家居建材市场,建材五金市场,广东省,深圳市,罗湖区,114.123808,22.559347
471,多乐士(得来新专卖店),购物服务,家居建材市场,建材五金市场,广东省,深圳市,罗湖区,114.130618,22.557007
472,Canbo康宝,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,罗湖区,114.130371,22.562485
473,e家居生活,购物服务,家居建材市场,家具城,广东省,深圳市,龙岗区,114.174872,22.643027
474,深圳佳友二手办公家具城,购物服务,家居建材市场,家具城,广东省,深圳市,龙岗区,114.167977,22.641521
475,格力空调(深华街店),购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.175278,22.640247
476,深圳市奥克斯天誉成专卖店,购物服务,家电电子卖场,数码电子,广东省,深圳市,龙岗区,114.174639,22.6399
477,airland雅兰(深峰路),购物服务,家居建材市场,家具城,广东省,深圳市,龙岗区,114.176814,22.639632
478,国勇沙场水泥店,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.16803,22.642668
479,皇冠名鸿整体家居,购物服务,家居建材市场,家具城,广东省,深圳市,龙岗区,114.176613,22.639444
480,亮亮手机维修店,购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.173602,22.637187
481,鹏记手机配件店,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,罗湖区,114.172812,22.603351
482,铭胜手机专卖店,购物服务,家电电子卖场,手机销售,广东省,深圳市,罗湖区,114.175533,22.601817
483,源发电器,购物服务,家电电子卖场,数码电子,广东省,深圳市,罗湖区,114.172302,22.56119
484,顺兴不锈钢,购物服务,家居建材市场,建材五金市场,广东省,深圳市,罗湖区,114.168994,22.561698
485,鸿波专卖店,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,罗湖区,114.170643,22.562258
486,丰巢柜子手机,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,罗湖区,114.1716,22.561172
487,恒星电脑,购物服务,家电电子卖场,数码电子,广东省,深圳市,罗湖区,114.170693,22.562251
488,深皇床垫,购物服务,家居建材市场,家具城,广东省,深圳市,龙岗区,114.224677,22.752086
489,鸿福门窗,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.219065,22.750615
490,中国移动,购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.224673,22.74774
491,五联社朱古石路74五联想家店,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.225734,22.750205
492,华威冷气机电,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.228114,22.749522
493,家乐园家居建材广场,购物服务,家居建材市场,家具建材综合市场,广东省,深圳市,龙岗区,114.219035,22.726006
494,世纪电脑(白灰围一路),购物服务,家电电子卖场,数码电子,广东省,深圳市,龙岗区,114.222161,22.722061
495,乐航数码,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.214807,22.721572
496,苏宁易购(新大新家居广场店),购物服务,家电电子卖场,苏宁,广东省,深圳市,龙岗区,114.21954,22.726606
497,艺尚家,购物服务,家居建材市场,布艺市场,广东省,深圳市,龙岗区,114.212743,22.719612
498,高迪数码,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.216683,22.722498
499,溢力五金·机电,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.214318,22.719662
500,中国移动(天源指定专营店),购物服务,家电电子卖场,手机销售,广东省,深圳市,龙岗区,114.214139,22.718519
501,深圳市中坡工业地板有限公司,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.215417,22.724525
502,宝顺丰五金经营部,购物服务,家居建材市场,建材五金市场,广东省,深圳市,龙岗区,114.215417,22.724484
503,诚信家私,购物服务,家居建材市场,家具城,广东省,深圳市,龙岗区,114.211255,22.669104
504,雅特琳纳家私家电,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.211925,22.673466
505,新旧电器店,购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.213695,22.671961
506,广源电脑,购物服务,家电电子卖场,数码电子,广东省,深圳市,龙岗区,114.213677,22.67197
507,格力电器(坳二路店),购物服务,家电电子卖场,家电电子卖场,广东省,深圳市,龙岗区,114.213858,22.67165
508,玉林居,购物服务,家居建材市场,家具城,广东省,深圳市,龙岗区,114.212147,22.66908
