,健源商品店,购物服务,便民商店/便利店,便民商店/便利店.1,广东省,深圳市,宝安区,113.773965,22.726737
240,中原百货(铁岗环村东路店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.886487,22.602034
241,百旺便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.888903,22.601099
242,天福71052店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.885589,22.600774
243,元华士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.890426,22.604224
244,维客佳便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.888266,22.601481
245,和平の家便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.888338,22.600981
246,润之家24小时便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.888108,22.599785
247,好万家便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.887946,22.601471
248,万家福百货(铁岗东路),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.88791,22.600726
249,润の家便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.888107,22.599707
250,维客佳(湘惠便利店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.88738,22.60238
251,大家乐便利超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.887358,22.600009
252,裕安加油站便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.89454,22.566399
253,美宜佳,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.8926,22.560422
254,盛达百货(海富二巷),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.893053,22.563019
255,才乐商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.891426,22.560945
256,伟业百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.88875,22.567629
257,7-ELEVEn(前海嘉里店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.892628,22.526802
258,乐易棧休闲便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.884846,22.524049
259,世纪佳缘线下店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.901337,22.520376
260,7-ELEVEn(梦工场店),购物服务,便民商店/便利店,7-ELEVEn便利店,广东省,深圳市,南山区,113.901344,22.518787
261,VnGO便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.90188,22.516569
262,华润万家Vango便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.901379,22.516965
263,VanGo(前海公馆分店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.90167,22.5167
264,兴凯章百货小店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.889236,22.480591
265,利诚商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.889173,22.480471
266,11便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.892796,22.484184
267,叙福便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.893318,22.484405
268,赤湾振兴商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.888518,22.478541
269,金信福超市赤湾店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.889183,22.480489
270,百进百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.894214,22.485073
271,宝利商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.888702,22.478414
272,潘记超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.886361,22.481241
273,赤湾便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.887831,22.478804
274,24小时便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.892401,22.487545
275,鑫辉金山便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.933052,22.800226
276,美盈森集团股份有限公司,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.935034,22.807817
277,佳丰自选商场,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.935728,22.807862
278,乐家福百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.938412,22.80793
279,鑫辉百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.935272,22.794955
280,广和百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.937615,22.808375
281,新陂头牛场嘉福百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.93826,22.80827
282,鑫辉百货(楼村分店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.939526,22.796212
283,易易站(新陂头分店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.943319,22.801926
284,冠城旺旺百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.940552,22.796908
285,全家福,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.936132,22.794032
286,美林华百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.942,22.803977
287,陆兴百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.942443,22.800971
288,众好便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.926883,22.763657
289,名盛商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.936271,22.7602
290,兴旺便利店(木墩新村店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.926775,22.763506
291,谊佳便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.937626,22.765299
292,康达便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.938142,22.764735
293,绿园便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.93517,22.767647
294,好宜佳,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.938352,22.764805
295,易惠优品便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.938048,22.765026
296,星辉百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.935067,22.76726
297,美宜佳(木墩店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.922573,22.763012
298,快迪便利超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.932996,22.720195
299,同发食品批发商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.926784,22.719665
300,佳佳乐生活便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.926548,22.719889
301,快乐为民(长圳路),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.926519,22.719615
302,社成便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.92738,22.718281
303,旭宜快购,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.926188,22.719597
304,亲青便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.927,22.717952
305,宜嘉商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.925888,22.719493
306,毛兴商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.924916,22.719391
307,杨记商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.924652,22.719374
308,国润便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.924824,22.723305
309,美宜佳,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.924572,22.719827
310,福民商行批发,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.925531,22.719516
311,永佳百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.923561,22.71951
312,德丰超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.923215,22.719369
313,美惠佳,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.92359,22.719402
314,大志云商连锁,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.924365,22.719841
315,茂宣商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.924767,22.717158
316,戚记百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.92312,22.719574
317,福圳便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.924197,22.717069
318,快购,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.925676,22.725045
319,恒瑞祥休闲食品批发零售,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.931802,22.681804
320,美宜佳(光辉路店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.93171,22.679891
321,士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.926626,22.645028
322,美佳乐便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.929608,22.643565
323,珊姐便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.92906,22.64047
324,吉祥便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.929501,22.643723
325,钰轩便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.929051,22.640456
326,润兴百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.928702,22.641188
327,润兴商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.928689,22.641216
328,立记便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.929214,22.643569
329,鹏顺百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.929456,22.639436
330,酒烟茶,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.929637,22.639359
331,开心乐购,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.928669,22.643187
332,中国石化(麒麟加油站)-便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.933351,22.560334
333,美宜佳(麒麟新村店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.932072,22.547487
334,A便利24h自助便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.935989,22.558232
335,聚优生活生鲜日用品店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.926215,22.564759
336,好家园商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.92253,22.56681
337,得利综合商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.942368,22.558267
338,为民商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.91163,22.568632
339,永胜发便利超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.938549,22.558011
340,嘉兴士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.923273,22.558909
341,西部校园百货(桂庙新村店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.933284,22.526594
342,华润万家便利超市(半岛城邦店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.931007,22.481472
343,易捷便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.929335,22.48293
344,百里臣便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.930358,22.479945
345,全佳便利(东角头分店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.934326,22.486364
346,顺兴综合商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.929847,22.487195
347,陈平士多,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.930167,22.484497
348,亦麟电脑商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.929602,22.486495
349,万众百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.966532,22.802627
350,丽丽百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.964676,22.805189
351,吉祥便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.963887,22.806826
352,和兴杂货店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.963906,22.806863
353,淘多多便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.963911,22.806833
354,深圳市光明区家乐副食店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.963804,22.80669
355,天虹微喔光明羌下店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.9622,22.805099
356,老陈商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.963197,22.80554
357,羌下老村商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.960862,22.797908
358,新美百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.960871,22.797666
359,意鑫便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.959543,22.798118
360,美宜佳(环荔路店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.959837,22.795217
361,天添便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.960517,22.791785
362,佳华百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.957118,22.795675
363,嘉满利便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.957891,22.790765
364,好林居便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.955014,22.794787
365,晧睿便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.969841,22.765082
366,美宜佳,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.968297,22.765188
367,光明黄氏便利店(水库小店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.971289,22.765336
368,美和好百货(迳口新村一号路店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.968277,22.765433
369,光明农场大观园-小卖部,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.96303,22.758273
370,添雅商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.957973,22.760003
371,铭利商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.956834,22.758873
372,宝源盛百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.957287,22.762402
373,关云日杂店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.955401,22.762621
374,润红百货店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.954386,22.753702
375,英华商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.951711,22.758019
376,佳又惠,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.981349,22.725619
377,美宜佳(白花园路),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.981522,22.725916
378,盈利便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.982633,22.727074
379,鑫裕华生活超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.966145,22.708105
380,白花油站一便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.98382,22.73039
381,家乐通(石龙仔民营路分店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.965931,22.707771
382,兴群百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.969151,22.705542
383,佳福便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.96303,22.707519
384,维客佳便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,光明区,113.986981,22.731003
385,刘记小卖部,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.970165,22.680586
386,城记士多,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.970009,22.679127
387,双林杂货店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.967821,22.683023
388,和兴小店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,113.970127,22.678495
389,鸿运杂货店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.966333,22.683141
390,金稻百货(捷家宝路店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.965108,22.683848
391,华宁百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,113.982104,22.688735
392,超乐百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.96528,22.684496
393,来利日用小百货店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.964829,22.684057
394,陈记便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.965143,22.684398
395,美玫百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,宝安区,113.965732,22.685456
396,万家好百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.973032,22.623415
397,家福便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.970723,22.631075
398,平平商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.97098,22.62946
399,美佳商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.970503,22.629101
400,佳城便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.969457,22.629193
401,家家好百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.971431,22.628381
402,京东超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.971101,22.628793
403,佰利捷便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.972072,22.62807
404,永盛商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.974094,22.621856
405,老邻居士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.971897,22.627691
406,金生缘便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.972928,22.62669
407,舒心便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.972865,22.626933
408,百兽商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.96981,22.59876
409,金猴商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.97351,22.597576
410,小湖商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.969746,22.59404
411,美宜佳(南山西丽塘朗村口店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.987074,22.590293
412,明光商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.965244,22.593215
413,顺丰优选(西湖林语店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.965226,22.593194
414,生活驿站,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.968348,22.583046
415,光大商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.965294,22.593258
416,益力商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.963241,22.5941
417,圣路士多店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.962981,22.593842
418,丽生商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.963034,22.593833
419,江南百货(白石洲店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.968722,22.543963
420,龙珠便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.973262,22.56177
421,7-ELEVEn(金谷创业园店),购物服务,便民商店/便利店,7-ELEVEn便利店,广东省,深圳市,南山区,113.973816,22.561472
422,全家福便利店(龙井龙腾店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.972951,22.560345
423,恒新士多,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.974298,22.560737
424,美宜佳(龙井店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.972772,22.560215
425,LYH便民超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.970584,22.559616
426,子申百货商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.973806,22.560551
427,顺记便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.973915,22.560569
428,华润万家便利超市(红树西岸店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.966312,22.522723
429,家家乐百货(白石街店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.967355,22.535478
430,宏信商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.97282,22.530961
431,滨海商行批发部,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.970922,22.5322
432,杨记士多,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,南山区,113.96715,22.531406
433,美宜佳(粤16005店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.023864,22.74342
434,便利商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.017054,22.75186
435,宸兴商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.017052,22.751862
436,开心超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.017011,22.748438
437,兴隆百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.017296,22.75219
438,鑫辉百货(樟阁路店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.017387,22.749093
439,哆哆便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.017017,22.749152
440,波记旺铺,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.015362,22.748225
441,怡峰万家百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.015554,22.748009
442,玖玖便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.015186,22.748007
443,嘉众生活超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.027234,22.756266
444,欣欣商店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.017053,22.748069
445,永朝便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.018125,22.748302
446,鑫源百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.016862,22.747699
447,永利便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.015813,22.748402
448,顶民便利店(樟阁路),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.01665,22.748536
449,万家便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.008658,22.726662
450,惠多佳百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.012643,22.725071
451,家乐通(水坑2分店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.009049,22.72914
452,美宜佳(金奥园M081店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.012602,22.725264
453,旺通百货(大水坑店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.010983,22.725154
454,自来便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.011428,22.725784
455,美宜佳(粤11893),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.012488,22.726736
456,中业爱民,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.01252,22.726163
457,阿六便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.011138,22.725867
458,好佳宜便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.011587,22.726636
459,富乐多百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.007931,22.725616
460,信誉百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.015148,22.726076
461,家家乐商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.00846,22.725774
462,平价便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.01272,22.726515
463,美多惠,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.012045,22.726925
464,佳乐生活超市,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.012465,22.726887
465,美宜佳,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.007982,22.72597
466,佳美百货(沿河路店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.003717,22.688926
467,福家旺便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.010631,22.682463
468,广绿副食百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.011314,22.680285
469,顺华百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.01502,22.680956
470,丰盛百货(华盛路店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.002255,22.68109
471,维客佳,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.01071,22.680191
472,伟鹏达百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.012854,22.680761
473,深圳市龙华区乐佳便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.012902,22.682542
474,金园商行,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.013542,22.680735
475,日用百货店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.009469,22.67976
476,美宜佳(龙华大浪浪口河坑店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.014041,22.680461
477,众乐购百货,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.010484,22.680229
478,每天惠智慧便利店(天易店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.010301,22.679989
479,美宜佳(新宝盛店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.014041,22.680475
480,美宜佳(大浪沿河路A678店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.009907,22.680157
481,志兰便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.010456,22.679049
482,天猫小店隆盛便利店,购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.014302,22.680572
483,祥龙兴商行(大浪浪口店),购物服务,便民商店/便利店,便民商店/便利店,广东省,深圳市,龙华区,114.010187,22.679427
