,吴仕娣西医内科诊所,医疗保健服务,专科医院,专科医院.1,广东省,深圳市,宝安区,113.783813,22.724596,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
222,瞳玺眼科蛇口视光中心,医疗保健服务,专科医院,眼科医院,广东省,深圳市,南山区,113.929668,22.487379,,,,,
223,正夫口腔(蛇口店),医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.929667,22.48819,,,,,
224,深圳致冠口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.93516,22.486309,,,,,
225,半岛口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.932082,22.487665,,,,,
226,深圳市南山区妇女儿童医院,医疗保健服务,专科医院,妇科医院,广东省,深圳市,南山区,113.930747,22.487015,,,,,
227,李恒口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.929338,22.489072,,,,,
228,望海齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.924776,22.485775,,,,,
229,紫荆齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.923126,22.485261,,,,,
230,深圳恒正道口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.929345,22.489089,,,,,
231,深圳恒正道口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.929345,22.489089,,,,,
232,深圳语馨口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.924949,22.486691,,,,,
233,明森齿科蛇口分院,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.936163,22.491469,,,,,
234,炫齿口腔(蛇口店),医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.920858,22.488328,,,,,
235,壹诺齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.917795,22.486074,,,,,
236,邓超文口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.940075,22.491427,,,,,
237,章敏芳口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.931662,22.494318,,,,,
238,ISYOU医疗美容,医疗保健服务,专科医院,整形美容,广东省,深圳市,南山区,113.940247,22.491885,,,,,
239,深圳璐美纳斯医疗美容诊所,医疗保健服务,专科医院,整形美容,广东省,深圳市,南山区,113.942535,22.491821,,,,,
240,深圳市南山区王海鹏口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.924225,22.490055,,,,,
241,深圳百适美口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.939127,22.492267,,,,,
242,爱齿汇口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.924576,22.492865,,,,,
243,深圳西觅医疗美容诊所,医疗保健服务,专科医院,整形美容,广东省,深圳市,南山区,113.917427,22.486338,,,,,
244,懿心齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.94015,22.493005,,,,,
245,深圳伊慈佑医疗美容门诊部,医疗保健服务,专科医院,整形美容,广东省,深圳市,南山区,113.94066,22.491693,,,,,
246,深圳瑞港医疗美容门诊部,医疗保健服务,专科医院,整形美容,广东省,深圳市,南山区,113.920338,22.494796,,,,,
247,诺德齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.941153,22.494475,,,,,
248,深圳雅尔医疗美容诊所,医疗保健服务,专科医院,整形美容,广东省,深圳市,南山区,113.941278,22.494093,,,,,
249,网谷口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.91978,22.495852,,,,,
250,深圳肌漾医疗美容诊所,医疗保健服务,专科医院,整形美容,广东省,深圳市,南山区,113.941187,22.494646,,,,,
251,深圳心一康中广和中医内科诊所,医疗保健服务,专科医院,专科医院,广东省,深圳市,南山区,113.924859,22.49852,,,,,
252,美哈口腔育才二小分院,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.931514,22.497739,,,,,
253,深圳星露颜医疗美容诊所,医疗保健服务,专科医院,整形美容,广东省,深圳市,南山区,113.914066,22.484242,,,,,
254,友睦口腔南山招商局广场门诊,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.91602,22.481291,,,,,
255,格伦菲尔口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,113.97908,22.677171,,,,,
256,诺德齿科(石岩旗舰店),医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.969689,22.691591,,,,,
257,百兴口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,113.99029,22.678409,,,,,
258,深圳邓伟光口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.967047,22.697874,,,,,
259,深圳博尔康口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.966892,22.698081,,,,,
260,黄茂来中医内科诊所,医疗保健服务,专科医院,专科医院,广东省,深圳市,宝安区,113.96637,22.698167,,,,,
261,佳鸿口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.964877,22.593146,,,,,
262,深圳斯麦尔口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.965577,22.587697,,,,,
263,深圳十禾口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.971859,22.584402,,,,,
264,深圳汇康口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.974691,22.619429,,,,,
265,西丽人民医院口腔医学部大学城分部,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.96101,22.58197,,,,,
266,惠源口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.974957,22.559709,,,,,
267,雅畅鼻腔健康护理中心,医疗保健服务,专科医院,耳鼻喉医院,广东省,深圳市,南山区,113.973894,22.559285,,,,,
268,陈青华口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.975289,22.55807,,,,,
269,深圳唯爱佳口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.973671,22.556678,,,,,
270,深圳爱尚美医疗美容医院,医疗保健服务,专科医院,整形美容,广东省,深圳市,南山区,113.972326,22.551762,,,,,
271,舒美齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.966319,22.5319,,,,,
272,友诚齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.969337,22.531902,,,,,
273,深圳市臻艺医疗美容有限公司千颜医疗美容诊所,医疗保健服务,专科医院,整形美容,广东省,深圳市,南山区,113.965697,22.528405,,,,,
274,李萍口腔科诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.967555,22.533856,,,,,
275,积美医疗美容,医疗保健服务,专科医院,整形美容,广东省,深圳市,南山区,113.964533,22.533913,,,,,
276,李文冰口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.984288,22.536128,,,,,
277,深圳媄咖医疗美容诊所,医疗保健服务,专科医院,整形美容,广东省,深圳市,南山区,113.973159,22.538168,,,,,
278,阿超牙科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.967467,22.535242,,,,,
279,马泷齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.973174,22.53825,,,,,
280,优德医美,医疗保健服务,专科医院,专科医院,广东省,深圳市,南山区,113.973086,22.53813,,,,,
281,Livio励唯齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.953826,22.528092,,,,,
282,同步齿科(世界之窗店),医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.973165,22.538079,,,,,
283,正合天伊口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.967076,22.537231,,,,,
284,芊美医疗美容皮肤科诊所,医疗保健服务,专科医院,整形美容,广东省,深圳市,南山区,113.973157,22.538184,,,,,
285,慈恩齿科(瑞思中心店),医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.973013,22.538374,,,,,
286,深圳弘天悦美医疗美容门诊部,医疗保健服务,专科医院,整形美容,广东省,深圳市,南山区,113.977714,22.537214,,,,,
287,友睦口腔(欢乐海岸门诊部),医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.989391,22.525485,,,,,
288,正夫口腔(世界之窗旗舰店),医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.973281,22.538185,,,,,
289,美亚齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.983574,22.536227,,,,,
290,张勇牙科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.970846,22.54069,,,,,
291,阿芙罗(深圳)美容服务有限公司欢乐海岸医疗美容诊所,医疗保健服务,专科医院,整形美容,广东省,深圳市,南山区,113.989153,22.525988,,,,,
292,江来更美投资有限公司江来更美医疗美容诊所,医疗保健服务,专科医院,整形美容,广东省,深圳市,南山区,113.954197,22.527771,,,,,
293,深圳荟博口腔门诊部,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.951914,22.530848,,,,,
294,深圳荣晟普通专科门诊部,医疗保健服务,专科医院,专科医院,广东省,深圳市,南山区,113.955091,22.541088,,,,,
295,深圳雅圣口腔门诊部,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.952958,22.541073,,,,,
296,慈恩齿科(富诚门诊),医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.951581,22.541032,,,,,
297,深圳诺德南悦口腔门诊部,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.952954,22.540934,,,,,
298,哆唻咪心理咨询(南山店),医疗保健服务,专科医院,专科医院,广东省,深圳市,南山区,113.952835,22.541047,,,,,
299,LB盛力会医疗美容门诊部,医疗保健服务,专科医院,整形美容,广东省,深圳市,南山区,113.951644,22.55335,,,,,
300,深圳洁康口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.952322,22.574478,,,,,
301,深圳康齿德口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.953523,22.577496,,,,,
302,西丽丽城口腔门诊部,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.957487,22.581211,,,,,
303,同步齿科·奈斯门诊,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.953562,22.542032,,,,,
304,葛景辉口腔诊所(沙河西路),医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.954823,22.580002,,,,,
305,深圳懿德口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.953782,22.578951,,,,,
306,爱齿汇口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.953858,22.578901,,,,,
307,NUDTECH诺可研医疗美容中心,医疗保健服务,专科医院,整形美容,广东省,深圳市,南山区,113.98774,22.543941,,,,,
308,尚名口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.953546,22.543238,,,,,
309,深圳正夫口腔(西丽旗舰店),医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.955464,22.580111,,,,,
310,深圳雅至口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.952738,22.541795,,,,,
311,友睦口腔((南山华润城门诊),医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.953571,22.542299,,,,,
312,李琼霞西医妇科诊所,医疗保健服务,专科医院,妇科医院,广东省,深圳市,龙华区,114.019273,22.745221,,,,,
313,玉连口腔诊所(装修中),医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.018403,22.745798,,,,,
314,星康,医疗保健服务,专科医院,专科医院,广东省,深圳市,龙华区,114.01876,22.742977,,,,,
315,曹显口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.017403,22.743042,,,,,
316,深圳康俊口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.019028,22.743707,,,,,
317,四季医疗美容门诊部,医疗保健服务,专科医院,整形美容,广东省,深圳市,南山区,113.920411,22.538026,,,,,
318,恒安康口腔连锁,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.012964,22.728969,,,,,
319,深圳友胜口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.012887,22.728958,,,,,
320,鸿泰牙科-深圳鸿泰专业妇科,医疗保健服务,专科医院,妇科医院,广东省,深圳市,龙华区,114.011997,22.73114,,,,,
321,区月华西医妇科诊所,医疗保健服务,专科医院,妇科医院,广东省,深圳市,龙华区,114.015836,22.732722,,,,,
322,深圳博雅口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.009,22.677603,,,,,
323,深圳缪亮声口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.004981,22.679036,,,,,
324,深圳亚美口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.006833,22.676507,,,,,
325,深圳瀚海口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.004007,22.678225,,,,,
326,瀚海齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.003986,22.678232,,,,,
327,深圳笑言口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.010271,22.639873,,,,,
328,美雅口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.011895,22.643928,,,,,
329,鼎尚口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.01354,22.637429,,,,,
330,康健雅口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.015132,22.637478,,,,,
331,雅菲口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,114.000485,22.589373,,,,,
332,正夫口腔(西丽宝能城店),医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.99757,22.590036,,,,,
333,深圳新尚雅口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.026527,22.619739,,,,,
334,深圳美然口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.009706,22.650811,,,,,
335,暨南大学附属深圳市眼科医院,医疗保健服务,专科医院,眼科医院,广东省,深圳市,福田区,114.014466,22.545914,,,,,
336,香蜜齿科(张新宇口腔诊所),医疗保健服务,专科医院,口腔医院,广东省,深圳市,福田区,114.01515,22.550555,,,,,
337,凯乐齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,福田区,114.011829,22.547599,,,,,
338,同步齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,福田区,114.010792,22.546447,,,,,
339,香格里医疗美肤,医疗保健服务,专科医院,整形美容,广东省,深圳市,福田区,114.010897,22.546507,,,,,
340,暨南大学附属深圳眼科医院-门诊,医疗保健服务,专科医院,眼科医院,广东省,深圳市,福田区,114.014367,22.546077,,,,,
341,深圳名人口腔门诊部,医疗保健服务,专科医院,口腔医院,广东省,深圳市,福田区,114.009986,22.547202,,,,,
342,深圳市香格丽医疗美容诊所,医疗保健服务,专科医院,整形美容,广东省,深圳市,福田区,114.010843,22.546497,,,,,
343,上善齿科(深国投广场),医疗保健服务,专科医院,口腔医院,广东省,深圳市,福田区,114.010708,22.544654,,,,,
344,同步齿科·同健门诊(侨香店),医疗保健服务,专科医院,口腔医院,广东省,深圳市,福田区,114.010832,22.546454,,,,,
345,嘉合齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,福田区,114.009003,22.534359,,,,,
346,韦博口腔(东涌路),医疗保健服务,专科医院,口腔医院,广东省,深圳市,福田区,114.02586,22.527744,,,,,
347,珮斐齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,福田区,114.021915,22.531527,,,,,
348,深圳市福田区风湿病专科医院,医疗保健服务,专科医院,专科医院,广东省,深圳市,福田区,114.018736,22.537251,,,,,
349,精润齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,福田区,114.027833,22.526104,,,,,
350,深圳希玛林顺潮眼科医院,医疗保健服务,专科医院,眼科医院,广东省,深圳市,福田区,114.024609,22.529496,,,,,
351,痣福缘雀斑中心,医疗保健服务,专科医院,整形美容,广东省,深圳市,福田区,114.025533,22.52504,,,,,
352,深圳谦达医疗美容门诊部,医疗保健服务,专科医院,整形美容,广东省,深圳市,福田区,114.026801,22.528551,,,,,
353,深圳葛艳西医内科诊所,医疗保健服务,专科医院,专科医院,广东省,深圳市,龙华区,114.035142,22.7531,,,,,
354,再生源口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.034478,22.752911,,,,,
355,李氏正骨,医疗保健服务,专科医院,骨科医院,广东省,深圳市,龙华区,114.057328,22.744139,,,,,
356,强兴口腔用品,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.033922,22.753911,,,,,
357,深圳翁阳口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.051073,22.719056,,,,,
358,王建新牙科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.054132,22.720488,,,,,
359,翁考连,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.055158,22.720438,,,,,
360,翁考连口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.055156,22.720462,,,,,
361,李生口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.048661,22.717207,,,,,
362,深圳缪忠明口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.056278,22.718418,,,,,
363,深圳翁云彬口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.057687,22.720007,,,,,
364,深圳玛莱妇科门诊部,医疗保健服务,专科医院,妇科医院,广东省,深圳市,龙华区,114.059288,22.718842,,,,,
365,远大齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.048998,22.673314,,,,,
366,远大齿科马秀珍口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.049,22.673322,,,,,
367,深圳高林霞口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.049282,22.692263,,,,,
368,深圳天美口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.048773,22.641304,,,,,
369,景明专业牙科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙岗区,114.064279,22.63435,,,,,
370,深圳如雅口腔诊所(龙华分店),医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.047857,22.642278,,,,,
371,梁海英口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.051586,22.601719,,,,,
372,凯伦口腔民治滢水山庄机构,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.051578,22.601761,,,,,
373,利荣口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.053105,22.601168,,,,,
374,凯伦口腔·数字化矫正·种植牙中心(民治滢水山庄机构),医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.051586,22.60175,,,,,
375,深圳黄毅口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.05214,22.599367,,,,,
376,深圳爱齿泰口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.051032,22.599007,,,,,
377,深圳海迈口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.053469,22.59847,,,,,
378,深圳志美口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.054743,22.599202,,,,,
379,心美口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.055159,22.599212,,,,,
380,康雅齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,福田区,114.054804,22.560689,,,,,
381,雨田社康口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,福田区,114.055177,22.559773,,,,,
382,徕可口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,福田区,114.054894,22.564393,,,,,
383,郭建波口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,福田区,114.051619,22.566442,,,,,
384,深圳市妇幼保健院(福强院区),医疗保健服务,专科医院,专科医院,广东省,深圳市,福田区,114.048727,22.518468,,,,,
385,深圳仁爱医院,医疗保健服务,专科医院,专科医院,广东省,深圳市,福田区,114.041365,22.520424,,,,,
386,众志齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,福田区,114.052815,22.520353,,,,,
387,深圳市福田妇幼保健院,医疗保健服务,专科医院,专科医院,广东省,深圳市,福田区,114.064373,22.5228,,,,,
388,深圳美艾雅口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,福田区,114.050964,22.521135,,,,,
389,深圳亿美医疗美容诊所,医疗保健服务,专科医院,整形美容,广东省,深圳市,福田区,114.05338,22.520756,,,,,
390,五一齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,福田区,114.05416,22.523398,,,,,
391,深圳中山泌尿外科医院,医疗保健服务,专科医院,专科医院,广东省,深圳市,福田区,114.069027,22.528157,,,,,
392,谢家伟口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,福田区,114.054156,22.523408,,,,,
393,德益齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,福田区,114.052819,22.518597,,,,,
394,深圳思美口腔门诊部,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.078256,22.684451,,,,,
395,深康医疗,医疗保健服务,专科医院,整形美容,广东省,深圳市,龙华区,114.087441,22.696701,,,,,
396,利尚齿科连锁机构(观澜店),医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.077644,22.685608,,,,,
397,深圳怡宁医院,医疗保健服务,专科医院,精神病医院,广东省,深圳市,龙华区,114.078461,22.690414,,,,,
398,麦芽口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙华区,114.091718,22.699799,,,,,
399,御濞康鼻腔健康中心,医疗保健服务,专科医院,耳鼻喉医院,广东省,深圳市,龙岗区,114.106769,22.691349,,,,,
400,深圳市龙岗区詹奕帆口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙岗区,114.109222,22.690542,,,,,
401,深圳远东妇产医院,医疗保健服务,专科医院,妇科医院,广东省,深圳市,龙岗区,114.07155,22.63961,,,,,
402,深圳尚诚口腔诊所(上品店),医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙岗区,114.083369,22.633412,,,,,
403,仁汇口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙岗区,114.081022,22.631093,,,,,
404,森林口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙岗区,114.081644,22.629834,,,,,
405,深圳杨美嘉良口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙岗区,114.079694,22.630581,,,,,
406,嘉良口腔(杨美店),医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙岗区,114.079497,22.630698,,,,,
407,深圳美博口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙岗区,114.102505,22.610913,,,,,
408,深圳戴上有口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙岗区,114.106426,22.608566,,,,,
409,深圳市妇幼保健院(红荔路),医疗保健服务,专科医院,专科医院,广东省,深圳市,福田区,114.09422,22.549689,,,,,
410,拜博口腔(华强北店),医疗保健服务,专科医院,口腔医院,广东省,深圳市,福田区,114.08803,22.548402,,,,,
411,弘和齿科(百花四路),医疗保健服务,专科医院,口腔医院,广东省,深圳市,福田区,114.090144,22.552977,,,,,
412,正尚医美,医疗保健服务,专科医院,整形美容,广东省,深圳市,福田区,114.096115,22.559913,,,,,
413,深圳佳至口腔门诊部,医疗保健服务,专科医院,口腔医院,广东省,深圳市,福田区,114.096019,22.557994,,,,,
414,牙科诊疗中心,医疗保健服务,专科医院,专科医院,广东省,深圳市,福田区,114.099896,22.559855,,,,,
415,粤康中医疼痛专科,医疗保健服务,专科医院,专科医院,广东省,深圳市,福田区,114.099346,22.559088,,,,,
416,鹏盛牙科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,福田区,114.098049,22.557947,,,,,
417,嘉信医疗美容,医疗保健服务,专科医院,整形美容,广东省,深圳市,福田区,114.095655,22.558403,,,,,
418,深圳军科门诊,医疗保健服务,专科医院,传染病医院,广东省,深圳市,福田区,114.082438,22.535144,,,,,
419,福华口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,福田区,114.084389,22.537464,,,,,
420,深圳美莱医疗美容医院,医疗保健服务,专科医院,整形美容,广东省,深圳市,福田区,114.090429,22.541285,,,,,
421,深圳市福田区耀光口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,福田区,114.091189,22.538194,,,,,
422,深圳平乐骨伤科医院,医疗保健服务,专科医院,骨科医院,广东省,深圳市,罗湖区,114.107403,22.538767,,,,,
423,汇港齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,福田区,114.08382,22.530715,,,,,
424,军科整形医院,医疗保健服务,专科医院,整形美容,广东省,深圳市,福田区,114.082434,22.535142,,,,,
425,华悦口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,福田区,114.082101,22.528893,,,,,
426,深圳曾锋口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,福田区,114.083847,22.530667,,,,,
427,众美齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,福田区,114.085175,22.532846,,,,,
428,深圳伟棠口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙岗区,114.134318,22.681724,,,,,
429,深圳欣美口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙岗区,114.125031,22.682098,,,,,
430,深圳市第三人民医院-胸痛中心,医疗保健服务,专科医院,胸科医院,广东省,深圳市,龙岗区,114.129397,22.635015,,,,,
431,杰益牙科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙岗区,114.128772,22.644157,,,,,
432,国家感染性疾病临床医学研究中心,医疗保健服务,专科医院,传染病医院,广东省,深圳市,龙岗区,114.12998,22.636079,,,,,
433,旭正堂鼻腔健康护理中心,医疗保健服务,专科医院,耳鼻喉医院,广东省,深圳市,龙岗区,114.135236,22.636645,,,,,
434,深圳鑫博睿口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙岗区,114.136409,22.626783,,,,,
435,曾伟跌打骨科,医疗保健服务,专科医院,骨科医院,广东省,深圳市,龙岗区,114.114159,22.62627,,,,,
436,艾牙口腔种植研究中心,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙岗区,114.127948,22.599027,,,,,
437,深圳张圣宇口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙岗区,114.134216,22.598123,,,,,
438,深圳刘君口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,龙岗区,114.128437,22.597736,,,,,
439,深圳依美医疗美容门诊部,医疗保健服务,专科医院,整形美容,广东省,深圳市,龙岗区,114.126903,22.604518,,,,,
440,博耀齿科(翠竹店),医疗保健服务,专科医院,口腔医院,广东省,深圳市,罗湖区,114.130007,22.560672,,,,,
441,深圳市罗湖区妇幼保健院(太白路),医疗保健服务,专科医院,专科医院,广东省,深圳市,罗湖区,114.136659,22.576369,,,,,
442,深圳非凡医疗美容医院,医疗保健服务,专科医院,整形美容,广东省,深圳市,罗湖区,114.119527,22.54744,,,,,
443,颜美医疗美容,医疗保健服务,专科医院,整形美容,广东省,深圳市,罗湖区,114.129883,22.557692,,,,,
444,深圳远东妇产医院,医疗保健服务,专科医院,专科医院,广东省,深圳市,罗湖区,114.123855,22.543511,,,,,
