,吴仕娣诊所,医疗保健服务,诊所,诊所.1,广东省,深圳市,宝安区,113.783681,22.724646,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
234,深圳吕荣贵中医综合诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.945294,22.761396,,,,,
235,深圳陈学军诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.92272,22.719289,,,,,
236,深圳济仁堂诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.922534,22.719256,,,,,
237,深圳杨家学诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.938687,22.729991,,,,,
238,周全诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.938068,22.731746,,,,,
239,深圳市光明新区公明黄慈茂西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.922261,22.716758,,,,,
240,兰贵人中医,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.934072,22.73505,,,,,
241,深圳葛梅兰中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.933765,22.735217,,,,,
242,深圳唐保林诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.934366,22.735328,,,,,
243,德尚堂艾灸馆,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.934736,22.735682,,,,,
244,深圳王雪莉诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.934239,22.734635,,,,,
245,深圳何艳莉诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.931275,22.681144,,,,,
246,深圳龙腾康信诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.931104,22.680863,,,,,
247,深圳宝石诊所(深第138号店),医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.932709,22.681412,,,,,
248,牙科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.933073,22.678371,,,,,
249,福傅跌打,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.93519,22.678558,,,,,
250,恒生口腔,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.927256,22.643602,,,,,
251,深圳覃三桂诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.927842,22.645132,,,,,
252,深圳顺民利康中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.927894,22.64862,,,,,
253,天宝牙科,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.927924,22.648868,,,,,
254,深圳康运佳诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.923054,22.646942,,,,,
255,深圳国兴诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.921997,22.647982,,,,,
256,深圳凡顺留仙诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.927695,22.585873,,,,,
257,唐茜中医科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.947989,22.585802,,,,,
258,刘生桂中医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.945991,22.587607,,,,,
259,唐茜诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.948043,22.58578,,,,,
260,深圳唐茜中医(综合)诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.947967,22.585802,,,,,
261,深圳安泰门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.948304,22.583073,,,,,
262,深圳邹益森西医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.913451,22.583515,,,,,
263,邹益森西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.913475,22.583553,,,,,
264,深圳宗英诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.924074,22.564819,,,,,
265,肖文池诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.922094,22.556406,,,,,
266,肖文池西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.922075,22.5564,,,,,
267,南山区人民医院麻岭社区健康服务中心,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.93418,22.543046,,,,,
268,深圳益尔中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.926409,22.550066,,,,,
269,艾莱康诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.938406,22.573709,,,,,
270,张孝全中医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.938484,22.573551,,,,,
271,卫康体检,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.92288,22.572701,,,,,
272,深圳卫康门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.92274,22.572675,,,,,
273,艾莱康中医,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.938416,22.573747,,,,,
274,伟德诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.927685,22.548204,,,,,
275,深圳奥觅诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.931195,22.521453,,,,,
276,明森齿科南山分院,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.926987,22.520352,,,,,
277,深圳李英全中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.931977,22.518122,,,,,
278,深圳联合丽格医疗美容门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.930118,22.518628,,,,,
279,深圳大学医院,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.938647,22.532389,,,,,
280,高亚勇西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.930411,22.48505,,,,,
281,杏人轩中医馆,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.926159,22.484699,,,,,
282,深浩门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.934925,22.4894,,,,,
283,深圳美季汇康诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.92519,22.485007,,,,,
284,深圳法适迈诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.925208,22.484992,,,,,
285,诸子医中医轻疗馆(海韵分馆),医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.925256,22.485791,,,,,
286,特色中医,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.928763,22.488435,,,,,
287,郑勇盛西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.925638,22.48647,,,,,
288,中医区,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.92293,22.488666,,,,,
289,广东保康堂肿瘤中医院,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.928605,22.488541,,,,,
290,深圳沃美时光医疗美容诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.925268,22.484973,,,,,
291,深圳李学本骨伤科中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.934279,22.488502,,,,,
292,深圳桂香堂中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.924228,22.488032,,,,,
293,艾康堂中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.935407,22.489779,,,,,
294,深圳张文波西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,光明区,113.963238,22.806476,,,,,
295,深圳元安堂诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.929548,22.493837,,,,,
296,董武军西医外科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.93219,22.489736,,,,,
297,汉古中医,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.940717,22.491618,,,,,
298,深圳汉古中医馆,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.94074,22.4916,,,,,
299,微笑齿科(徐莉口腔诊所)(装修中),医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.931614,22.494472,,,,,
300,道丰堂德仁中医馆,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.934369,22.494881,,,,,
301,深圳恩吉娜医疗美容门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.9427,22.488627,,,,,
302,御筋宫中医(星海华庭店),医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.93535,22.494242,,,,,
303,深圳艾一诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.942775,22.490973,,,,,
304,深圳中宾国康诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.942735,22.491197,,,,,
305,肌漾美容医疗,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.941211,22.494773,,,,,
306,深圳静坤堂中医馆,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.914958,22.48636,,,,,
307,深圳麦肯西卓越维港诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.941371,22.493881,,,,,
308,中广和堂,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.92486,22.498591,,,,,
309,深圳恒乐中医门诊,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.93151,22.497786,,,,,
310,中广和堂中医院(深圳蛇口店),医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.924872,22.498538,,,,,
311,深圳招美门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.913763,22.478832,,,,,
312,招美医疗,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.913743,22.47883,,,,,
313,深圳刘少龙诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.962029,22.684089,,,,,
314,黎善仁西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,113.983044,22.679577,,,,,
315,水田刘医师诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.960676,22.683856,,,,,
316,中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.970087,22.692561,,,,,
317,深圳石龙仔华仁堂诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.970183,22.695634,,,,,
318,周代波西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.955895,22.686739,,,,,
319,南北康诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.968515,22.696809,,,,,
320,深圳欣启航中医(综合)诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.980619,22.623223,,,,,
321,深圳益康民诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.966995,22.697887,,,,,
322,叶娘星西医外科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.967014,22.697885,,,,,
323,深圳宏福,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.964197,22.69764,,,,,
324,深圳易安中医(综合)诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.966171,22.697991,,,,,
325,徐秀玲诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,113.990727,22.680976,,,,,
326,徐秀玲诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,113.990727,22.680976,,,,,
327,深圳宏福康中医(综合)诊所,医疗保健服务,诊所,诊所,广东省,深圳市,宝安区,113.964247,22.697799,,,,,
328,中宝堂中医馆,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.966141,22.593393,,,,,
329,坐明堂中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.965553,22.593303,,,,,
330,中宝堂中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.965566,22.593253,,,,,
331,深圳市南山区凡顺中西医结合门诊,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.966666,22.583793,,,,,
332,中福堂国医馆(西丽店)(西丽店),医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.96453,22.587785,,,,,
333,深圳德众康诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.968356,22.584659,,,,,
334,深圳大勘友康诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.974929,22.61992,,,,,
335,李培根西医内科诊所(暂停营业),医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.973126,22.56055,,,,,
336,金草中医馆,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.974686,22.561495,,,,,
337,深圳振光中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.972916,22.558602,,,,,
338,深圳龙光门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.97554,22.559555,,,,,
339,深圳市南山区黄晟联合诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.973928,22.559273,,,,,
340,郑申存西医妇科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.963093,22.562786,,,,,
341,泽德堂中医馆,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.979424,22.556506,,,,,
342,许志民西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.962992,22.563269,,,,,
343,述古堂中医馆,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.965903,22.527908,,,,,
344,深圳康睿家诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.96928,22.530629,,,,,
345,登缇斯口腔门诊部(京基百纳广场南山店),医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.969974,22.530716,,,,,
346,友诚齿科(红树街店),医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.969426,22.531842,,,,,
347,仁杏堂谢寒冰中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.969713,22.532115,,,,,
348,和顺堂国医药馆(世纪村店),医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.965005,22.531834,,,,,
349,沙河世纪村中医(综合)诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.964972,22.531874,,,,,
350,深圳尼娜中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.964177,22.534047,,,,,
351,沙河街道心理服务站,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.979679,22.534005,,,,,
352,和顺堂医疗机构投资有限公司世纪村中医(综合)诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.964961,22.531871,,,,,
353,深圳祥和堂全息草药中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.966206,22.535569,,,,,
354,瑞尔深圳欢乐海岸诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.990176,22.526171,,,,,
355,水长杉诊所(珊博士中医),医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.973153,22.538146,,,,,
356,瑞尔齿科(欢乐海岸诊所),医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.989855,22.526035,,,,,
357,瑞尔齿科(欢乐海岸诊所),医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.989855,22.526035,,,,,
358,欢乐海岸南区-医务室,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.991171,22.522289,,,,,
359,新元素国际医疗中心,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.954384,22.531252,,,,,
360,王进胜医疗美容诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.98718,22.53495,,,,,
361,深圳龙脊康诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.953561,22.541138,,,,,
362,深圳芮嘉医疗美容诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.952977,22.541596,,,,,
363,深圳海岸星光医疗美容诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.951582,22.541036,,,,,
364,深圳美高医疗美容诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.958622,22.5437,,,,,
365,颐生堂,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.954878,22.579702,,,,,
366,远志中医综合诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.954867,22.579707,,,,,
367,一和馆中医,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.951763,22.576341,,,,,
368,天元中医西丽医馆,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.95373,22.579205,,,,,
369,深圳新围祥泰诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.952829,22.581507,,,,,
370,深圳爱丽医美(阳光新贵大冲店),医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.953538,22.543019,,,,,
371,福斯曼牙齿隐形矫正(同润齿科店),医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.953543,22.542233,,,,,
372,温济森中医,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.020237,22.746801,,,,,
373,董万安西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.018562,22.745096,,,,,
374,社区健康服务,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.017718,22.743722,,,,,
375,乐怀堂中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.93512,22.502867,,,,,
376,深圳海平中医综合诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.013804,22.728283,,,,,
377,深圳鸿泰门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.011951,22.731215,,,,,
378,深圳华平诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.009488,22.72899,,,,,
379,深圳玉圣堂诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.008716,22.729305,,,,,
380,深圳程可佳中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.008384,22.729468,,,,,
381,深康医疗,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.007952,22.729368,,,,,
382,深圳和众康诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.009112,22.729966,,,,,
383,启辉口腔保健,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.00975,22.730129,,,,,
384,鸿泰牙科,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.012089,22.731259,,,,,
385,深圳诚仁诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.010707,22.680051,,,,,
386,深圳顾绍虎诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.009346,22.685927,,,,,
387,深圳庚招中医(综合)诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.007001,22.677323,,,,,
388,王望海西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.005213,22.678856,,,,,
389,许军门诊,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.006881,22.676664,,,,,
390,深圳瀚阳诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.006302,22.67672,,,,,
391,贺天海西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.002645,22.683941,,,,,
392,深圳康仁诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.002555,22.683923,,,,,
393,龙安医院门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.021819,22.635033,,,,,
394,陆发泉中医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.011866,22.643904,,,,,
395,肖勇西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.025127,22.617012,,,,,
396,深圳祥和堂中医馆(大学城店),医疗保健服务,诊所,诊所,广东省,深圳市,南山区,113.991501,22.591909,,,,,
397,圳杨德诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.014842,22.633305,,,,,
398,德善堂中医馆,医疗保健服务,诊所,诊所,广东省,深圳市,福田区,114.014484,22.564283,,,,,
399,深圳市福田区映山社区健康服务站,医疗保健服务,诊所,诊所,广东省,深圳市,福田区,114.016447,22.563457,,,,,
400,深圳怡和侨香门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,福田区,114.012425,22.551233,,,,,
401,深圳固然美医疗门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,福田区,114.007163,22.550557,,,,,
402,港中旅花园中医馆,医疗保健服务,诊所,诊所,广东省,深圳市,福田区,114.015335,22.548685,,,,,
403,深圳凯乐口腔门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,福田区,114.011757,22.547701,,,,,
404,康睿仕运动康复门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,福田区,114.010721,22.544518,,,,,
405,好视达近视防控中心,医疗保健服务,诊所,诊所,广东省,深圳市,福田区,114.016105,22.545675,,,,,
406,深圳康华门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,福田区,114.010863,22.544681,,,,,
407,特发社区健康服务中心,医疗保健服务,诊所,诊所,广东省,深圳市,福田区,114.03024,22.554058,,,,,
408,深圳固生堂(中医竹子林二店),医疗保健服务,诊所,诊所,广东省,深圳市,福田区,114.006314,22.534479,,,,,
409,宝明堂国医馆,医疗保健服务,诊所,诊所,广东省,深圳市,福田区,114.022608,22.530714,,,,,
410,同有三和,医疗保健服务,诊所,诊所,广东省,深圳市,福田区,114.023617,22.52967,,,,,
411,深圳晟丽医疗美容诊所,医疗保健服务,诊所,诊所,广东省,深圳市,福田区,114.005908,22.533904,,,,,
412,固生堂中医竹子林分院,医疗保健服务,诊所,诊所,广东省,深圳市,福田区,114.007548,22.53501,,,,,
413,固生堂中医门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,福田区,114.00759,22.534994,,,,,
414,固生堂中医,医疗保健服务,诊所,诊所,广东省,深圳市,福田区,114.007586,22.535,,,,,
415,园生堂中医,医疗保健服务,诊所,诊所,广东省,深圳市,福田区,114.006192,22.534472,,,,,
416,深圳葛艳诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.035103,22.75311,,,,,
417,深圳培文诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.056613,22.74445,,,,,
418,深圳惠雅诊所(暂停营业),医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.051866,22.719376,,,,,
419,深圳华燊诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.050668,22.718664,,,,,
420,深圳葆芯诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.048622,22.718679,,,,,
421,深圳康玉诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.056088,22.722365,,,,,
422,老中医,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.055822,22.717419,,,,,
423,御坊堂,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.058123,22.724032,,,,,
424,深圳朝旭中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.04882,22.673974,,,,,
425,深圳同昆诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.047772,22.670993,,,,,
426,仁顺中医堂(大和路),医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.04928,22.693205,,,,,
427,深圳仁馨诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.046587,22.670385,,,,,
428,深圳卫迪诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.047719,22.669638,,,,,
429,富士康社康中心,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.053517,22.652814,,,,,
430,深圳福顺康诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.051939,22.642575,,,,,
431,深圳吴迪诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.051539,22.642614,,,,,
432,深圳俏峰诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.050812,22.64278,,,,,
433,杨全民西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.049659,22.638199,,,,,
434,深圳闫树国诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.046881,22.639753,,,,,
435,深圳发康诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.046899,22.646141,,,,,
436,老中医,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.051229,22.601802,,,,,
437,安康跌打馆,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.051515,22.600384,,,,,
438,资元堂中医诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.051331,22.599126,,,,,
439,深圳康为诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.053888,22.598864,,,,,
440,九味堂中医门诊,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.047018,22.598658,,,,,
441,五味中医馆,医疗保健服务,诊所,诊所,广东省,深圳市,龙岗区,114.064379,22.616261,,,,,
442,铭德堂中医馆,医疗保健服务,诊所,诊所,广东省,深圳市,福田区,114.055299,22.563009,,,,,
443,唐有志西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,福田区,114.051816,22.558557,,,,,
444,深圳台康堂门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,福田区,114.052209,22.565086,,,,,
445,深圳心一康顺天门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,福田区,114.052234,22.565062,,,,,
446,顺源春,医疗保健服务,诊所,诊所,广东省,深圳市,福田区,114.049404,22.566049,,,,,
447,淳道中医,医疗保健服务,诊所,诊所,广东省,深圳市,福田区,114.054064,22.52342,,,,,
448,深圳汤远华诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.089362,22.723268,,,,,
449,深圳喻波西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.089422,22.723384,,,,,
450,深圳昌华口腔诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.087439,22.724323,,,,,
451,深圳雅玲诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.096958,22.718459,,,,,
452,深圳雅玲中医(综合)诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.096941,22.718492,,,,,
453,深圳尔千中医(综合)诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.097593,22.718525,,,,,
454,深圳瑞利医疗美容门诊部,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.078332,22.721835,,,,,
455,陈习清西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.103445,22.715435,,,,,
456,深圳豫民中医综合诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.082609,22.679501,,,,,
457,深圳豫济堂诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.079494,22.683509,,,,,
458,深圳济民诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙岗区,114.097902,22.691319,,,,,
459,深圳固源诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.078354,22.685423,,,,,
460,刘少怀诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙岗区,114.101291,22.691232,,,,,
461,深圳仁通中医(综合)诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙岗区,114.100976,22.691461,,,,,
462,深圳科科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.076988,22.688354,,,,,
463,刘毅辉西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.08751,22.696733,,,,,
464,守成综合门诊,医疗保健服务,诊所,诊所,广东省,深圳市,龙华区,114.088164,22.7011,,,,,
465,深圳叶氏联合诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙岗区,114.096467,22.697737,,,,,
466,深圳志益诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙岗区,114.107505,22.691081,,,,,
467,陈志益西药内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙岗区,114.107362,22.691146,,,,,
468,罗绍志西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙岗区,114.089643,22.640844,,,,,
469,曾祥臣西医内科诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙岗区,114.089634,22.639835,,,,,
470,深圳智民诊所,医疗保健服务,诊所,诊所,广东省,深圳市,龙岗区,114.103795,22.644589,,,,,
