,幸福·月光茶人(好万年店),餐饮服务,冷饮店,冷饮店.1,广东省,深圳市,宝安区,113.784839,22.715557
238,Funtown饭团烘培·咖啡·花,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,龙华区,114.009326,22.639231
239,鹿小丸之屋,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙华区,114.012344,22.644316
240,Cake 4U艺术蛋糕工作室,餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙华区,114.010427,22.644602
241,月夜茶町(奶茶店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,南山区,114.012244,22.598252
242,炼知茶院,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,南山区,114.011737,22.596922
243,咖啡喆学,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,南山区,114.004654,22.59359
244,U.TASTE,餐饮服务,糕饼店,糕饼店,广东省,深圳市,南山区,114.000192,22.591746
245,超级玛丽(宝能环球汇店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,南山区,113.998979,22.590831
246,我是酸奶君(西丽宝能环球汇店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,南山区,113.999752,22.590479
247,深云村综合楼道然茶舍,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,福田区,114.014356,22.564579
248,贵府茶舍,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,福田区,114.014604,22.564667
249,萬火VIN VIE(美您广场店),餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,福田区,114.012489,22.551229
250,满乐棋牌茶艺馆(香蜜湖店),餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,福田区,114.010993,22.551048
251,太平洋咖啡(侨香村店),餐饮服务,咖啡厅,Pacific Coffee Company,广东省,深圳市,福田区,114.014058,22.551182
252,明谦咖啡,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,福田区,114.012579,22.551218
253,YITEA溢茶(香蜜公园体育中心店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,福田区,114.019378,22.551634
254,Micoffee蜜咖啡,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,福田区,114.019272,22.551667
255,香蜜茶舍,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,福田区,114.019564,22.550767
256,静茶道,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,福田区,114.030068,22.552061
257,C-ANGELL COFFEE,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,福田区,114.010031,22.547206
258,Uglycakes&Neighborhood Cafe,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,福田区,114.011787,22.547513
259,喜释手工吐司专家(印力店),餐饮服务,甜品店,甜品店,广东省,深圳市,福田区,114.011673,22.544369
260,茶米茶(印力中心店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,福田区,114.011447,22.544555
261,嘎咪烘焙DIY工作室,餐饮服务,甜品店,甜品店,广东省,深圳市,福田区,114.005516,22.544275
262,Bakerz180烘焙达人(竹子林店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,福田区,114.013892,22.53303
263,三少椰·椰子甜品专家,餐饮服务,甜品店,甜品店,广东省,深圳市,福田区,114.024355,22.524774
264,日日鲜面包屋,餐饮服务,糕饼店,糕饼店,广东省,深圳市,福田区,114.024857,22.524589
265,鲜炖燕窝·饮品甜品,餐饮服务,甜品店,甜品店,广东省,深圳市,福田区,114.024521,22.52737
266,轩逸茶社,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,福田区,114.010944,22.534808
267,大块头柠檬茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,福田区,114.025275,22.526034
268,茶芝心,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,龙华区,114.034407,22.754197
269,御蝶坊生日蛋糕(新澜店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙华区,114.054329,22.71781
270,乐酷,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙华区,114.055229,22.718066
271,观澜强力凉茶店,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙华区,114.055388,22.720522
272,包道广式点心专门店(观澜店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙华区,114.055468,22.719298
273,盐家铺·盐焗鸡·奶茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙华区,114.055199,22.718969
274,匠心烘焙(幸福缘蛋糕店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙华区,114.055907,22.718846
275,葡茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙华区,114.046067,22.723092
276,地铁站(龙华新区升华二街店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙华区,114.055355,22.71888
277,面包の茶,餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙华区,114.051489,22.641735
278,爽翻天奶茶汉堡,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙华区,114.052757,22.641507
279,心语西饼面包,餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙华区,114.049767,22.638984
280,冰临城夏纯手工冰粉,餐饮服务,甜品店,甜品店,广东省,深圳市,龙华区,114.051567,22.641823
281,天缘茶艺馆,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,龙华区,114.051494,22.64181
282,佳田生日蛋糕(东环天虹店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙华区,114.048226,22.641005
283,tea奶茶店,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙华区,114.04755,22.641178
284,台盖(COCO City店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙华区,114.047403,22.601085
285,烘焙小店,餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙华区,114.050063,22.600151
286,爽爽甜品(民乐店),餐饮服务,甜品店,甜品店,广东省,深圳市,龙华区,114.051968,22.599724
287,面包新语(民乐店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙华区,114.046804,22.603019
288,一慈茶馆(雨田馆),餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,福田区,114.054894,22.560595
289,813芭依珊 BAESAn(梅林中心店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,福田区,114.052736,22.563046
290,颐茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,福田区,114.053117,22.563081
291,聚贤茶楼,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,福田区,114.054011,22.560825
292,喜上茶梢(梅林生活中心),餐饮服务,冷饮店,冷饮店,广东省,深圳市,福田区,114.053008,22.563549
293,桃梨花香梅林店,餐饮服务,冷饮店,冷饮店,广东省,深圳市,福田区,114.053578,22.56356
294,1点点(梅华路店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,福田区,114.055159,22.564353
295,royaltea皇茶(梅林生活中心店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,福田区,114.053545,22.563198
296,邓老凉茶(梅华店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,福田区,114.05413,22.564711
297,华富面包奶茶,餐饮服务,糕饼店,糕饼店,广东省,深圳市,福田区,114.051633,22.521553
298,茗菀茶馆,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,福田区,114.051744,22.521594
299,沪上阿姨(石厦店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,福田区,114.051111,22.521406
300,鼎羽轩茶艺馆,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,福田区,114.05205,22.522482
301,星巴克咖啡(新港广场店),餐饮服务,咖啡厅,星巴克咖啡,广东省,深圳市,福田区,114.053447,22.520895
302,宅小野(石厦店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,福田区,114.052361,22.520668
303,Imwe应味咖啡馆,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,福田区,114.051065,22.519828
304,爽洋洋,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙华区,114.090767,22.726259
305,卡罗玛(君子布店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙华区,114.098513,22.717128
306,季茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙华区,114.081196,22.679941
307,朵拉の茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙华区,114.088599,22.691871
308,玫瑰园(樟径店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙华区,114.07765,22.685534
309,百合园蛋糕西饼,餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙华区,114.087275,22.700635
310,绿岛奶茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.089226,22.640546
311,大口九,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.08916,22.640441
312,蛋糕乐园(坂田旗舰店),餐饮服务,甜品店,甜品店,广东省,深圳市,龙岗区,114.084908,22.639989
313,知源·KnowingCafe(文博店),餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,龙岗区,114.102062,22.603618
314,汤姆叔叔乐焙屋,餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙岗区,114.102911,22.604197
315,蓝枫茶记,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,龙岗区,114.103771,22.605679
316,茶杯茶语小杯茶,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,龙岗区,114.102355,22.603605
317,唛诺烘培(新村店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙岗区,114.1071,22.6136
318,静思书轩,餐饮服务,休闲餐饮场所,休闲餐饮场所,广东省,深圳市,福田区,114.095076,22.559207
319,MayMaycake美日微甜(八卦岭店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,福田区,114.095985,22.560015
320,糖阁烘焙工作室,餐饮服务,甜品店,甜品店,广东省,深圳市,福田区,114.096184,22.560427
321,集福咖啡,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,福田区,114.096372,22.561467
322,Luckin coffee瑞幸咖啡(鹏基商务时空大厦店),餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,福田区,114.095269,22.560773
323,启达西饼生日蛋糕(泥岗店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,罗湖区,114.096168,22.567628
324,奇佐咕菓子店,餐饮服务,糕饼店,糕饼店,广东省,深圳市,福田区,114.096271,22.560545
325,倾国倾城换装主题下午茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,福田区,114.097079,22.562099
326,天台时光,餐饮服务,甜品店,甜品店,广东省,深圳市,福田区,114.096512,22.560539
327,royaltea皇茶(八卦岭店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,福田区,114.096538,22.561675
328,忆期甜豆(赤尾总店),餐饮服务,甜品店,甜品店,广东省,深圳市,福田区,114.083624,22.528791
329,聚友轩,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,福田区,114.083876,22.530149
330,张记特色牛奶甜品店,餐饮服务,甜品店,甜品店,广东省,深圳市,福田区,114.079463,22.532562
331,铭香茶艺馆,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,福田区,114.084669,22.532689
332,星巴克(熙璟城店),餐饮服务,咖啡厅,星巴克咖啡,广东省,深圳市,龙岗区,114.136638,22.682725
333,9号咖啡(李朗店),餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,龙岗区,114.128309,22.644562
334,爱心饼家,餐饮服务,甜品店,甜品店,广东省,深圳市,龙岗区,114.135223,22.638227
335,饮尚茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.1287,22.644353
336,正宗化州糖水(深朗店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.127012,22.645055
337,觅思邦,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.129885,22.601743
338,金一田茶艺馆,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,龙岗区,114.136941,22.598426
339,雀圣冰室(可园店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.135122,22.601555
340,36CAKE生日蛋糕(布吉店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙岗区,114.135078,22.602659
341,仟禧茶舍,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,龙岗区,114.126853,22.604485
342,鸿运茶艺馆(翠竹店),餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,罗湖区,114.13026,22.561859
343,星巴克(翠竹路店),餐饮服务,咖啡厅,星巴克咖啡,广东省,深圳市,罗湖区,114.130135,22.560457
344,面包陪你,餐饮服务,糕饼店,糕饼店,广东省,深圳市,罗湖区,114.129428,22.560795
345,CoCo都可茶饮(翠竹翡翠星空店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,罗湖区,114.130341,22.561199
346,608 station cafe,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,罗湖区,114.130388,22.562003
347,福诺坊蛋糕艺术品,餐饮服务,糕饼店,糕饼店,广东省,深圳市,罗湖区,114.129531,22.56365
348,608驿站咖啡厅,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,罗湖区,114.130457,22.562053
349,喜茶(深圳翠竹华润万家GO店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,罗湖区,114.129477,22.560123
350,可颂坊(翠竹店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,罗湖区,114.130361,22.557568
351,地铁站(翠都饮品店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,罗湖区,114.129917,22.557347
352,本零烧仙草,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.170327,22.64249
353,瀚青茶舍,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,龙岗区,114.170241,22.642563
354,鹅外懂你,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.175933,22.638966
355,理由茶系,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.175839,22.638967
356,雨驿茶舍,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,龙岗区,114.177814,22.642754
357,哥比伦蛋糕(深坑店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙岗区,114.174625,22.636244
358,布列农(深圳)茶饮咖啡服务4S店,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.162976,22.645659
359,ZIMMA COFFEE吉玛咖啡,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,龙岗区,114.179395,22.635067
360,幸福西饼(大望店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,罗湖区,114.172242,22.603556
361,地铁站,餐饮服务,冷饮店,冷饮店,广东省,深圳市,罗湖区,114.175494,22.601546
362,听说咖啡馆(大望店),餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,罗湖区,114.173881,22.605237
363,奈雪的茶(莲塘盒马mall店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,罗湖区,114.172005,22.561524
364,美味缘蛋糕店,餐饮服务,糕饼店,糕饼店,广东省,深圳市,罗湖区,114.170262,22.561436
365,爽爽甜品(莲塘店),餐饮服务,甜品店,甜品店,广东省,深圳市,罗湖区,114.172878,22.561504
366,家家知蛋糕连锁店(莲塘店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,罗湖区,114.172337,22.561157
367,CoCo都可茶饮(莲塘华润万家店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,罗湖区,114.16919,22.563156
368,星巴克(莲塘聚宝路店),餐饮服务,咖啡厅,星巴克咖啡,广东省,深圳市,罗湖区,114.169191,22.56334
369,1点点(莲塘国威路店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,罗湖区,114.170003,22.564216
370,太清甜品(聚宝店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,罗湖区,114.171117,22.563884
371,茶立方主题茶艺(莲塘店),餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,罗湖区,114.170616,22.563721
372,安琪饼屋(莲塘店),餐饮服务,甜品店,甜品店,广东省,深圳市,罗湖区,114.17139,22.562875
373,方包王聚福香面包店,餐饮服务,糕饼店,糕饼店,广东省,深圳市,罗湖区,114.171389,22.563622
374,合德记,餐饮服务,甜品店,甜品店,广东省,深圳市,罗湖区,114.172187,22.56382
375,茶槑槑奶茶店,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.218778,22.750573
376,亲亲熊猫,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.231175,22.748991
377,ooffee,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,龙岗区,114.213214,22.719708
378,Hi乐茶生活(天安店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.212922,22.71961
379,太平洋咖啡(龙岗天安数码店),餐饮服务,咖啡厅,Pacific Coffee Company,广东省,深圳市,龙岗区,114.21727,22.72158
380,隐萃堂,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,龙岗区,114.21713,22.721924
381,会饮咖啡(龙岗店),餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,龙岗区,114.210915,22.686996
382,星巴克(香港中文大学店),餐饮服务,咖啡厅,星巴克咖啡,广东省,深圳市,龙岗区,114.213527,22.687805
383,漫时光休闲音乐茶馆,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,龙岗区,114.222431,22.684295
384,一段YI DUAN COFFEE,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,龙岗区,114.222512,22.683575
385,Tianbaoyi,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,龙岗区,114.2227,22.687357
386,新茶屋,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,龙岗区,114.223543,22.682387
387,Mr Bean 憨豆先生五谷坚果奶茶(颐安店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.222473,22.683605
388,壹椰皇,餐饮服务,甜品店,甜品店,广东省,深圳市,龙岗区,114.22297,22.682411
389,Hi·Tea,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,龙岗区,114.210925,22.641542
390,缘你来奶茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.210779,22.641925
391,金麦香嘉美蛋糕店,餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙岗区,114.211171,22.644859
392,哥比伦蛋糕(松柏店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙岗区,114.2105,22.645431
393,徐其修凉茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.21085,22.646413
394,吾木花园咖啡馆,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,罗湖区,114.197695,22.593626
395,未央咖啡馆,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,罗湖区,114.192951,22.589659
396,本真书吧,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,罗湖区,114.193152,22.590871
397,赖着不走咖啡馆,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,罗湖区,114.194325,22.590717
398,德品轩,餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙岗区,114.222677,22.612745
399,深圳市山海桐塔罗茶馆,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,罗湖区,114.193348,22.588784
400,深圳宏协自行车咖啡(盐田分店),餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,盐田区,114.220669,22.552938
401,YS coffee,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,罗湖区,114.195733,22.554074
402,半路咖啡馆,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,盐田区,114.22803,22.553638
403,懒人堂,餐饮服务,休闲餐饮场所,休闲餐饮场所,广东省,深圳市,龙岗区,114.244372,22.754249
404,耐思阳光原叶(龙岗龙西店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.248654,22.74594
405,橙记糖水,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.249538,22.746406
406,非凡时代瓦窑总店,餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙岗区,114.241506,22.753223
407,星巴克(宝能Allcity店),餐饮服务,咖啡厅,星巴克咖啡,广东省,深圳市,龙岗区,114.248187,22.724681
408,布莱德蛋糕(龙河路店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙岗区,114.255546,22.718124
409,猫咪森林猫咖(龙岗店),餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,龙岗区,114.251455,22.719156
410,Yo Tea有茶(龙岗宝能店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.248253,22.724512
411,喜茶(深圳龙岗宝能店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.248279,22.724152
412,徐其修凉茶(乐购店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.254053,22.718814
413,喜茶(深圳龙城万科里店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.251029,22.71686
414,隐墨星茶馆,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,龙岗区,114.25122,22.72797
415,K TEA,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.251275,22.686008
416,尚品奶茶店,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.250229,22.686748
417,御园轩蛋糕(嶂背店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙岗区,114.247602,22.686276
418,吕益禾(嶂背店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.251889,22.687561
419,拾壹烘焙坊,餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙岗区,114.248474,22.687007
420,Miss语法式甜品,餐饮服务,甜品店,甜品店,广东省,深圳市,龙岗区,114.260493,22.682596
421,爽歪歪甜品化州糖水,餐饮服务,甜品店,甜品店,广东省,深圳市,龙岗区,114.252166,22.687671
422,麦乐轩(大康店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙岗区,114.242124,22.648472
423,呦呦吧汉堡奶茶(乐知福店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.232565,22.644354
424,蜜路雪,餐饮服务,冷饮店,冷饮店,广东省,深圳市,盐田区,114.254591,22.592503
425,太平洋咖啡(深圳周大福店),餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,盐田区,114.249088,22.564068
426,汇茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,盐田区,114.246064,22.561559
427,MIMO CAFE,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,盐田区,114.243815,22.556639
428,茶果坊,餐饮服务,冷饮店,冷饮店,广东省,深圳市,盐田区,114.244229,22.557582
429,YASO沙拉(盐田店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,盐田区,114.243873,22.557895
430,星巴克(盐田壹海城分店),餐饮服务,咖啡厅,星巴克咖啡,广东省,深圳市,盐田区,114.239608,22.55396
431,听海茶楼,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,盐田区,114.235051,22.551162
432,馥雅茶舍,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,盐田区,114.239232,22.554571
433,天润奶汇(盐田店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,盐田区,114.239372,22.554228
434,十粤饮品,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.295321,22.785788
435,梦之朱雀,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.295077,22.785842
436,茶夫人,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.293907,22.757851
437,FUNTEA范茶,餐饮服务,休闲餐饮场所,休闲餐饮场所,广东省,深圳市,龙岗区,114.303459,22.76986
438,七钟茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.28079,22.76075
439,遇见·味道(吉祥路店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙岗区,114.301606,22.773906
440,徐其修凉茶(源盛路店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.290836,22.721694
441,耐思阳光原叶(龙东店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.290678,22.719944
442,爽爽甜品(化州店),餐饮服务,甜品店,甜品店,广东省,深圳市,龙岗区,114.290699,22.719858
443,庄茶(龙东店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.290683,22.723454
444,友琪西饼(龙湖店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙岗区,114.291276,22.718238
445,储缘蛋糕(龙岗店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙岗区,114.288627,22.721106
446,艾佳咖啡,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,龙岗区,114.298061,22.686573
447,娱季茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.287164,22.689724
448,天窖茶馆,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,盐田区,114.274226,22.636852
449,茵特拉根咖啡厅,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,盐田区,114.275668,22.631335
450,茶涌坊,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,盐田区,114.274073,22.63708
451,茶溪别院,餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,盐田区,114.2739,22.637522
452,品茶阁(茵特拉根别墅北),餐饮服务,茶艺馆,茶艺馆,广东省,深圳市,盐田区,114.274057,22.634418
453,敏敏饮品,餐饮服务,冷饮店,冷饮店,广东省,深圳市,盐田区,114.303204,22.598765
454,星巴克(华侨城大峡谷店),餐饮服务,咖啡厅,星巴克咖啡,广东省,深圳市,盐田区,114.304114,22.608856
455,堡瑞得好面包(盐田店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,盐田区,114.27598,22.586702
456,KK新语,餐饮服务,冷饮店,冷饮店,广东省,深圳市,盐田区,114.308429,22.59545
457,MYcoffee,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,盐田区,114.306595,22.595054
458,鲜果子烘焙,餐饮服务,糕饼店,糕饼店,广东省,深圳市,盐田区,114.309931,22.600471
459,不要对我尖叫,餐饮服务,冷饮店,冷饮店,广东省,深圳市,盐田区,114.3043,22.592683
460,星巴克(大梅沙奥特莱斯店),餐饮服务,咖啡厅,星巴克咖啡,广东省,深圳市,盐田区,114.308749,22.599
461,汉堡王甜品屋,餐饮服务,甜品店,甜品店,广东省,深圳市,盐田区,114.308957,22.599773
462,绿之恋奶茶炸鸡汉堡,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.33571,22.784126
463,田田居(坪地二店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙岗区,114.326445,22.786586
464,运来面包店,餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙岗区,114.326445,22.786154
465,优美思蛋糕店(年丰店),餐饮服务,糕饼店,糕饼店,广东省,深圳市,龙岗区,114.331077,22.765792
466,香村奶茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.3307,22.763841
467,8090奶茶酷饮(年丰吉之堡店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.330789,22.765782
468,红蚂蚁茶饮店(年丰分店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.330794,22.765264
469,九大口,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.323194,22.722534
470,多麦烘培,餐饮服务,糕饼店,糕饼店,广东省,深圳市,坪山区,114.345128,22.708976
471,豆舞精品咖啡(坪山店),餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,坪山区,114.345531,22.70944
472,菡嘻,餐饮服务,冷饮店,冷饮店,广东省,深圳市,龙岗区,114.313291,22.719515
473,花芝烧仙草(龙光玖云著店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,坪山区,114.330497,22.680232
474,利源咖啡店,餐饮服务,咖啡厅,咖啡厅,广东省,深圳市,坪山区,114.329074,22.681785
475,寻愿の茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,坪山区,114.330664,22.679662
476,夏玥益禾堂(坪山店),餐饮服务,冷饮店,冷饮店,广东省,深圳市,坪山区,114.331456,22.679827
477,吾作星茶,餐饮服务,冷饮店,冷饮店,广东省,深圳市,坪山区,114.329093,22.681741
