,红树林博览园,科教文化服务,展览馆,展览馆.1,广东省,深圳市,宝安区,113.767362,22.726294
254,祎祥画苑,科教文化服务,博物馆,博物馆,广东省,深圳市,龙岗区,114.13709,22.609209
255,金圆艺术(深圳金媛油画艺术品设计有限公司),科教文化服务,博物馆,博物馆,广东省,深圳市,龙岗区,114.136266,22.608734
256,思然艺术空间,科教文化服务,美术馆,美术馆,广东省,深圳市,龙岗区,114.136597,22.608546
257,罗湖会堂,科教文化服务,会展中心,会展中心,广东省,深圳市,罗湖区,114.131787,22.547438
258,深圳美术馆,科教文化服务,美术馆,美术馆,广东省,深圳市,罗湖区,114.147264,22.571062
259,罗湖区文化馆(东晓路),科教文化服务,文化宫,文化宫,广东省,深圳市,罗湖区,114.137302,22.576593
260,自助图书馆(121金丽珠宝中心服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,罗湖区,114.12773,22.565491
261,中正造像艺术馆,科教文化服务,展览馆,展览馆,广东省,深圳市,龙岗区,114.178966,22.635284
262,自助图书馆(090横岗振业城服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,龙岗区,114.180049,22.635151
263,德真书画艺术馆,科教文化服务,美术馆,美术馆,广东省,深圳市,罗湖区,114.179567,22.600833
264,深圳古生物博物馆(暂停营业),科教文化服务,博物馆,博物馆,广东省,深圳市,罗湖区,114.177615,22.58445
265,深圳金石艺术博物馆(暂停营业),科教文化服务,博物馆,博物馆,广东省,深圳市,罗湖区,114.181823,22.597562
266,梧桐山博雅馆,科教文化服务,展览馆,展览馆,广东省,深圳市,罗湖区,114.19044,22.590152
267,自助图书馆(174金色年华家园服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,罗湖区,114.171702,22.562036
268,悠·图书馆(鹏兴社区),科教文化服务,图书馆,图书馆,广东省,深圳市,罗湖区,114.169287,22.557675
269,明德阁图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,龙岗区,114.229861,22.746114
270,自助图书馆(070龙城街道清林径服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,龙岗区,114.23003,22.748949
271,深圳中医药博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,龙岗区,114.21474,22.708259
272,自助图书馆(091龙岗天安数码新城服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,龙岗区,114.217228,22.719757
273,自助图书馆(122龙城新秀新村服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,龙岗区,114.218762,22.723909
274,骄阳文化中心,科教文化服务,文化宫,文化宫,广东省,深圳市,龙岗区,114.218762,22.728937
275,客都荟·文化馆,科教文化服务,文化宫,文化宫,广东省,深圳市,龙岗区,114.22162,22.726827
276,城市街区24小时自助图书馆(龙城新秀新村服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,龙岗区,114.219387,22.72354
277,中国(深圳)国际药展中心,科教文化服务,会展中心,会展中心,广东省,深圳市,龙岗区,114.22362,22.670701
278,信息学院-图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,龙岗区,114.214401,22.684787
279,逸夫国际会议中心,科教文化服务,会展中心,会展中心,广东省,深圳市,龙岗区,114.215071,22.691273
280,深圳市祺祥文化传播有限公司,科教文化服务,博物馆,博物馆,广东省,深圳市,龙岗区,114.229784,22.68324
281,昕辉阳文化中心,科教文化服务,文化宫,文化宫,广东省,深圳市,龙岗区,114.218841,22.667257
282,横岗社区图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,龙岗区,114.205836,22.64293
283,名人堂·南粤名人美术馆,科教文化服务,美术馆,美术馆,广东省,深圳市,罗湖区,114.194486,22.59071
284,龙岗图书馆(园山街道分馆),科教文化服务,图书馆,图书馆,广东省,深圳市,龙岗区,114.223654,22.619903
285,静山花海艺术馆,科教文化服务,美术馆,美术馆,广东省,深圳市,罗湖区,114.193825,22.590988
286,大可美术馆,科教文化服务,美术馆,美术馆,广东省,深圳市,罗湖区,114.192683,22.590717
287,自助图书馆(032沙头角社区服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,盐田区,114.22126,22.555959
288,自助图书馆(179沙头角边检服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,盐田区,114.225038,22.551436
289,深圳沙头角鱼灯舞民俗博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,盐田区,114.230879,22.54264
290,特林兵博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,龙岗区,114.196496,22.63989
291,横岗街道文化站活动中心,科教文化服务,文化宫,文化宫,广东省,深圳市,龙岗区,114.194074,22.643597
292,贤达会展中心,科教文化服务,会展中心,会展中心,广东省,深圳市,龙岗区,114.208506,22.657958
293,悦之家学,科教文化服务,博物馆,博物馆,广东省,深圳市,龙岗区,114.243593,22.74674
294,龙岗清林径自助图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,龙岗区,114.232578,22.747183
295,龙岗书城,科教文化服务,图书馆,图书馆,广东省,深圳市,龙岗区,114.250489,22.720013
296,深圳龙岗图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,龙岗区,114.250967,22.719143
297,龙岗区文化馆,科教文化服务,文化宫,文化宫,广东省,深圳市,龙岗区,114.250383,22.720033
298,深圳市龙岗区文化馆A区,科教文化服务,文化宫,文化宫,广东省,深圳市,龙岗区,114.250059,22.720598
299,龙岗区科技馆,科教文化服务,科技馆,科技馆,广东省,深圳市,龙岗区,114.24769,22.717686
300,深圳市龙岗区文化馆B区,科教文化服务,文化宫,文化宫,广东省,深圳市,龙岗区,114.249962,22.720268
301,青莲书院,科教文化服务,博物馆,博物馆,广东省,深圳市,龙岗区,114.256276,22.7253
302,深圳市龙岗区文化馆C区,科教文化服务,文化宫,文化宫,广东省,深圳市,龙岗区,114.250361,22.719502
303,龙岗文博展览馆,科教文化服务,展览馆,展览馆,广东省,深圳市,龙岗区,114.250711,22.718976
304,深圳市龙岗区文化馆D区,科教文化服务,文化宫,文化宫,广东省,深圳市,龙岗区,114.250649,22.718976
305,深圳市天禧婴幼文化传播有限公司,科教文化服务,博物馆,博物馆,广东省,深圳市,龙岗区,114.250019,22.689412
306,自助图书馆(033永安社区服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,盐田区,114.246689,22.59318
307,盐田区文化馆明珠社区服务点,科教文化服务,文化宫,文化宫,广东省,深圳市,盐田区,114.250391,22.588004
308,自助图书馆(026南方明珠花园服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,盐田区,114.259838,22.588051
309,盐田区图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,盐田区,114.236798,22.555639
310,自助图书馆(116盐田港集团服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,盐田区,114.253777,22.569035
311,盐田区文化馆田东社区服务点,科教文化服务,文化宫,文化宫,广东省,深圳市,盐田区,114.24129,22.561777
312,灯塔图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,盐田区,114.241696,22.552194
313,盐田区文化艺术中心,科教文化服务,文化宫,文化宫,广东省,深圳市,盐田区,114.237667,22.556521
314,童心飞扬青少年宫(海山路),科教文化服务,文化宫,文化宫,广东省,深圳市,盐田区,114.239357,22.557128
315,深圳市盐田区图书馆沙头角分馆,科教文化服务,图书馆,图书馆,广东省,深圳市,盐田区,114.23242,22.55106
316,盐田港16+1国家馆,科教文化服务,展览馆,展览馆,广东省,深圳市,盐田区,114.26158,22.580606
317,龙岗区图书馆坪地分馆,科教文化服务,图书馆,图书馆,广东省,深圳市,龙岗区,114.30202,22.762668
318,龙岗会堂,科教文化服务,会展中心,会展中心,广东省,深圳市,龙岗区,114.272754,22.718885
319,大田木作博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,龙岗区,114.288922,22.714144
320,宝龙街道同乐片区文体中心,科教文化服务,文化宫,文化宫,广东省,深圳市,龙岗区,114.28808,22.720958
321,龙岗街道同乐片区文体中心,科教文化服务,文化宫,文化宫,广东省,深圳市,龙岗区,114.288268,22.721243
322,南约图书馆(植物园路),科教文化服务,图书馆,图书馆,广东省,深圳市,龙岗区,114.277757,22.694457
323,深圳市东杰文化传播有限公司,科教文化服务,博物馆,博物馆,广东省,深圳市,龙岗区,114.300793,22.700119
324,龙岗图书馆(南约自助分馆),科教文化服务,图书馆,图书馆,广东省,深圳市,龙岗区,114.277776,22.694444
325,深圳茵特拉根华侨城酒店会议厅,科教文化服务,会展中心,会展中心,广东省,深圳市,盐田区,114.277683,22.631753
326,云上美术馆,科教文化服务,美术馆,美术馆,广东省,深圳市,盐田区,114.274268,22.636799
327,自助图书馆(055坪山新区碧岭小学服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,坪山区,114.288515,22.66434
328,万科国际会议中心,科教文化服务,会展中心,会展中心,广东省,深圳市,盐田区,114.304653,22.597904
329,大梅沙美术馆,科教文化服务,美术馆,美术馆,广东省,深圳市,盐田区,114.306352,22.595529
330,梅沙街道文化活动中心(装修中),科教文化服务,文化宫,文化宫,广东省,深圳市,盐田区,114.311078,22.600038
331,梅莎迷宫蜡像馆,科教文化服务,展览馆,展览馆,广东省,深圳市,盐田区,114.305655,22.592086
332,深圳市盐田区文化馆梅沙街道分馆,科教文化服务,文化宫,文化宫,广东省,深圳市,盐田区,114.311179,22.600119
333,深圳市盐田港澳流动渔民协会,科教文化服务,会展中心,会展中心,广东省,深圳市,盐田区,114.277166,22.584707
334,自助图书馆(037盐田街道盐田社区服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,盐田区,114.274737,22.585315
335,龙岗执法队大院图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,龙岗区,114.271744,22.713059
336,龙岗图书馆龙岗街道分馆,科教文化服务,科技馆,科技馆,广东省,深圳市,龙岗区,114.271795,22.713171
337,龙岗八仙岭文化中心,科教文化服务,文化宫,文化宫,广东省,深圳市,龙岗区,114.2717,22.712999
338,东江潮红色文化博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,龙岗区,114.277596,22.740622
339,坪地街道六联社区生育文化中心,科教文化服务,文化宫,文化宫,广东省,深圳市,龙岗区,114.325396,22.783067
340,龙岗图书馆(坪东分馆),科教文化服务,图书馆,图书馆,广东省,深圳市,龙岗区,114.314053,22.766863
341,坪山实验学校汉字博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,坪山区,114.346437,22.704089
342,坪山区美术馆,科教文化服务,美术馆,美术馆,广东省,深圳市,坪山区,114.346611,22.70679
343,龙岗图书馆同心社区分馆,科教文化服务,图书馆,图书馆,广东省,深圳市,龙岗区,114.313871,22.713539
344,坪山实验学校日新科技博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,坪山区,114.346464,22.704123
345,深圳市坪山区图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,坪山区,114.346229,22.708333
346,坪山美术馆(公园馆),科教文化服务,美术馆,美术馆,广东省,深圳市,坪山区,114.348541,22.708992
347,坪山实验学校美术馆,科教文化服务,美术馆,美术馆,广东省,深圳市,坪山区,114.346433,22.704007
348,坪山城市书房,科教文化服务,图书馆,图书馆,广东省,深圳市,坪山区,114.333964,22.681379
349,自助图书馆(126坪山创新广场服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,坪山区,114.33351,22.681199
350,坪山城市书房大万明新学馆,科教文化服务,图书馆,图书馆,广东省,深圳市,坪山区,114.342904,22.681216
351,坪环牛角龙村文化活动中心,科教文化服务,文化宫,文化宫,广东省,深圳市,坪山区,114.334991,22.678911
352,黄沙坑居民小组图书室,科教文化服务,图书馆,图书馆,广东省,深圳市,坪山区,114.339348,22.675041
353,深圳小梅沙海洋世界-航模馆,科教文化服务,科技馆,科技馆,广东省,深圳市,盐田区,114.329047,22.60325
354,自助图书馆(114小梅沙社区文化广场服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,盐田区,114.326371,22.603854
355,坪山办事处图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,坪山区,114.345779,22.691718
356,坪山街道图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,坪山区,114.345776,22.691666
357,沙湖社区图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,坪山区,114.321573,22.673973
358,坪山区24小时图书馆中心小学服务点,科教文化服务,图书馆,图书馆,广东省,深圳市,坪山区,114.344146,22.686724
359,自助图书馆(211坪山坪环社区),科教文化服务,图书馆,图书馆,广东省,深圳市,坪山区,114.347516,22.681268
360,盘子美人艺术馆,科教文化服务,美术馆,美术馆,广东省,深圳市,坪山区,114.350478,22.68565
361,珺·空间,科教文化服务,美术馆,美术馆,广东省,深圳市,坪山区,114.36657,22.752637
362,龙田村图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,坪山区,114.365109,22.751139
363,和畅园博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,坪山区,114.374683,22.731408
364,自助图书馆(198坑梓中心小学服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,坪山区,114.369083,22.734547
365,自助图书馆(050坑梓影剧院服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,坪山区,114.374777,22.736505
366,坪山燕子湖国际会展中心,科教文化服务,会展中心,会展中心,广东省,深圳市,坪山区,114.371102,22.691505
367,自助图书馆(054坪山比亚迪工业园),科教文化服务,图书馆,图书馆,广东省,深圳市,坪山区,114.364586,22.678375
368,三洋湖居民小组图书室,科教文化服务,图书馆,图书馆,广东省,深圳市,坪山区,114.353758,22.688462
369,沙田社区图书馆,科教文化服务,图书馆,图书馆,广东省,深圳市,坪山区,114.401673,22.757572
370,葵涌文体中心,科教文化服务,文化宫,文化宫,广东省,深圳市,龙岗区,114.422494,22.630422
371,坪山城市书房·金龟自然书房,科教文化服务,图书馆,图书馆,广东省,深圳市,坪山区,114.399982,22.657028
372,下沙社区青少年活动中心,科教文化服务,文化宫,文化宫,广东省,深圳市,龙岗区,114.480459,22.597002
373,深圳昆虫科技馆,科教文化服务,科技馆,科技馆,广东省,深圳市,龙岗区,114.500075,22.602428
374,大鹏新区青少年宫,科教文化服务,文化宫,文化宫,广东省,深圳市,龙岗区,114.475565,22.599246
375,鹏城青少年活动营地,科教文化服务,文化宫,文化宫,广东省,深圳市,龙岗区,114.50678,22.590821
376,大鹏办事处文体服务中心,科教文化服务,文化宫,文化宫,广东省,深圳市,龙岗区,114.474959,22.599541
377,自助图书馆(201大鹏文体中心服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,龙岗区,114.476101,22.595693
378,深圳市大鹏新区禁毒教育展览馆,科教文化服务,展览馆,展览馆,广东省,深圳市,龙岗区,114.47553,22.59289
379,瓷爱谷创意园,科教文化服务,展览馆,展览馆,广东省,深圳市,龙岗区,114.49093,22.574073
380,南澳鑫海度假村二号会议室,科教文化服务,会展中心,会展中心,广东省,深圳市,龙岗区,114.482811,22.546583
381,大鹏新区文化馆南澳办事处分馆,科教文化服务,文化宫,文化宫,广东省,深圳市,龙岗区,114.49344,22.533918
382,自助图书馆(199南澳文体中心服务点),科教文化服务,图书馆,图书馆,广东省,深圳市,龙岗区,114.493307,22.533804
383,深圳市大鹏古城博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,龙岗区,114.513021,22.595334
384,鹏城公馆,科教文化服务,博物馆,博物馆,广东省,深圳市,龙岗区,114.511993,22.594007
385,深圳大鹏半岛国家地质公园博物馆,科教文化服务,博物馆,博物馆,广东省,深圳市,龙岗区,114.531016,22.528997
386,深圳第一花遗址陈列馆,科教文化服务,展览馆,展览馆,广东省,深圳市,龙岗区,114.526206,22.506539
