,铭阳启慧国际教育中心,科教文化服务,培训机构,培训机构.1,广东省,深圳市,宝安区,113.775689,22.732589
252,多多熊艺术家园(泰华阳光海教学中心),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.857637,22.573121
253,添华教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.861292,22.571285
254,翔宇棋艺艺术中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.856545,22.574012
255,幑微文化艺术,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.866939,22.562533
256,哆哆艺术中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.856221,22.577055
257,广电小记者(西乡校区),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.865294,22.562681
258,SK英国皇家少儿英语(西乡碧海富通城分校),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.859348,22.568986
259,玉之音琴行,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.85938,22.574779
260,思越文化,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.863239,22.568623
261,蜂窝教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.866066,22.56769
262,青柠檬画室,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.859428,22.574843
263,超脑科技(宝安店),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.8675,22.562213
264,前海创客教育学院公明分院,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.891395,22.801217
265,学之舟教育,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.890268,22.801561
266,深圳市汇名文化艺术培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.891363,22.801259
267,巨蛋创想艺术中心(李松朗校区),科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.890306,22.801634
268,春阳中小学托管文化辅导中心,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.890341,22.801695
269,优博文化艺术教育,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.894101,22.802971
270,优童艺术,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.888128,22.799186
271,启蒙培训,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.885638,22.799477
272,儿童轮滑成长中心,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.893154,22.765356
273,艺树音乐教育,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.892314,22.765385
274,德诚教育,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.894836,22.763034
275,静到书法(锦鸿花园店),科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.892603,22.765439
276,六艺琴行(第六校区),科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.892744,22.765443
277,爱绘风美术教育,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.897826,22.764139
278,思考乐教育(光明峰荟分校),科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.898012,22.763758
279,乐之舟艺术文化中心,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.907815,22.755223
280,悦思书画教育(峰荟花园校区),科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.89794,22.763943
281,景程教育(玉律分校),科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.893858,22.715711
282,爱琴坊艺术中心(玉律分店),科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.895443,22.717621
283,景程教育,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.895052,22.716574
284,琦·舞少儿艺术教育,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.896384,22.717072
285,星之缘艺术培训(玉律店),科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.896507,22.717068
286,深加速培训(光明分校),科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.900137,22.717486
287,国际JS舞蹈玉律校区,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.899607,22.718029
288,JS舞蹈(舞蹈全国玉律分店),科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.899287,22.717119
289,新起点,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.90044,22.729022
290,国际js舞蹈连锁培训(玉律JS校区),科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.899272,22.717121
291,一画美术,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.899913,22.717612
292,领航星艺术文化教育,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.899803,22.727457
293,浩学教育(文明路),科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.901206,22.727957
294,高材生教育,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.900635,22.729014
295,深圳市星之缘少儿口才(玉律校区),科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.896482,22.717032
296,新华培训,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.888886,22.669721
297,新华职业技能培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.888804,22.669777
298,料坑学校-金禾苗教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.89594,22.67077
299,新华职业技能培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.88879,22.669824
300,深圳奋达职业教育发展有限公司,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.896853,22.669443
301,玫琳凯美丽课堂,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.889743,22.665993
302,料坑社区以案释法教育中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.88846,22.665655
303,新森源培训(环田路店),科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.902041,22.731398
304,远东学校,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.903805,22.728007
305,灵子舞蹈(田寮分校),科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.904392,22.729611
306,丽人堂培训,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.9011,22.731448
307,百灵鸟艺术中心,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.902904,22.729612
308,灿灵舞蹈瑜伽,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.904194,22.728073
309,远东培训学校(公明校区),科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.903805,22.728007
310,华维培训,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.903634,22.72959
311,明达教育(文明路),科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.904596,22.730496
312,深加速培训金田湾分校,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.90405,22.729286
313,精英学校,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.904525,22.730752
314,新光明舞蹈,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.904142,22.729891
315,四季艺术,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.904178,22.73046
316,风语者流行舞蹈,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.904199,22.731061
317,卓驰人力,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.907794,22.717468
318,鹏城K9快乐训犬基地,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.903993,22.733446
319,红星书画苑,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.90598,22.706666
320,蒙田画室,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.906818,22.707159
321,嘉艺舞蹈培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.90043,22.773887
322,韋红艺术儿童美术馆,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.888003,22.776229
323,塘尾幼儿园家长学校,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.901536,22.750114
324,深圳市主流星国际艺术教育中心(将石路校区),科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.905161,22.755882
325,贝思佳教育(马田校区),科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.886388,22.777274
326,领袖小玩家(公明中心店),科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.886744,22.775415
327,启点音乐工作室,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.905545,22.769365
328,深圳蘑菇音乐早教,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.89846,22.777153
329,袁庆华书法工作室,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.901687,22.773529
330,跃进教育,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.907749,22.755458
331,深圳百灵艺术中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.887731,22.600233
332,博学幼小培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.887624,22.59949
333,元象教育(中海九号公馆校区),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.896429,22.601795
334,学优教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.882024,22.597597
335,泽霖教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.881993,22.597567
336,贝尔辅导中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.881123,22.598735
337,青叶子教育(西乡店),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.881759,22.597401
338,精锐高端辅导(宝安学习中心),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.893635,22.560492
339,蓝天音乐艺术中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.891134,22.561807
340,艺启慧美术教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.890713,22.562165
341,贝利单瑟舞蹈瑜伽生活馆,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.890487,22.562391
342,瀚林舞道培训,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.891016,22.561946
343,时光轴自习室,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.892889,22.561866
344,百·变·创·享,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.890056,22.561381
345,鑫舞国际,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.891645,22.560992
346,童话琴行丨吉他尤克里里教学(翻身店),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.891631,22.560971
347,K13教育中心,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.884846,22.524049
348,符氏书画教育,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.884846,22.524049
349,中西国际教育,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.884846,22.524049
350,汇世国际书院,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.899946,22.515757
351,南山棋院,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.910951,22.523671
352,喜乐学唱吧(前海店),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.910285,22.534466
353,星艺艺术中心(前海路店),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.895167,22.500053
354,琴音艺术工作室,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.888618,22.490769
355,本真森林儿童之家,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.900098,22.497191
356,招商蛇口学院,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.899515,22.467241
357,翰墨圆成书法(前海校区),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.892655,22.49437
358,孩知堡儿童学院,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.893314,22.495345
359,威威机器人(鼎太风华教学点),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.910538,22.516343
360,蓝精灵培训中心(前星路),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.91065,22.534967
361,卓越嗓音(科学研究所南山分店),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.910448,22.516248
362,巴罗克(星海名城分校),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.910379,22.53685
363,艺腾音乐,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.910846,22.53784
364,腾飞艺术培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.911067,22.538256
365,龙海家园1栋B单元,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.905885,22.540478
366,圣吉利英语,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.911445,22.535915
367,正面新思维学习中心,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.910685,22.537642
368,优思教育培训中心(星海名城分校),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.910155,22.536577
369,前海时代教育iEngIish(深圳旗舰店),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.905304,22.537526
370,深圳市中西教育投资发展有限公司,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.905499,22.53798
371,巴罗克钢琴艺术教育(星海名城分校),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.91027,22.536885
372,敬南轩-书法艺课,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.885318,22.561497
373,清林学堂,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.886476,22.565061
374,锦绣教育(建安一路),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.8971,22.570915
375,畅艺童年美术教育(宝中校区),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.890254,22.556501
376,新蕾艺术培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.89242,22.555343
377,深圳智德文化教育研学基地,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.936083,22.811742
378,春苗教育,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.94352,22.797554
379,夏乐艺术中心,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.943593,22.797569
380,JS舞蹈(楼村校区),科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.928088,22.783754
381,向尚艺术,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.945666,22.7896
382,深圳学易知教育,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.930597,22.783524
383,战狼谷拓展培训有限公司,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.939478,22.818685
384,奥乐奥新一代乐教园,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.930308,22.782217
385,小荷雨露教育培训,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.931767,22.782112
386,蘑菇的小店,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.935007,22.761488
387,清大学习吧(光明总部),科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.937273,22.759756
388,彩虹午托中心,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.937366,22.760178
389,万邦教育,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.944784,22.76012
390,学而立文化艺术培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.924247,22.719303
391,森源培训(塘家大道),科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.937822,22.731772
392,新森源美妆培训,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.937792,22.731817
393,弘乐文化艺术教育,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.920518,22.718133
394,食为先小吃实训全国连锁,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.938329,22.730377
395,明达教育(长圳校区),科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.918299,22.718184
396,晨馨舞蹈培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.93725,22.733639
397,国际JS舞蹈(塘家校区),科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.937206,22.733657
398,晓果智学,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.918683,22.718271
399,晓果智学,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.936626,22.733437
400,海腾培训,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.93211,22.681718
401,未来少儿文化艺术中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.932569,22.681539
402,昌军教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.932611,22.681538
403,邦学教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.92908,22.682692
404,力型Style街舞工作室,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.933208,22.681648
405,创翔世纪教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.931999,22.683449
406,通歌琴行,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.932825,22.679631
407,JS舞蹈(石岩万联校区),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.934024,22.680672
408,兴扬教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.93401,22.680505
409,鑫厵国际教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.929652,22.683244
410,童心传媒教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.933675,22.681078
411,华邦教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.929119,22.682876
412,智汇城教育培训,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.933323,22.681136
413,深圳兴扬教育服务中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.933882,22.680019
414,睿思教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.925884,22.64483
415,曼哈顿教育城,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.925256,22.644793
416,启迪少儿艺术培训学校,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.924219,22.646237
417,大专本科学历深户,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.932962,22.633706
418,新世纪教育培训学校(年年好应人石购物广场),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.925901,22.644832
419,JS舞蹈连锁应人石分校,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.923459,22.646465
420,先行教育(石鼓路校区),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.948445,22.583751
421,宝安区保安服务公司培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.923399,22.59543
422,宝安区政法队伍培训基地,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.922643,22.595613
423,宝安区保安服务公司培训基地,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.922458,22.595636
424,科爱赛国际学校,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.930918,22.569271
425,深圳市受业堂教育科技有限公司,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.938117,22.560689
426,深圳清华大学研究院,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.942681,22.533036
427,蓝天教育(南山文心分校),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.931348,22.520419
428,苏菲国际艺术教育(后海校区),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.931488,22.520996
429,EagleGolf雄鹰高尔夫学院(南山校区),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.931508,22.520984
430,半岛宝贝,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.931192,22.481882
431,维思顿国际教育中心,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.93025,22.479656
432,艺心阁,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.926177,22.48601
433,芭蕾娜国际教育(春树里校区),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.933913,22.487036
434,百优教育(围仔东校区),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.930193,22.48834
435,叮咚现代音乐,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.93343,22.4878
436,乐学教育城(蛇口分校),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.933129,22.487899
437,舞+武艺术中心,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.92897,22.487963
438,哈罗宝贝早教中心,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.940903,22.48966
439,科翰教育(蛇口分校),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.93319,22.487984
440,睿丁英语(蛇口校区),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.932395,22.488165
441,弘艺艺术培训中心(德隆广场分店),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.927714,22.487276
442,海派童心国际学堂,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.927705,22.487314
443,易学堂教育(蛇囗校区),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.925367,22.485679
444,AME Education Center,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.926181,22.485379
445,指南针教育(蛇口辅导中心),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.929976,22.488476
446,敦善艺术培训,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.925789,22.487193
447,SK英国皇家少儿英语(蛇口校区),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.933347,22.487802
448,童梦教育,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.959073,22.791206
449,科恩全脑早教,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.938483,22.488963
450,鸿鹄校外托管中心,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.927457,22.490868
451,天翌教育,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.938938,22.490359
452,启蒙早教英语,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.938656,22.489017
453,启邦国际美术教育(蛇口湾厦校区),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.935704,22.490113
454,阳光翰艺学堂,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.935924,22.490856
455,无阶现代音乐教室(后海店),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.936257,22.49084
456,飞德拉音乐工作室(南山店),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.923411,22.488363
457,NMCC南海蒙特梭利儿童之家,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.921518,22.481482
458,邦德教育(四海分校),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.93126,22.49429
459,河马哒哒儿童运动及潜能发展中心(蛇口中心),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.924071,22.486339
460,深圳市光明新区碧水路骑训中队,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.958665,22.759342
461,戴伽美术学院,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.939689,22.489546
462,艺多教育,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.920926,22.488852
463,深圳招行培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.91155,22.488663
464,午后画室,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.918701,22.487073
465,QSI INTERNATIONAL SCHOOL OF SHENZHEN,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.912961,22.478946
466,乐学乐园早教中心(厚德店),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.941623,22.488439
467,北辰星音乐艺术中心,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.932029,22.494226
468,英卓思教育中心,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.939539,22.490039
469,整合瑜伽普拉提培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.942585,22.491733
470,梵比画室(后海校区),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.934686,22.494955
471,蜂语蜜教育(恒裕滨城分店),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.941611,22.488415
472,冉艺艺术,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.970342,22.701775
473,三槐书画社,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.99113,22.738565
474,稷下学堂,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.991284,22.736138
475,艾立方教育(白花校区),科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.990948,22.738098
476,深圳华制道场教育培训有限公司,科教文化服务,培训机构,培训机构,广东省,深圳市,龙华区,113.985343,22.702385
477,心园·米罗儿童触觉绘画光明校区,科教文化服务,培训机构,培训机构,广东省,深圳市,光明区,113.991335,22.7396
478,海上钢琴,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.916235,22.483714
479,红砖海外英语,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.916807,22.483712
480,酷童学未来技能南山旗舰学习馆,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.935829,22.493107
481,名师苑教育,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.942548,22.488842
482,树童英语,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.942608,22.488851
483,迪普教育(蛇口中心),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.917742,22.487169
484,长城电脑石岩基地,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.954917,22.687697
485,长燊博士教育(同胜店),科教文化服务,培训机构,培训机构,广东省,深圳市,龙华区,113.981939,22.679879
486,赛普健身学院中安校区,科教文化服务,培训机构,培训机构,广东省,深圳市,龙华区,113.978719,22.688738
487,超神学院(华宁路),科教文化服务,培训机构,培训机构,广东省,深圳市,龙华区,113.979692,22.689721
488,新芭梦舞蹈艺术,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.971534,22.692252
489,奕曙艺灵舞蹈培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.971579,22.692361
490,壹佰分教育,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.971632,22.692487
491,荷蜓儿童之家,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.970213,22.692667
492,跆舞艺术培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,龙华区,113.983086,22.678595
493,都荟城(石岩汇邦名都店),科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.971633,22.692487
494,栾志江画室(大磡分校),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.977392,22.621999
495,乐学派教育,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.973747,22.622573
496,领舞国际,科教文化服务,培训机构,培训机构,广东省,深圳市,龙华区,113.990067,22.678354
497,众尚学院,科教文化服务,培训机构,培训机构,广东省,深圳市,龙华区,113.985999,22.67846
498,慧创美妆培训,科教文化服务,培训机构,培训机构,广东省,深圳市,龙华区,113.986448,22.678445
499,慧创培训学校,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.970215,22.696863
500,石龙仔艺术培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.967512,22.698245
501,深圳市弘福文化艺术培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,宝安区,113.972945,22.696807
502,深圳麒麟山户外训练中心,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.971328,22.609021
503,更强琴行,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.965888,22.593351
504,深圳市旅游职业训练学校,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.9637,22.595894
505,交通安全教育培训中心,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.971797,22.563168
506,金牌教育(桃源分部),科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.980637,22.559436
507,拾光艺术,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.974531,22.561735
508,棕榈泉国际高尔夫学院,科教文化服务,培训机构,培训机构,广东省,深圳市,南山区,113.96274,22.532215
